year,month,state,fips,dead
1999,06,Wisconsin,55,3382
1999,06,Wyoming,56,300
1999,07,Alabama,01,3469
1999,07,Alaska,02,206
1999,07,Arizona,04,2993
1999,07,Arkansas,05,2177
1999,07,California,06,17709
1999,07,Colorado,08,2161
1999,07,Connecticut,09,2262
1999,07,Delaware,10,526
1999,07,District of Columbia,11,520
1999,07,Florida,12,13052
1999,07,Georgia,13,4847
1999,07,Hawaii,15,648
1999,07,Idaho,16,783
1999,07,Illinois,17,8468
1999,07,Indiana,18,4340
1999,07,Iowa,19,2179
1999,07,Kansas,20,1974
1999,07,Kentucky,21,2996
1999,07,Louisiana,22,3278
1999,07,Maine,23,965
1999,07,Maryland,24,3426
1999,07,Massachusetts,25,4450
1999,07,Michigan,26,6785
1999,07,Minnesota,27,2925
1999,07,Mississippi,28,2298
1999,07,Missouri,29,4419
1999,07,Montana,30,651
1999,07,Nebraska,31,1181
1999,07,Nevada,32,1188
1999,07,New Hampshire,33,762
1999,07,New Jersey,34,5767
1999,07,New Mexico,35,1054
1999,07,New York,36,12867
1999,07,North Carolina,37,5334
1999,07,North Dakota,38,470
1999,07,Ohio,39,8498
1999,07,Oklahoma,40,2659
1999,07,Oregon,41,2261
1999,07,Pennsylvania,42,9896
1999,07,Rhode Island,44,835
1999,07,South Carolina,45,2734
1999,07,South Dakota,46,545
1999,07,Tennessee,47,4251
1999,07,Texas,48,11414
1999,07,Utah,49,953
1999,07,Vermont,50,382
1999,07,Virginia,51,4315
1999,07,Washington,53,3442
1999,07,West Virginia,54,1670
1999,07,Wisconsin,55,3529
1999,07,Wyoming,56,352
1999,08,Alabama,01,3480
1999,08,Alaska,02,241
1999,08,Arizona,04,2931
1999,08,Arkansas,05,2111
1999,08,California,06,17317
1999,08,Colorado,08,2102
1999,08,Connecticut,09,2241
1999,08,Delaware,10,525
1999,08,District of Columbia,11,473
1999,08,Florida,12,13116
1999,08,Georgia,13,4827
1999,08,Hawaii,15,698
1999,08,Idaho,16,679
1999,08,Illinois,17,8219
1999,08,Indiana,18,4226
1999,08,Iowa,19,2072
1999,08,Kansas,20,1860
1999,08,Kentucky,21,2890
1999,08,Louisiana,22,3281
1999,08,Maine,23,929
1999,08,Maryland,24,3208
1999,08,Massachusetts,25,4149
1999,08,Michigan,26,6638
1999,08,Minnesota,27,2933
1999,08,Mississippi,28,2310
