age,year,dead,pop
4,2013,89,3991690
4,2014,98,4003448
4,2015,87,4020035
4,2016,111,3987656
4,2017,95,3995783
5,1999,133,3999762
5,2000,139,3965103
5,2001,109,3910033
5,2002,134,3837187
5,2003,119,3823568
5,2004,123,3829607
5,2005,92,3893128
5,2006,107,4050582
5,2007,106,3993489
5,2008,113,4024297
5,2009,113,4070265
5,2010,99,4056858
5,2011,120,4088149
5,2012,114,4132747
5,2013,103,4121797
5,2014,106,4004858
5,2015,106,4018158
5,2016,102,4032515
5,2017,94,4001318
6,1999,128,4042620
6,2000,107,4019705
6,2001,125,3972508
6,2002,107,3913054
6,2003,111,3837761
6,2004,113,3822089
6,2005,108,3828153
6,2006,108,3891329
6,2007,101,4046402
6,2008,103,3988117
6,2009,102,4018200
6,2010,97,4066381
6,2011,101,4074959
6,2012,77,4098714
6,2013,98,4142191
6,2014,92,4134352
6,2015,116,4019207
6,2016,90,4029655
6,2017,85,4045532
7,1999,99,4163303
7,2000,114,4118147
7,2001,102,4012049
7,2002,121,3982360
7,2003,110,3924182
7,2004,117,3850646
7,2005,122,3838840
7,2006,103,3848758
7,2007,115,3914743
7,2008,110,4073291
7,2009,99,4017024
7,2010,97,4030579
7,2011,91,4083146
7,2012,96,4085964
7,2013,85,4108053
7,2014,85,4154000
7,2015,83,4148360
7,2016,101,4029991
7,2017,103,4042379
8,1999,111,4170706
8,2000,103,4179230
8,2001,100,4099542
8,2002,104,4020970
8,2003,99,3991075
8,2004,103,3933161
8,2005,104,3861877
8,2006,89,3852265
8,2007,101,3863089
8,2008,102,3930544
8,2009,95,4089946
8,2010,97,4046486
8,2011,89,4052957
8,2012,89,4094174
8,2013,92,4095205
8,2014,94,4119524
8,2015,90,4167887
8,2016,99,4159114
8,2017,75,4042838
9,1999,102,4230069
9,2000,88,4267320
9,2001,109,4179230
9,2002,115,4118846
9,2003,115,4044265
9,2004,111,4018734
9,2005,99,3967069
9,2006,90,3901754
9,2007,98,3896888
9,2008,88,3913353
9,2009,108,3987064
9,2010,86,4148353
9,2011,80,4034985
9,2012,111,4063937
9,2013,103,4103335
9,2014,95,4106832
9,2015,81,4133564
9,2016,88,4178524
9,2017,92,4172171
10,1999,110,4148653
10,2000,98,4274056
10,2001,123,4277249
10,2002,111,4243816
10,2003,128,4205042
10,2004,96,4151951
10,2005,83,4150122
10,2006,87,4121105
10,2007,101,4075718
10,2008,87,4093680
10,2009,87,4133090
10,2010,91,4172541
10,2011,83,4134144
10,2012,99,4045719
10,2013,90,4073258
10,2014,77,4115254
10,2015,73,4121289
10,2016,81,4144019
10,2017,105,4191919
11,1999,109,4036182
11,2000,112,4115093
11,2001,99,4344913
11,2002,105,4295720
11,2003,93,4254047
11,2004,89,4207721
11,2005,98,4149228
11,2006,107,4141970
11,2007,96,4106492
11,2008,87,4055388
11,2009,100,4066605
11,2010,102,4114415
11,2011,95,4195505
11,2012,96,4145034
11,2013,86,4055918
11,2014,74,4085636
11,2015,84,4130328
11,2016,83,4131222
11,2017,74,4157962
12,1999,104,4009910
12,2000,118,4075842
12,2001,107,4183955
12,2002,112,4380351
12,2003,109,4332987
12,2004,113,4293550
12,2005,102,4251162
12,2006,95,4196880
12,2007,89,4192002
12,2008,92,4159477
12,2009,78,4110576
12,2010,122,4106243
12,2011,84,4124205
12,2012,93,4206939
12,2013,96,4155875
12,2014,97,4068790
12,2015,85,4101021
12,2016,92,4139558
12,2017,88,4145953
13,1999,108,4003607
13,2000,111,4010850
13,2001,114,4113191
13,2002,137,4209025
13,2003,145,4401393
13,2004,112,4350199
13,2005,126,4308851
13,2006,111,4264733
13,2007,118,4207326
13,2008,100,4200016
13,2009,97,4164413
13,2010,100,4118013
13,2011,91,4122078
13,2012,93,4136252
13,2013,88,4217964
13,2014,101,4169346
13,2015,92,4084306
13,2016,92,4109703
13,2017,105,4155315
14,1999,109,4015012
14,2000,123,4052231
14,2001,125,4059370
14,2002,115,4132509
14,2003,126,4221884
14,2004,126,4408259
14,2005,142,4353216
14,2006,86,4308450
14,2007,118,4259504
14,2008,96,4198094
14,2009,102,4185880
14,2010,107,4165982
14,2011,96,4128920
14,2012,131,4135274
14,2013,119,4147439
14,2014,105,4232480
14,2015,127,4185386
14,2016,111,4093731
14,2017,96,4127305
15,1999,130,3939152
15,2000,142,4019404
15,2001,131,4083878
15,2002,108,4097876
15,2003,118,4172654
15,2004,142,4264863
15,2005,139,4456969
15,2006,117,4406515
15,2007,129,4364495
15,2008,138,4318982
15,2009,115,4259907
15,2010,106,4242820
15,2011,130,4156836
15,2012,112,4144014
15,2013,126,4147445
15,2014,111,4163723
15,2015,118,4249742
15,2016,105,4196991
15,2017,118,4114560
16,1999,168,4020305
16,2000,148,3975021
16,2001,144,4108304
16,2002,146,4126961
16,2003,152,4139141
16,2004,146,4213762
16,2005,132,4308145
16,2006,148,4502997
16,2007,136,4452250
16,2008,144,4411176
16,2009,129,4365338
16,2010,115,4316139
16,2011,106,4245479
16,2012,116,4174274
16,2013,115,4158116
16,2014,105,4167234
16,2015,129,4184296
16,2016,122,4265224
16,2017,106,4222691
17,1999,163,4031224
17,2000,156,4046012
17,2001,135,4028736
17,2002,146,4148590
17,2003,144,4160313
17,2004,153,4167308
17,2005,151,4239509
17,2006,132,4331493
17,2007,118,4521045
17,2008,148,4467060
17,2009,136,4421341
17,2010,116,4395295
17,2011,152,4330851
17,2012,130,4265702
17,2013,118,4191188
17,2014,130,4184706
17,2015,128,4194286
17,2016,138,4205001
17,2017,120,4296575
18,1999,163,3989843
18,2000,158,4051598
18,2001,178,4102851
18,2002,182,4084316
18,2003,154,4201835
18,2004,163,4214061
18,2005,175,4225126
18,2006,161,4301050
18,2007,156,4394638
18,2008,149,4588123
18,2009,132,4534634
18,2010,141,4500855
18,2011,136,4396167
18,2012,158,4354017
18,2013,140,4285609
18,2014,154,4225590
18,2015,125,4217995
18,2016,128,4219303
18,2017,119,4241226
19,1999,173,4104078
19,2000,181,4127855
19,2001,191,4132515
19,2002,182,4152627
19,2003,163,4123223
19,2004,177,4242558
19,2005,184,4256465
19,2006,172,4265654
19,2007,166,4335388
19,2008,158,4425539
19,2009,168,4611590
19,2010,169,4585234
19,2011,159,4514710
19,2012,142,4422695
19,2013,166,4376606
19,2014,150,4326394
19,2015,122,4262584
19,2016,140,4243480
19,2017,130,4256608
20,1999,222,3925495
20,2000,192,4049448
20,2001,215,4156725
20,2002,193,4158896
20,2003,178,4156877
20,2004,166,4131771
20,2005,164,4241197
20,2006,164,4248095
20,2007,182,4242404
20,2008,172,4302988
20,2009,179,4383628
20,2010,204,4519129
20,2011,183,4596113
20,2012,174,4543774
20,2013,160,4445721
20,2014,175,4418887
20,2015,147,4363440
20,2016,137,4286221
20,2017,165,4276745
21,1999,193,3763401
21,2000,210,3841082
21,2001,196,4133311
21,2002,216,4182678
21,2003,179,4167554
21,2004,177,4180191
21,2005,215,4150658
21,2006,203,4258790
21,2007,190,4257371
21,2008,201,4251950
21,2009,200,4307414
21,2010,189,4354294
21,2011,222,4592336
21,2012,181,4627509
21,2013,146,4568663
21,2014,173,4489746
21,2015,168,4456790
21,2016,167,4386854
21,2017,166,4318304
22,1999,198,3694190
22,2000,201,3758648
22,2001,207,3919316
22,2002,206,4145736
22,2003,211,4175294
22,2004,231,4173077
22,2005,219,4176096
22,2006,183,4141532
22,2007,194,4236043
22,2008,194,4232792
22,2009,203,4217667
22,2010,213,4264642
22,2011,184,4411032
22,2012,239,4623739
22,2013,196,4655731
22,2014,192,4612322
22,2015,199,4529472
22,2016,190,4480904
22,2017,134,4420763
23,1999,206,3562469
23,2000,181,3673582
23,2001,198,3798554
23,2002,214,3936927
23,2003,208,4147777
23,2004,238,4192674
23,2005,207,4183656
23,2006,237,4186427
23,2007,231,4143940
23,2008,227,4237432
23,2009,233,4230115
23,2010,193,4198571
23,2011,214,4311760
23,2012,203,4443539
23,2013,191,4652806
23,2014,206,4698584
23,2015,185,4652266
23,2016,177,4552952
23,2017,197,4515308
24,1999,206,3645874
24,2000,239,3641241
24,2001,211,3749380
24,2002,224,3819528
24,2003,240,3944186
24,2004,226,4167847
24,2005,224,4208348
24,2006,227,4201291
24,2007,232,4198241
24,2008,227,4155450
24,2009,213,4245298
24,2010,251,4249363
24,2011,224,4242591
24,2012,201,4344642
24,2013,218,4472517
24,2014,249,4692635
24,2015,231,4737345
24,2016,197,4674097
24,2017,199,4587515
25,1999,216,3657407
25,2000,228,3744539
25,2001,226,3659719
25,2002,228,3779169
25,2003,225,3842468
25,2004,220,3981519
25,2005,275,4206096
25,2006,252,4254643
25,2007,234,4245572
25,2008,252,4246210
25,2009,270,4204602
25,2010,250,4262350
25,2011,248,4267827
25,2012,233,4275138
25,2013,241,4372201
25,2014,229,4509594
25,2015,227,4729564
25,2016,218,4758352
25,2017,220,4708854
26,1999,269,3666228
26,2000,248,3619660
26,2001,269,3768152
26,2002,226,3669915
26,2003,263,3771710
26,2004,252,3838225
26,2005,256,3966722
26,2006,255,4186325
26,2007,254,4222850
26,2008,240,4206583
26,2009,260,4197922
26,2010,281,4152305
26,2011,262,4311255
26,2012,240,4298788
26,2013,246,4300520
26,2014,261,4406472
26,2015,239,4544416
26,2016,233,4747254
26,2017,243,4794326
27,1999,277,3935064
27,2000,255,3789800
27,2001,279,3668700
27,2002,240,3791713
27,2003,272,3688646
27,2004,276,3801676
27,2005,277,3870040
27,2006,323,4004498
27,2007,281,4224395
27,2008,318,4265165
27,2009,292,4250014
27,2010,282,4248869
27,2011,261,4181448
27,2012,273,4339574
27,2013,297,4322247
27,2014,298,4332545
27,2015,282,4439766
27,2016,306,4559206
27,2017,263,4784135
28,1999,324,4146484
28,2000,315,3984812
28,2001,311,3766129
28,2002,298,3682001
28,2003,295,3794838
28,2004,270,3697495
28,2005,289,3805526
28,2006,299,3874154
28,2007,295,3999799
28,2008,316,4215620
28,2009,325,4250613
28,2010,342,4215249
28,2011,294,4255686
28,2012,342,4206614
28,2013,308,4360245
28,2014,300,4351851
28,2015,303,4364669
28,2016,312,4451507
28,2017,302,4595406
29,1999,398,4169874
29,2000,381,4242525
29,2001,364,3956647
29,2002,328,3768542
29,2003,321,3673923
29,2004,331,3788140
29,2005,310,3686326
29,2006,331,3790391
29,2007,324,3850082
29,2008,365,3969090
29,2009,341,4175077
29,2010,335,4223076
29,2011,322,4263578
29,2012,357,4278212
29,2013,332,4224985
29,2014,336,4387476
29,2015,338,4383139
29,2016,360,4374565
29,2017,334,4487739
30,1999,376,4181212
30,2000,382,4289970
30,2001,482,4218260
30,2002,436,3994164
30,2003,372,3813536
30,2004,353,3737940
30,2005,354,3866581
30,2006,346,3779051
30,2007,364,3894527
30,2008,353,3970191
30,2009,381,4104133
30,2010,421,4285668
30,2011,335,4224516
30,2012,384,4283410
30,2013,356,4294831
30,2014,358,4250780
30,2015,395,4417209
30,2016,389,4392155
30,2017,362,4410631
31,1999,481,3936187
31,2000,477,4011575
31,2001,456,4302689
31,2002,475,4210913
31,2003,428,3973726
31,2004,385,3790984
31,2005,390,3705594
31,2006,445,3824265
31,2007,398,3724612
31,2008,397,3828094
31,2009,435,3890200
31,2010,407,3970218
31,2011,403,4317087
31,2012,418,4242178
31,2013,442,4297330
31,2014,432,4318706
31,2015,410,4278233
31,2016,456,4423807
31,2017,392,4425408
32,1999,521,4043957
32,2000,533,3994121
32,2001,528,4082902
32,2002,562,4330977
32,2003,492,4245067
32,2004,551,4023788
32,2005,468,3848038
32,2006,484,3772538
32,2007,436,3899463
32,2008,424,3807761
32,2009,436,3921281
32,2010,452,3986847
32,2011,461,4052694
32,2012,458,4332058
32,2013,457,4254331
32,2014,443,4320072
32,2015,507,4343614
32,2016,491,4283076
32,2017,453,4453718
33,1999,568,4079717
33,2000,609,4026573
33,2001,598,4014912
33,2002,604,4095531
33,2003,603,4337299
33,2004,562,4257394
33,2005,521,4035045
33,2006,495,3860165
33,2007,477,3780927
33,2008,468,3907253
33,2009,505,3813001
33,2010,464,3880150
33,2011,532,3976037
33,2012,528,4065562
33,2013,517,4342738
33,2014,505,4276113
33,2015,527,4341754
33,2016,528,4345786
33,2017,576,4310977
34,1999,746,4362276
34,2000,653,4188149
34,2001,632,4033412
34,2002,638,4026721
34,2003,648,4102582
34,2004,606,4349395
34,2005,623,4268679
34,2006,569,4049149
34,2007,538,3871236
34,2008,540,3791506
34,2009,562,3916499
34,2010,548,3839216
34,2011,545,3940370
34,2012,573,3987787
34,2013,616,4075159
34,2014,602,4362895
34,2015,623,4294838
34,2016,608,4341535
34,2017,614,4371478
35,1999,870,4605618
35,2000,839,4516118
35,2001,826,4161140
35,2002,777,4050190
35,2003,737,4042650
35,2004,749,4127056
35,2005,717,4377057
35,2006,725,4302604
35,2007,670,4083733
35,2008,596,3908041
35,2009,615,3829432
35,2010,589,3956434
35,2011,613,3827920
35,2012,623,3950567
35,2013,630,3996723
35,2014,681,4094039
35,2015,684,4379404
35,2016,687,4293125
35,2017,653,4364947
36,1999,959,4543561
36,2000,954,4511168
36,2001,899,4457678
36,2002,860,4168398
36,2003,814,4051962
36,2004,756,4048580
36,2005,780,4130501
36,2006,837,4380502
36,2007,769,4302578
36,2008,743,4083819
36,2009,749,3905615
36,2010,716,3802087
36,2011,714,3952699
36,2012,654,3836469
36,2013,630,3957642
36,2014,726,4014413
36,2015,748,4108775
36,2016,756,4375562
36,2017,760,4313987
37,1999,1181,4582792
37,2000,1115,4517060
37,2001,1089,4534648
37,2002,990,4459389
37,2003,965,4165007
37,2004,860,4051890
37,2005,803,4044933
37,2006,864,4126573
37,2007,886,4370533
37,2008,917,4291673
37,2009,860,4071181
37,2010,762,3934445
37,2011,819,3833451
37,2012,764,3959492
37,2013,789,3842679
37,2014,801,3974190
37,2015,754,4028403
37,2016,796,4103498
37,2017,903,4394351
38,1999,1373,4530009
38,2000,1332,4553814
38,2001,1313,4529329
38,2002,1194,4538848
38,2003,1132,4462051
38,2004,1058,4174027
38,2005,1025,4060608
38,2006,942,4056686
38,2007,992,4136991
38,2008,1010,4382157
38,2009,1000,4304006
38,2010,869,4121880
38,2011,867,3898503
38,2012,822,3839004
38,2013,892,3964301
38,2014,855,3859181
38,2015,869,3987141
38,2016,889,4022119
38,2017,888,4120468
39,1999,1521,4620569
39,2000,1480,4608504
39,2001,1495,4553123
39,2002,1466,4534393
39,2003,1413,4542489
39,2004,1227,4473096
39,2005,1193,4185554
39,2006,1155,4074868
39,2007,1060,4070056
39,2008,1067,4151773
39,2009,1124,4397562
39,2010,1147,4364796
39,2011,1002,4081736
39,2012,955,3902667
39,2013,931,3842425
39,2014,927,3979827
39,2015,916,3870862
39,2016,1045,3979601
39,2017,988,4038244
40,1999,1659,4667525
40,2000,1699,4711434
40,2001,1730,4606601
40,2002,1661,4551912
40,2003,1580,4529389
40,2004,1524,4540929
40,2005,1442,4470383
40,2006,1267,4184594
40,2007,1284,4071341
40,2008,1203,4065710
40,2009,1236,4145183
40,2010,1223,4383274
40,2011,1212,4323778
40,2012,1139,4084481
40,2013,1105,3904767
40,2014,1043,3856888
40,2015,1051,3989839
40,2016,1113,3862150
40,2017,1147,3994423
41,1999,2012,4461898
41,2000,1934,4466676
41,2001,1925,4700471
41,2002,1870,4610846
41,2003,1780,4556844
41,2004,1677,4540376
41,2005,1790,4553968
41,2006,1661,4488189
41,2007,1522,4202260
41,2008,1438,4090091
41,2009,1457,4085265
41,2010,1395,4114985
41,2011,1397,4384253
41,2012,1438,4324963
41,2013,1313,4084927
41,2014,1228,3917413
41,2015,1230,3865228
41,2016,1176,3979596
41,2017,1193,3875738
42,1999,2181,4506931
42,2000,2164,4547220
42,2001,2155,4514435
42,2002,2205,4699196
42,2003,2188,4606465
42,2004,2049,4555019
42,2005,2085,4537278
42,2006,1914,4552280
42,2007,1697,4485432
42,2008,1637,4199463
42,2009,1601,4085849
42,2010,1542,4076104
42,2011,1541,4159664
42,2012,1572,4384022
42,2013,1561,4323573
42,2014,1507,4095929
42,2015,1361,3924258
42,2016,1316,3854553
42,2017,1400,3990700
43,1999,2505,4297852
43,2000,2605,4407870
43,2001,2623,4523433
43,2002,2545,4515522
43,2003,2383,4699388
43,2004,2473,4610120
43,2005,2349,4559728
43,2006,2282,4544742
43,2007,2188,4560505
43,2008,2053,4495218
43,2009,1841,4209233
43,2010,1804,4105105
43,2011,1790,4078100
43,2012,1726,4158551
43,2013,1809,4380926
43,2014,1745,4332491
43,2015,1615,4100708
43,2016,1612,3912307
43,2017,1494,3863455
44,1999,2813,4259922
44,2000,2766,4308663
44,2001,2880,4470894
44,2002,2883,4511955
44,2003,2856,4497961
44,2004,2668,4679182
44,2005,2750,4585528
44,2006,2586,4532763
44,2007,2560,4512801
44,2008,2341,4524541
44,2009,2329,4454485
44,2010,2041,4211496
44,2011,2008,4087850
44,2012,1899,4076204
44,2013,1953,4154727
44,2014,2004,4388762
44,2015,1942,4335165
44,2016,1756,4087645
44,2017,1678,3919057
45,1999,3078,4245882
45,2000,3192,4341460
45,2001,3245,4301955
45,2002,3220,4461379
45,2003,3266,4499971
45,2004,3051,4486566
45,2005,3105,4666734
45,2006,2972,4573546
45,2007,2828,4519792
45,2008,2848,4499251
45,2009,2703,4509265
45,2010,2512,4508868
45,2011,2362,4170798
45,2012,2290,4084512
45,2013,2233,4070408
45,2014,2163,4161450
45,2015,2112,4389345
45,2016,2177,4319616
45,2017,2033,4091579
46,1999,3416,3994950
46,2000,3435,4087563
46,2001,3442,4331582
46,2002,3520,4301101
46,2003,3605,4462427
46,2004,3603,4506067
46,2005,3474,4496805
46,2006,3324,4682144
46,2007,3291,4591932
46,2008,3193,4541484
46,2009,3168,4523596
46,2010,3050,4519761
46,2011,2833,4428601
46,2012,2626,4165735
46,2013,2599,4076903
46,2014,2445,4076237
46,2015,2443,4160573
46,2016,2486,4371961
46,2017,2428,4320583
47,1999,3625,3937147
47,2000,3703,4019692
47,2001,3968,4152347
47,2002,3858,4330110
47,2003,3939,4300483
47,2004,3882,4465196
47,2005,3879,4511695
47,2006,3895,4506142
47,2007,3790,4694196
47,2008,3795,4606123
47,2009,3708,4557336
47,2010,3526,4535265
47,2011,3343,4517819
47,2012,3232,4421347
47,2013,3023,4156273
47,2014,2785,4082150
47,2015,2651,4073685
47,2016,2724,4142964
47,2017,2695,4370964
48,1999,4065,3710656
48,2000,4205,3885145
48,2001,4170,4018921
48,2002,4315,4143330
48,2003,4347,4317939
48,2004,4181,4287486
48,2005,4387,4449860
48,2006,4343,4495342
48,2007,4327,4487653
48,2008,4189,4672955
48,2009,4143,4582655
48,2010,3992,4538796
48,2011,3853,4521355
48,2012,3784,4508318
48,2013,3422,4409800
48,2014,3349,4158996
48,2015,3135,4077689
48,2016,3036,4055074
48,2017,2940,4140010
49,1999,4504,3765572
49,2000,4561,3758544
49,2001,4678,3894178
49,2002,4709,4016368
49,2003,4690,4141856
49,2004,4781,4319947
49,2005,4915,4292077
49,2006,4979,4458112
49,2007,4828,4506188
49,2008,4855,4501160
49,2009,4775,4689393
49,2010,4791,4605901
49,2011,4502,4519432
49,2012,4321,4509567
49,2013,4230,4494922
49,2014,4022,4409209
49,2015,3672,4152552
49,2016,3494,4058008
49,2017,3242,4050722
50,1999,4942,3762700
50,2000,5047,3808515
50,2001,4928,3796146
50,2002,5134,3881009
50,2003,5172,3998812
50,2004,5242,4121104
50,2005,5465,4295348
50,2006,5275,4264904
50,2007,5236,4426479
50,2008,5411,4471128
50,2009,5353,4462192
50,2010,5367,4660295
50,2011,5231,4581833
50,2012,5096,4505608
50,2013,4751,4494482
50,2014,4685,4491431
50,2015,4389,4400288
50,2016,3985,4131293
50,2017,3938,4051078
51,1999,5563,3601854
51,2000,5341,3616997
51,2001,5422,3796980
51,2002,5624,3797199
51,2003,5622,3886144
51,2004,5635,4010062
51,2005,5751,4138594
51,2006,5862,4320192
51,2007,5883,4294933
51,2008,5909,4464006
51,2009,5984,4514833
51,2010,5902,4464631
51,2011,5866,4626453
51,2012,5893,4566251
51,2013,5572,4489236
51,2014,5356,4488666
51,2015,5140,4479664
51,2016,4798,4375892
51,2017,4499,4121394
52,1999,6401,3873166
52,2000,6146,3707436
52,2001,6015,3654405
52,2002,6067,3785188
52,2003,6125,3782009
52,2004,6063,3868188
52,2005,6375,3989065
52,2006,6426,4114856
52,2007,6418,4292620
52,2008,6444,4264599
52,2009,6701,4429228
52,2010,6701,4500846
52,2011,6557,4478180
52,2012,6404,4609523
52,2013,6189,4547907
52,2014,6101,4480175
52,2015,5901,4474344
52,2016,5568,4452636
52,2017,5242,4363205
53,1999,5597,2785325
53,2000,6881,3635040
53,2001,6834,3631014
53,2002,6667,3650409
53,2003,6493,3783390
53,2004,6652,3782872
53,2005,6742,3871906
53,2006,6701,3996095
53,2007,6880,4124978
53,2008,6830,4306809
53,2009,7102,4281465
53,2010,7306,4380354
53,2011,7123,4458125
53,2012,7144,4459925
53,2013,7049,4589261
53,2014,6913,4535748
53,2015,6736,4463494
53,2016,6417,4445605
53,2017,5963,4437426
54,1999,6152,2900567
54,2000,6213,2817560
54,2001,7579,3808740
54,2002,7237,3626101
54,2003,7266,3646923
54,2004,7128,3782442
54,2005,7041,3783820
54,2006,7351,3874826
54,2007,7385,4001168
54,2008,7643,4132932
54,2009,7726,4317125
54,2010,7815,4291999
54,2011,7895,4415607
54,2012,7880,4437952
54,2013,7767,4438340
54,2014,7662,4574789
54,2015,7550,4516527
54,2016,7184,4433630
54,2017,6853,4427991
55,1999,6915,2859176
55,2000,6694,2850600
55,2001,6649,2851092
55,2002,8396,3788111
55,2003,7931,3601691
55,2004,7842,3618001
55,2005,7750,3748247
55,2006,7783,3745012
55,2007,7941,3829701
55,2008,8108,3949524
55,2009,8278,4074019
55,2010,8315,4254709
55,2011,8504,4263989
55,2012,8669,4393250
55,2013,8519,4415162
55,2014,8662,4421625
55,2015,8418,4553385
55,2016,8386,4484565
55,2017,7860,4413266
56,1999,7920,2934509
56,2000,7457,2837452
56,2001,7316,2846838
56,2002,7261,2846712
56,2003,8982,3785668
56,2004,8561,3603856
56,2005,8377,3625240
56,2006,8360,3760899
56,2007,8426,3761384
56,2008,8635,3850704
56,2009,8785,3975863
56,2010,9031,4037513
56,2011,9190,4232520
56,2012,9230,4240395
56,2013,9295,4369543
56,2014,9376,4395471
56,2015,9398,4399120
56,2016,8864,4518758
56,2017,8709,4461346
57,1999,7717,2561216
57,2000,8368,2864020
57,2001,8111,2805407
57,2002,7770,2833628
57,2003,7850,2831596
57,2004,9763,3763702
57,2005,9303,3582008
57,2006,9071,3601973
57,2007,9092,3734883
57,2008,9036,3733201
57,2009,9329,3819855
57,2010,9493,3936386
57,2011,9722,4066089
57,2012,9901,4207605
57,2013,10029,4215577
57,2014,10363,4347179
57,2015,10305,4371245
57,2016,9925,4362807
57,2017,9709,4493573
58,1999,8022,2412512
58,2000,8267,2540152
58,2001,9266,2900132
58,2002,8790,2792832
58,2003,8533,2821608
58,2004,8505,2819754
58,2005,10356,3748661
58,2006,10186,3568659
58,2007,9862,3588953
58,2008,9742,3722427
58,2009,9852,3721219
58,2010,9983,3794928
58,2011,10199,3918566
58,2012,10608,4040118
58,2013,10771,4181408
58,2014,10798,4191757
58,2015,10947,4320522
58,2016,10855,4332953
58,2017,10562,4335891
59,1999,8524,2317408
59,2000,8657,2377013
59,2001,9038,2565506
59,2002,9831,2881784
59,2003,9525,2773994
59,2004,9034,2801863
59,2005,9151,2799064
59,2006,11228,3720317
59,2007,10789,3539851
59,2008,10483,3558712
59,2009,10552,3689647
59,2010,10636,3641269
59,2011,10907,3774384
59,2012,11221,3891149
59,2013,11127,4012740
59,2014,11386,4155417
59,2015,11741,4163670
59,2016,11773,4281025
59,2017,11413,4303880
60,1999,9052,2313430
60,2000,9057,2319944
60,2001,9333,2380300
60,2002,9817,2540735
60,2003,10464,2849408
60,2004,9944,2739059
60,2005,9725,2763609
60,2006,9719,2757092
60,2007,11923,3659454
60,2008,11518,3476545
60,2009,11483,3489302
60,2010,11218,3621131
60,2011,11395,3664521
60,2012,11719,3745489
60,2013,11830,3862796
60,2014,12153,3985367
60,2015,12214,4125792
60,2016,12467,4123968
60,2017,12326,4249921
61,1999,9831,2178551
61,2000,9601,2221227
61,2001,9590,2323707
61,2002,9983,2370358
61,2003,10408,2534959
61,2004,11148,2848602
61,2005,10527,2745139
61,2006,10187,2776869
61,2007,10273,2775802
61,2008,12815,3694987
61,2009,12362,3517588
61,2010,11950,3492596
61,2011,12174,3584377
61,2012,12193,3635456
61,2013,12237,3715993
61,2014,12951,3834428
61,2015,13028,3954601
61,2016,13211,4083962
61,2017,12994,4091662
62,1999,10038,2076327
62,2000,10187,2171072
62,2001,10220,2213270
62,2002,10404,2306156
62,2003,10687,2352131
62,2004,10967,2515357
62,2005,12084,2827064
62,2006,11270,2725651
62,2007,10978,2757918
62,2008,10809,2757325
62,2009,13600,3673134
62,2010,13294,3563182
62,2011,12653,3487302
62,2012,12821,3554439
62,2013,12867,3603520
62,2014,13303,3685822
62,2015,13231,3801935
62,2016,13592,3911429
62,2017,13576,4050159
63,1999,10531,2054965
63,2000,10604,2053151
63,2001,10800,2172024
63,2002,10847,2195850
63,2003,10946,2289143
63,2004,11003,2335553
63,2005,11666,2498812
63,2006,12769,2810202
63,2007,11977,2711325
63,2008,11508,2744863
63,2009,11835,2745716
63,2010,14433,3483884
63,2011,13757,3459297
63,2012,13612,3454687
63,2013,13652,3519231
63,2014,13643,3572379
63,2015,14113,3651393
63,2016,14049,3757382
63,2017,14204,3875907
64,1999,11650,2069932
64,2000,11337,2040053
64,2001,11153,2047019
64,2002,11485,2147166
64,2003,11604,2168747
64,2004,11499,2259557
64,2005,11619,2303653
64,2006,12196,2463439
64,2007,13326,2769163
64,2008,12816,2668775
