date,age,covid,all
2021-01,1-4,,271
2021-02,1-4,,264
2021-03,1-4,,264
2021-04,1-4,,317
2021-05,1-4,,355
2021-06,1-4,,338
2021-07,1-4,,353
2021-08,1-4,10,342
2021-09,1-4,11,337
2021-10,1-4,,323
2021-11,1-4,,312
2021-12,1-4,,340
2022-01,1-4,20,310
2022-02,1-4,,292
2022-03,1-4,,320
2022-04,1-4,,324
2022-05,1-4,,371
2022-06,1-4,,385
2022-07,1-4,,416
2022-08,1-4,13,340
2022-09,1-4,,304
2022-10,1-4,10,340
2022-11,1-4,,392
2022-12,1-4,,362
2023-01,1-4,10,323
2023-02,1-4,,287
2023-03,1-4,,364
2023-04,1-4,,332
2023-05,1-4,,365
2023-06,1-4,,337
2023-07,1-4,,397
2023-08,1-4,,360
2023-09,1-4,,329
2023-10,1-4,,301
2023-11,1-4,,298
2023-12,1-4,,368
2024-01,1-4,,321
2024-02,1-4,,342
2024-03,1-4,,294
2024-04,1-4,,296
2024-05,1-4,,327
2024-06,1-4,,140
1999-01,15-24,,2502
1999-02,15-24,,2089
1999-03,15-24,,2499
1999-04,15-24,,2378
1999-05,15-24,,2638
1999-06,15-24,,2682
1999-07,15-24,,2928
1999-08,15-24,,2822
1999-09,15-24,,2501
1999-10,15-24,,2619
1999-11,15-24,,2516
1999-12,15-24,,2482
2000-01,15-24,,2609
2000-02,15-24,,2200
2000-03,15-24,,2461
2000-04,15-24,,2464
2000-05,15-24,,2720
2000-06,15-24,,2781
2000-07,15-24,,2966
2000-08,15-24,,2790
2000-09,15-24,,2639
2000-10,15-24,,2687
2000-11,15-24,,2480
2000-12,15-24,,2510
2001-01,15-24,,2491
2001-02,15-24,,2245
2001-03,15-24,,2520
2001-04,15-24,,2630
2001-05,15-24,,2829
2001-06,15-24,,2785
2001-07,15-24,,3005
2001-08,15-24,,2942
2001-09,15-24,,2787
2001-10,15-24,,2766
2001-11,15-24,,2627
2001-12,15-24,,2625
2002-01,15-24,,2545
2002-02,15-24,,2264
2002-03,15-24,,2833
2002-04,15-24,,2647
2002-05,15-24,,2852
2002-06,15-24,,2839
2002-07,15-24,,3122
2002-08,15-24,,2995
2002-09,15-24,,2891
2002-10,15-24,,2709
