age,date,state,dead
all,2020-11,Missouri,1868
all,2020-11,Montana,357
all,2020-11,Nebraska,709
all,2020-11,Nevada,477
all,2020-11,New Hampshire,66
all,2020-11,New Jersey,823
all,2020-11,New Mexico,825
all,2020-11,New York,1121
all,2020-11,North Carolina,1129
all,2020-11,North Dakota,467
all,2020-11,Ohio,2756
all,2020-11,Oklahoma,1158
all,2020-11,Oregon,285
all,2020-11,Pennsylvania,2303
all,2020-11,Rhode Island,169
all,2020-11,South Carolina,490
all,2020-11,South Dakota,636
all,2020-11,Tennessee,1361
all,2020-11,Texas,4743
all,2020-11,Utah,351
all,2020-11,Vermont,15
all,2020-11,Virginia,711
all,2020-11,Washington,427
all,2020-11,West Virginia,299
all,2020-11,Wisconsin,1865
all,2020-11,Wyoming,169
all,2020-12,Alabama,1722
all,2020-12,Alaska,92
all,2020-12,Arizona,2732
all,2020-12,Arkansas,986
all,2020-12,California,12440
all,2020-12,Colorado,1403
all,2020-12,Connecticut,1013
all,2020-12,Delaware,252
all,2020-12,District of Columbia,101
all,2020-12,Florida,2805
all,2020-12,Georgia,1750
all,2020-12,Hawaii,34
all,2020-12,Idaho,399
all,2020-12,Illinois,3871
all,2020-12,Indiana,2636
all,2020-12,Iowa,1149
all,2020-12,Kansas,1286
all,2020-12,Kentucky,1456
all,2020-12,Louisiana,956
all,2020-12,Maine,186
all,2020-12,Maryland,1307
all,2020-12,Massachusetts,1235
all,2020-12,Michigan,2967
all,2020-12,Minnesota,1567
all,2020-12,Mississippi,964
all,2020-12,Missouri,2049
all,2020-12,Montana,321
all,2020-12,Nebraska,548
all,2020-12,Nevada,1155
all,2020-12,New Hampshire,248
all,2020-12,New Jersey,2200
all,2020-12,New Mexico,1034
all,2020-12,New York,3788
all,2020-12,North Carolina,2255
all,2020-12,North Dakota,255
all,2020-12,Ohio,5529
all,2020-12,Oklahoma,1888
all,2020-12,Oregon,505
all,2020-12,Pennsylvania,5886
all,2020-12,Rhode Island,420
all,2020-12,South Carolina,1097
all,2020-12,South Dakota,364
all,2020-12,Tennessee,2365
all,2020-12,Texas,6973
all,2020-12,Utah,431
all,2020-12,Vermont,62
all,2020-12,Virginia,1471
all,2020-12,Washington,832
all,2020-12,West Virginia,727
all,2020-12,Wisconsin,1503
all,2020-12,Wyoming,182
all,2021-01,Alabama,2386
all,2021-01,Alaska,29
all,2021-01,Arizona,3651
all,2021-01,Arkansas,1064
all,2021-01,California,18914
all,2021-01,Colorado,604
all,2021-01,Connecticut,909
all,2021-01,Delaware,290
all,2021-01,District of Columbia,120
all,2021-01,Florida,4435
all,2021-01,Georgia,3675
all,2021-01,Hawaii,46
all,2021-01,Idaho,217
all,2021-01,Illinois,2251
all,2021-01,Indiana,1822
all,2021-01,Iowa,621
all,2021-01,Kansas,855
all,2021-01,Kentucky,1147
all,2021-01,Louisiana,1234
all,2021-01,Maine,230
all,2021-01,Maryland,1244
all,2021-01,Massachusetts,1553
all,2021-01,Michigan,1609
all,2021-01,Minnesota,650
all,2021-01,Mississippi,1123
all,2021-01,Missouri,1467
all,2021-01,Montana,152
all,2021-01,Nebraska,291
all,2021-01,Nevada,1094
all,2021-01,New Hampshire,276
all,2021-01,New Jersey,2198
all,2021-01,New Mexico,654
all,2021-01,New York,5915
all,2021-01,North Carolina,3324
all,2021-01,North Dakota,76
all,2021-01,Ohio,3703
all,2021-01,Oklahoma,1891
all,2021-01,Oregon,398
all,2021-01,Pennsylvania,4312
all,2021-01,Rhode Island,339
all,2021-01,South Carolina,2035
all,2021-01,South Dakota,153
all,2021-01,Tennessee,2491
all,2021-01,Texas,9857
all,2021-01,Utah,371
all,2021-01,Vermont,30
all,2021-01,Virginia,2188
all,2021-01,Washington,688
all,2021-01,West Virginia,669
all,2021-01,Wisconsin,872
all,2021-01,Wyoming,112
all,2021-02,Alabama,954
all,2021-02,Alaska,20
all,2021-02,Arizona,1482
all,2021-02,Arkansas,409
all,2021-02,California,7119
all,2021-02,Colorado,269
all,2021-02,Connecticut,399
all,2021-02,Delaware,129
all,2021-02,District of Columbia,75
all,2021-02,Florida,2713
all,2021-02,Georgia,1695
all,2021-02,Hawaii,22
all,2021-02,Idaho,88
all,2021-02,Illinois,1008
all,2021-02,Indiana,605
all,2021-02,Iowa,212
all,2021-02,Kansas,246
all,2021-02,Kentucky,630
all,2021-02,Louisiana,551
all,2021-02,Maine,83
all,2021-02,Maryland,708
all,2021-02,Massachusetts,691
all,2021-02,Michigan,585
all,2021-02,Minnesota,233
all,2021-02,Mississippi,504
all,2021-02,Missouri,501
all,2021-02,Montana,58
all,2021-02,Nebraska,90
all,2021-02,Nevada,485
all,2021-02,New Hampshire,84
all,2021-02,New Jersey,1269
all,2021-02,New Mexico,275
all,2021-02,New York,3768
all,2021-02,North Carolina,1442
all,2021-02,North Dakota,23
all,2021-02,Ohio,1366
all,2021-02,Oklahoma,717
all,2021-02,Oregon,151
all,2021-02,Pennsylvania,1627
all,2021-02,Rhode Island,137
all,2021-02,South Carolina,1010
all,2021-02,South Dakota,49
all,2021-02,Tennessee,802
all,2021-02,Texas,5225
all,2021-02,Utah,143
all,2021-02,Vermont,18
all,2021-02,Virginia,1136
all,2021-02,Washington,346
all,2021-02,West Virginia,249
all,2021-02,Wisconsin,320
all,2021-02,Wyoming,40
all,2021-03,Alabama,368
all,2021-03,Alaska,14
all,2021-03,Arizona,411
all,2021-03,Arkansas,166
all,2021-03,California,1993
all,2021-03,Colorado,158
all,2021-03,Connecticut,196
all,2021-03,Delaware,62
all,2021-03,District of Columbia,47
all,2021-03,Florida,1515
all,2021-03,Georgia,653
all,2021-03,Hawaii,16
all,2021-03,Idaho,54
all,2021-03,Illinois,532
all,2021-03,Indiana,238
all,2021-03,Iowa,115
all,2021-03,Kansas,105
all,2021-03,Kentucky,294
all,2021-03,Louisiana,294
all,2021-03,Maine,31
all,2021-03,Maryland,409
all,2021-03,Massachusetts,334
all,2021-03,Michigan,503
all,2021-03,Minnesota,135
all,2021-03,Mississippi,211
all,2021-03,Missouri,252
all,2021-03,Montana,52
all,2021-03,Nebraska,49
all,2021-03,Nevada,187
all,2021-03,New Hampshire,42
all,2021-03,New Jersey,907
all,2021-03,New Mexico,127
all,2021-03,New York,2476
all,2021-03,North Carolina,530
