year,age,dead
2008,72,43896
2008,73,46481
2008,74,47034
2008,75,50235
2008,76,53618
2008,77,57532
2008,78,61804
2008,79,64181
2008,80,67733
2008,81,70756
2008,82,73025
2008,83,76795
2008,84,77881
2008,85,77640
2008,86,79196
2008,87,76935
2008,88,73109
2008,89,65672
2008,90,62598
2008,91,56051
2008,92,50172
2008,93,44453
2008,94,38107
2008,95,31242
2008,96,24661
2008,97,19289
2008,98,14415
2008,99,10259
2008,100,20892
2008,NA,147
2009,0,26412
2009,1,1748
2009,2,1157
2009,3,876
2009,4,669
2009,5,586
2009,6,523
2009,7,446
2009,8,458
2009,9,510
2009,10,466
2009,11,575
2009,12,572
2009,13,674
2009,14,841
2009,15,1159
2009,16,1718
2009,17,2250
2009,18,3051
2009,19,3342
2009,20,3519
2009,21,3863
2009,22,3658
2009,23,3931
2009,24,3925
2009,25,3877
2009,26,4107
2009,27,4018
2009,28,4225
2009,29,4385
2009,30,4303
2009,31,4192
2009,32,4319
2009,33,4401
2009,34,4675
2009,35,4878
2009,36,5243
2009,37,5832
2009,38,6557
2009,39,7000
2009,40,7447
2009,41,8020
2009,42,8728
2009,43,9670
2009,44,11290
2009,45,12568
2009,46,13917
2009,47,15340
2009,48,16649
2009,49,17933
2009,50,19359
2009,51,20905
2009,52,22684
2009,53,23593
2009,54,24620
2009,55,25556
2009,56,26572
2009,57,27649
2009,58,28269
2009,59,29660
2009,60,31518
2009,61,33317
2009,62,36617
2009,63,31634
2009,64,32515
2009,65,35435
2009,66,38535
2009,67,37050
2009,68,37086
2009,69,37665
2009,70,39434
2009,71,41317
2009,72,42164
2009,73,44731
2009,74,47615
2009,75,47955
2009,76,51082
2009,77,54733
2009,78,59223
2009,79,61994
2009,80,64312
2009,81,68109
2009,82,71549
2009,83,72946
2009,84,75824
2009,85,76411
2009,86,76038
2009,87,75946
2009,88,73111
2009,89,67626
2009,90,60015
2009,91,55639
2009,92,49329
2009,93,43309
2009,94,37242
2009,95,30646
2009,96,24575
2009,97,18713
2009,98,13909
2009,99,10277
2009,100,20392
2009,NA,255
2010,0,24586
2010,1,1734
2010,2,1104
2010,3,844
2010,4,634
2010,5,500
2010,6,466
2010,7,461
2010,8,466
2010,9,437
2010,10,429
2010,11,520
2010,12,551
