type,cause,month,dead
ucd,O00-O99,2020-07,114
ucd,O00-O99,2020-08,121
ucd,O00-O99,2020-09,115
ucd,O00-O99,2020-10,99
ucd,O00-O99,2020-11,103
ucd,O00-O99,2020-12,114
ucd,O00-O99,2021-01,132
ucd,O00-O99,2021-02,94
ucd,O00-O99,2021-03,107
ucd,O00-O99,2021-04,113
ucd,O00-O99,2021-05,122
ucd,O00-O99,2021-06,92
ucd,O00-O99,2021-07,122
ucd,O00-O99,2021-08,207
ucd,O00-O99,2021-09,235
ucd,O00-O99,2021-10,159
ucd,O00-O99,2021-11,133
ucd,O00-O99,2021-12,171
ucd,O00-O99,2022-01,171
ucd,O00-O99,2022-02,109
ucd,O00-O99,2022-03,97
ucd,O00-O99,2022-04,85
ucd,O00-O99,2022-05,86
ucd,O00-O99,2022-06,111
ucd,O00-O99,2022-07,109
ucd,O00-O99,2022-08,95
ucd,O00-O99,2022-09,91
ucd,O00-O99,2022-10,96
ucd,O00-O99,2022-11,112
ucd,O00-O99,2022-12,101
ucd,O00-O99,2023-01,102
ucd,O00-O99,2023-02,79
ucd,O00-O99,2023-03,93
ucd,O00-O99,2023-04,80
ucd,O00-O99,2023-05,70
ucd,O00-O99,2023-06,88
ucd,O00-O99,2023-07,92
ucd,O00-O99,2023-08,69
ucd,O00-O99,2023-09,93
ucd,O00-O99,2023-10,86
ucd,O00-O99,2023-11,82
ucd,O00-O99,2023-12,107
ucd,O00-O99,2024-01,94
ucd,O00-O99,2024-02,73
ucd,O00-O99,2024-03,92
ucd,O00-O99,2024-04,70
ucd,O00-O99,2024-05,84
ucd,O00-O99,2024-06,78
ucd,O00-O99,2024-07,81
ucd,O00-O99,2024-08,77
ucd,O00-O99,2024-09,78
ucd,O00-O99,2024-10,90
ucd,O00-O99,2024-11,86
ucd,O00-O99,2024-12,51
mcd,O00-O99,1999-01,47
mcd,O00-O99,1999-02,43
mcd,O00-O99,1999-03,27
mcd,O00-O99,1999-04,35
mcd,O00-O99,1999-05,35
mcd,O00-O99,1999-06,31
mcd,O00-O99,1999-07,35
mcd,O00-O99,1999-08,41
mcd,O00-O99,1999-09,35
mcd,O00-O99,1999-10,36
mcd,O00-O99,1999-11,43
mcd,O00-O99,1999-12,32
mcd,O00-O99,2000-01,56
mcd,O00-O99,2000-02,32
mcd,O00-O99,2000-03,40
mcd,O00-O99,2000-04,27
mcd,O00-O99,2000-05,37
mcd,O00-O99,2000-06,37
mcd,O00-O99,2000-07,48
mcd,O00-O99,2000-08,37
mcd,O00-O99,2000-09,37
mcd,O00-O99,2000-10,39
mcd,O00-O99,2000-11,32
mcd,O00-O99,2000-12,30
mcd,O00-O99,2001-01,42
mcd,O00-O99,2001-02,46
mcd,O00-O99,2001-03,39
mcd,O00-O99,2001-04,37
mcd,O00-O99,2001-05,33
mcd,O00-O99,2001-06,30
mcd,O00-O99,2001-07,46
mcd,O00-O99,2001-08,43
mcd,O00-O99,2001-09,45
mcd,O00-O99,2001-10,35
mcd,O00-O99,2001-11,29
mcd,O00-O99,2001-12,36
mcd,O00-O99,2002-01,42
mcd,O00-O99,2002-02,29
mcd,O00-O99,2002-03,32
mcd,O00-O99,2002-04,36
mcd,O00-O99,2002-05,35
mcd,O00-O99,2002-06,30
mcd,O00-O99,2002-07,42
mcd,O00-O99,2002-08,33
mcd,O00-O99,2002-09,35
mcd,O00-O99,2002-10,43
mcd,O00-O99,2002-11,37
mcd,O00-O99,2002-12,33
mcd,O00-O99,2003-01,50
mcd,O00-O99,2003-02,66
mcd,O00-O99,2003-03,65
mcd,O00-O99,2003-04,56
mcd,O00-O99,2003-05,51
mcd,O00-O99,2003-06,73
mcd,O00-O99,2003-07,55
mcd,O00-O99,2003-08,57
mcd,O00-O99,2003-09,53
mcd,O00-O99,2003-10,47
mcd,O00-O99,2003-11,57
mcd,O00-O99,2003-12,80
mcd,O00-O99,2004-01,79
mcd,O00-O99,2004-02,61
mcd,O00-O99,2004-03,97
mcd,O00-O99,2004-04,63
mcd,O00-O99,2004-05,74
mcd,O00-O99,2004-06,76
mcd,O00-O99,2004-07,72
mcd,O00-O99,2004-08,88
mcd,O00-O99,2004-09,69
mcd,O00-O99,2004-10,79
mcd,O00-O99,2004-11,75
mcd,O00-O99,2004-12,80
mcd,O00-O99,2005-01,96
mcd,O00-O99,2005-02,83
mcd,O00-O99,2005-03,76
mcd,O00-O99,2005-04,84
mcd,O00-O99,2005-05,73
mcd,O00-O99,2005-06,81
mcd,O00-O99,2005-07,79
mcd,O00-O99,2005-08,82
mcd,O00-O99,2005-09,105
mcd,O00-O99,2005-10,85
mcd,O00-O99,2005-11,103
mcd,O00-O99,2005-12,94
mcd,O00-O99,2006-01,83
mcd,O00-O99,2006-02,90
mcd,O00-O99,2006-03,90
mcd,O00-O99,2006-04,85
mcd,O00-O99,2006-05,74
mcd,O00-O99,2006-06,81
mcd,O00-O99,2006-07,102
mcd,O00-O99,2006-08,96
mcd,O00-O99,2006-09,87
mcd,O00-O99,2006-10,90
mcd,O00-O99,2006-11,84
mcd,O00-O99,2006-12,83
mcd,O00-O99,2007-01,84
mcd,O00-O99,2007-02,81
mcd,O00-O99,2007-03,104
mcd,O00-O99,2007-04,103
mcd,O00-O99,2007-05,84
mcd,O00-O99,2007-06,106
mcd,O00-O99,2007-07,99
mcd,O00-O99,2007-08,87
mcd,O00-O99,2007-09,86
