year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1974,921,72,48,48,36,24,27,24,12,30,21,18,21,33,45,42,66,66,87,75,63,63,42,42,57,57,57,39,45,42,42,42,42,51,42,54,51,54,57,66,78,72,90,120,102,120,129,156,156,198,219,195,234,240,264,258,285,318,321,351,435,426,426,480,564,564,531,513,567,612,651,621,663,729,729,627,648,639,666,675,606,600,579,627,636,570,567,447,438,366,336,249,213,186,162,99,63,39,30,18,30
1975,906,96,69,39,39,30,39,27,27,21,18,18,24,30,21,36,51,63,75,78,60,72,63,57,33,36,60,42,54,57,39,42,45,51,54,57,54,45,69,69,66,75,78,87,102,132,123,141,156,186,201,192,228,252,279,276,258,270,324,345,432,417,492,531,516,528,516,552,576,639,654,597,621,699,813,669,630,576,642,639,612,543,648,558,618,597,525,459,417,393,351,255,225,168,120,117,75,57,39,33,30
1976,765,66,39,48,33,27,27,12,18,15,18,24,24,27,27,36,60,87,78,66,69,66,57,57,66,45,39,48,48,48,45,33,36,45,48,39,63,63,63,57,66,81,84,99,111,126,126,135,180,177,198,207,231,210,252,288,306,306,306,381,381,426,420,489,513,570,540,621,591,636,672,657,747,705,726,750,819,612,672,648,624,570,588,618,597,480,594,480,405,387,312,267,222,171,141,105,108,60,60,18,39
1977,771,66,45,39,36,33,21,27,27,21,21,18,21,27,33,48,78,90,111,81,96,81,69,63,57,60,51,57,69,66,51,48,54,60,48,48,75,54,60,60,75,72,99,111,102,102,135,159,177,180,204,186,222,234,288,252,324,318,288,369,402,384,456,489,531,561,576,600,657,627,654,678,702,744,759,675,747,795,669,666,630,591,651,570,606,513,534,468,414,372,324,285,198,177,138,126,75,60,48,27,48
1978,705,45,42,33,33,24,15,18,21,18,21,15,12,21,33,39,63,87,78,66,66,72,69,57,48,54,45,51,51,45,39,60,42,48,42,54,51,63,66,63,75,78,63,102,108,93,144,159,162,180,177,183,237,234,261,252,273,321,354,330,333,387,447,501,519,525,555,546,615,657,660,666,711,753,729,711,633,744,714,642,624,549,564,543,513,501,462,405,417,384,306,225,228,207,135,96,60,51,42,18,36
1979,654,60,36,24,30,21,21,21,21,12,12,21,18,27,21,39,45,78,78,81,78,66,63,48,48,51,57,48,51,42,54,51,48,39,36,39,45,72,72,54,78,63,81,66,96,114,111,132,147,162,177,210,204,252,258,261,276,288,363,366,390,381,438,435,519,555,534,645,645,606,648,735,717,741,810,714,753,732,789,747,690,621,621,600,528,471,534,444,384,345,321,291,201,171,123,117,81,63,39,33,48
1980,651,60,33,24,24,24,18,15,21,18,15,15,15,21,30,36,45,66,81,75,81,84,60,69,45,54,60,69,60,45,54,48,51,51,45,51,48,51,60,60,66,75,69,78,78,114,105,117,141,153,162,159,207,234,240,255,315,309,333,381,396,351,435,492,480,588,606,633,678,684,723,693,741,786,765,822,831,774,756,819,789,672,705,663,582,594,510,492,432,375,345,312,312,219,165,129,93,75,51,30,45
1981,591,63,51,21,27,15,21,9,15,15,15,21,18,15,30,45,51,72,81,66,78,69,72,57,48,54,33,51,30,51,48,51,57,51,54,45,48,51,57,63,81,81,72,105,93,84,111,111,147,150,168,156,195,234,237,246,330,300,339,348,366,396,384,426,456,528,561,621,633,645,681,657,729,723,768,759,756,684,726,684,735,690,648,540,570,543,489,438,456,357,354,276,237,192,159,117,99,63,45,21,51
1982,588,48,36,24,18,27,12,12,15,15,12,12,9,15,24,36,36,72,81,63,78,78,63,66,60,48,45,51,45,54,57,54,45,51,63,57,48,63,63,66,75,75,69,90,90,105,120,120,114,144,144,183,198,195,222,228,315,327,339,369,387,396,465,393,486,459,552,636,669,651,684,672,729,747,777,705,771,756,756,660,735,732,672,636,582,561,501,465,393,384,342,285,261,195,144,123,96,78,48,39,72
1983,633,36,33,21,21,18,18,9,18,18,21,12,12,24,21,48,54,45,69,60,93,81,84,51,72,48,45,57,39,45,45,42,48,57,57,63,54,51,57,72,63,69,69,102,93,87,108,120,141,120,150,138,177,177,240,243,276,297,324,354,372,408,474,468,444,492,531,579,624,681,654,711,786,744,780,801,783,834,795,741,795,654,756,684,636,603,486,492,411,378,330,273,237,222,171,144,99,75,42,39,54
1984,597,51,27,30,15,18,18,12,15,15,9,21,6,21,27,39,42,60,63,66,69,75,57,60,63,51,42,63,42,33,54,66,57,51,54,60,48,57,66,51,54,72,87,90,99,93,99,102,102,129,153,144,171,201,240,228,261,300,333,339,387,363,441,453,444,450,489,525,597,636,648,735,732,795,750,798,816,777,768,795,792,639,672,663,639,546,486,522,444,366,327,276,246,189,159,120,105,75,57,36,54
1985,561,45,39,18,12,18,27,9,15,15,15,12,21,21,27,51,48,63,75,69,66,63,66,69,60,66,57,66,57,45,51,54,39,51,42,54,66,54,63,63,78,63,78,90,96,111,123,117,129,126,141,153,168,210,216,243,231,339,348,333,405,414,441,480,504,519,468,561,603,660,648,741,774,786,849,849,849,879,795,882,819,798,789,696,702,711,618,549,471,408,426,339,294,243,222,168,120,96,57,42,81
1986,594,57,36,18,24,15,21,12,12,9,18,18,24,21,18,42,51,60,66,96,66,84,69,78,57,66,57,57,57,54,57,60,51,57,54,57,60,60,90,78,75,57,75,87,96,96,90,114,114,126,138,150,183,195,216,261,252,279,303,345,378,399,411,492,522,543,546,492,579,600,678,729,780,807,789,819,906,846,840,822,858,768,765,735,675,660,567,522,480,390,366,315,282,228,186,129,129,102,57,48,63
1987,552,39,30,27,15,15,12,15,9,18,12,18,15,15,36,45,54,60,72,93,96,78,60,72,66,66,69,57,63,54,63,60,45,57,63,66,48,69,81,63,66,60,90,90,78,99,99,123,135,135,171,189,180,195,198,222,249,300,318,336,384,387,420,447,480,528,567,582,555,591,669,714,798,780,843,837,834,873,888,816,813,801,828,771,690,654,621,591,507,456,378,309,282,261,180,153,93,90,54,33,81
1988,618,45,24,27,15,24,9,15,12,6,12,9,15,24,18,27,42,75,78,81,66,81,72,75,69,78,66,69,48,54,63,54,54,54,66,57,72,75,66,57,78,90,84,87,93,93,114,123,126,129,135,141,177,171,192,216,231,270,279,309,378,378,426,495,450,522,546,627,573,546,579,648,768,765,792,888,849,873,894,840,879,870,780,774,759,645,678,627,558,444,399,315,276,219,192,159,114,93,66,42,69
1989,591,36,30,27,15,12,18,15,12,12,6,9,15,15,24,36,51,72,81,93,78,90,51,72,69,54,66,51,54,63,66,36,54,54,72,54,75,54,60,63,72,81,96,90,105,96,102,129,129,141,156,159,174,180,189,180,213,252,279,285,345,396,399,432,489,498,537,576,621,552,588,651,693,702,819,885,852,843,864,822,888,918,801,798,702,672,609,564,555,456,402,339,261,255,204,153,114,99,78,39,84
1990,501,45,33,21,21,12,9,21,9,6,9,12,12,15,15,30,45,75,60,87,87,78,75,60,78,69,66,63,51,54,51,54,54,66,60,54,51,69,66,63,81,78,78,105,99,102,111,111,132,132,135,138,156,192,207,198,231,255,270,312,330,351,399,426,456,495,483,570,597,630,603,582,696,759,783,813,756,846,831,837,858,867,822,741,756,675,615,555,474,477,402,336,276,249,168,156,111,78,51,51,111
1991,495,33,27,24,15,15,9,12,18,9,12,12,15,6,21,24,39,42,63,69,69,63,54,72,66,57,48,48,63,54,54,57,54,57,60,72,75,66,69,90,84,81,105,96,108,90,108,111,123,147,159,162,141,180,171,201,210,222,231,285,357,330,354,429,462,519,501,579,546,624,648,687,624,678,702,729,771,879,816,852,831,816,825,771,798,675,678,624,519,450,423,363,288,234,189,159,135,81,57,57,117
1992,426,45,21,15,18,12,18,18,15,6,9,9,9,15,27,27,39,48,66,66,69,60,72,72,57,60,45,57,51,63,63,57,60,42,54,66,60,72,75,69,72,81,78,84,96,111,108,123,123,120,147,165,168,180,210,201,207,228,258,276,267,336,360,396,504,504,528,495,609,633,678,684,687,669,705,774,816,762,861,903,909,849,885,885,795,723,699,693,558,555,498,366,321,222,216,159,150,96,63,45,96
1993,423,45,36,12,18,9,12,3,9,9,9,12,9,12,12,18,45,48,63,72,78,87,66,57,51,48,45,54,48,60,69,39,51,42,60,60,75,63,66,66,78,87,111,102,96,96,120,114,108,126,129,165,171,186,222,201,210,225,249,261,297,315,360,420,408,438,501,513,594,609,639,642,705,756,708,789,789,801,888,912,897,819,825,873,843,804,729,681,582,507,456,414,348,246,225,195,135,99,75,45,96
1994,402,45,21,18,15,12,12,12,6,9,9,6,6,12,15,21,27,36,57,60,54,54,72,48,54,63,48,42,63,48,60,66,57,66,54,69,51,66,66,72,75,66,96,93,96,87,105,129,120,126,147,147,174,183,210,201,210,210,237,231,297,303,330,387,417,486,507,510,540,579,630,672,708,738,777,696,726,810,798,882,939,897,864,864,795,798,732,720,609,531,492,435,351,318,237,174,147,96,84,48,117
1995,384,42,12,15,21,12,12,6,12,9,9,12,6,15,18,24,39,48,54,60,63,60,63,69,75,66,57,51,57,60,60,57,57,63,54,63,60,75,63,63,69,81,87,84,102,108,123,126,144,156,147,165,168,225,210,201,228,237,225,270,297,276,333,342,426,504,441,555,552,600,666,627,702,747,795,837,765,750,825,885,846,921,915,882,816,858,798,690,639,582,579,435,348,357,267,204,162,120,81,57,126
1996,405,39,21,18,15,15,6,15,3,12,12,9,15,12,15,30,63,54,63,48,60,48,54,45,60,54,60,57,54,48,51,51,69,66,69,57,69,66,81,66,66,66,84,72,75,108,135,141,159,147,150,168,168,174,189,198,237,216,237,273,306,273,363,375,411,438,501,531,528,618,651,651,711,735,789,840,831,750,813,825,918,912,906,969,921,867,762,786,684,612,540,462,456,351,249,234,162,114,90,72,123
1997,375,36,42,15,9,12,9,9,6,9,6,15,6,12,18,30,39,45,57,66,66,45,39,39,54,57,63,63,51,54,51,54,60,48,84,66,60,69,69,63,96,90,90,105,72,111,126,102,132,150,168,144,192,165,219,201,231,246,228,282,270,270,303,336,360,408,492,501,534,588,627,672,675,675,705,783,780,798,693,789,933,798,975,921,903,834,798,711,687,654,579,507,417,336,273,216,156,117,72,57,123
1998,306,36,12,24,12,12,12,15,6,6,6,12,18,15,24,27,51,45,42,39,45,48,39,45,48,42,54,48,51,48,36,57,54,57,69,60,48,72,84,87,90,90,99,90,105,111,96,93,129,138,138,159,177,156,186,198,210,225,249,285,297,282,303,321,351,366,432,468,486,558,588,612,594,657,681,741,795,777,813,756,768,846,867,822,840,831,723,768,633,603,540,477,399,321,258,243,171,132,78,39,120
1999,318,27,15,18,15,6,6,9,9,9,9,12,6,12,27,21,36,39,48,54,45,45,45,48,36,57,48,48,42,48,51,45,45,51,63,57,66,72,72,75,75,90,78,99,114,90,117,126,132,144,153,162,210,168,186,219,228,228,267,291,264,318,327,342,381,387,405,432,492,534,555,630,687,711,753,804,834,837,900,900,780,849,906,891,888,927,897,795,771,681,654,537,507,378,309,249,204,126,114,78,168
2000,345,30,27,15,15,9,9,12,9,9,12,9,12,9,18,21,27,45,36,42,36,30,39,39,48,51,42,45,48,48,54,42,63,57,48,60,48,66,72,66,78,99,78,90,99,99,108,141,120,141,159,156,174,186,198,189,222,216,231,282,264,297,294,306,297,339,345,438,498,534,546,609,597,666,672,705,723,834,876,906,936,738,819,837,852,861,837,762,735,675,603,546,396,372,306,231,189,126,108,78,138
2001,294,33,21,9,9,12,15,12,6,3,6,15,12,15,15,18,39,51,39,42,33,42,57,33,42,24,42,45,39,51,45,51,60,48,63,54,51,69,72,60,78,81,75,102,105,96,96,111,123,135,144,168,186,201,192,192,210,186,234,258,288,285,348,345,345,372,360,423,456,498,564,573,636,681,744,759,753,789,786,906,867,945,825,879,909,927,906,894,849,747,624,594,549,447,357,264,210,165,132,81,141
2002,300,48,6,12,12,9,12,12,9,6,6,12,9,12,15,18,27,36,54,36,45,33,39,36,33,42,39,30,48,51,48,48,42,54,60,60,66,57,75,78,99,75,99,90,84,123,108,114,111,144,120,156,186,183,207,237,198,234,249,261,273,321,333,321,315,354,387,411,426,459,492,597,630,654,699,702,777,879,876,855,915,939,915,789,897,927,870,930,909,744,699,612,528,468,360,303,267,165,117,66,165
2003,279,33,21,15,15,9,6,12,9,6,3,12,12,12,15,18,45,48,54,45,48,42,36,27,36,42,27,36,39,42,48,42,57,51,60,63,63,63,57,81,99,90,87,90,99,120,120,129,120,147,141,147,174,219,210,237,219,222,213,291,243,276,321,324,375,357,348,420,435,459,531,561,597,636,648,681,792,795,858,834,927,945,984,957,828,864,906,840,837,819,726,624,531,480,414,291,240,144,135,93,150
2004,324,24,15,12,9,6,6,9,3,9,3,3,9,12,24,30,36,48,51,33,36,45,39,45,30,36,27,30,39,39,42,36,48,39,48,63,69,72,63,69,69,78,75,99,114,111,120,147,150,135,156,159,168,195,195,219,234,237,213,270,264,282,324,348,333,339,372,390,438,477,465,528,555,639,669,699,765,762,879,858,912,921,984,1032,1008,930,852,927,861,834,777,678,579,474,408,300,237,180,144,93,165
