date,count_first_shot_general,count_second_shot_general,count_third_shot_general,count_fourth_shot_general,count_fifth_shot_general,count_sixth_shot_general,count_seventh_shot_general,count_first_shot_general_wo_deceased,count_second_shot_general_wo_deceased,count_third_shot_general_wo_deceased,count_fourth_shot_general_wo_deceased,count_fifth_shot_general_wo_deceased,count_sixth_shot_general_wo_deceased,count_seventh_shot_general_wo_deceased
2021/7/23,253453,274884,0,0,0,0,0,249493,264700,0,0,0,0,0
2021/7/24,467266,853322,0,0,0,0,0,458909,817666,0,0,0,0,0
2021/7/25,420992,790252,0,0,0,0,0,413947,759265,0,0,0,0,0
2021/7/26,559747,926885,0,0,0,0,0,545743,881571,0,0,0,0,0
2021/7/27,609438,952537,0,0,0,0,0,594289,906794,0,0,0,0,0
2021/7/28,602243,985418,0,0,0,0,0,588028,940662,0,0,0,0,0
2021/7/29,606537,972479,0,0,0,0,0,592459,928144,0,0,0,0,0
2021/7/30,635820,1007747,0,0,0,0,0,622523,967353,0,0,0,0,0
2021/7/31,641473,1006352,0,0,0,0,0,631591,972656,0,0,0,0,0
2021/8/1,561022,700934,0,0,0,0,0,553296,682542,0,0,0,0,0
2021/8/2,570627,819622,0,0,0,0,0,559038,791939,0,0,0,0,0
2021/8/3,588118,871172,0,0,0,0,0,576675,841643,0,0,0,0,0
2021/8/4,576109,865941,0,0,0,0,0,565553,837943,0,0,0,0,0
2021/8/5,563868,888230,0,0,0,0,0,553480,861277,0,0,0,0,0
2021/8/6,583566,946002,0,0,0,0,0,573594,919876,0,0,0,0,0
2021/8/7,699780,891506,0,0,0,0,0,691069,872906,0,0,0,0,0
2021/8/8,610628,635641,0,0,0,0,0,603411,623277,0,0,0,0,0
2021/8/9,168988,219866,0,0,0,0,0,166360,215682,0,0,0,0,0
2021/8/10,488925,836746,0,0,0,0,0,479694,812323,0,0,0,0,0
2021/8/11,498416,742257,0,0,0,0,0,489639,722081,0,0,0,0,0
2021/8/12,492184,437887,0,0,0,0,0,484208,428612,0,0,0,0,0
2021/8/13,345756,330605,0,0,0,0,0,340204,324353,0,0,0,0,0
2021/8/14,354790,411789,0,0,0,0,0,350500,404374,0,0,0,0,0
2021/8/15,369787,379843,0,0,0,0,0,365747,373523,0,0,0,0,0
2021/8/16,434734,586070,0,0,0,0,0,427257,571123,0,0,0,0,0
2021/8/17,547088,703961,0,0,0,0,0,537818,686825,0,0,0,0,0
2021/8/18,577556,684110,0,0,0,0,0,568854,668325,0,0,0,0,0
2021/8/19,576790,642506,0,0,0,0,0,568082,627710,0,0,0,0,0
2021/8/20,615571,696419,0,0,0,0,0,607137,682150,0,0,0,0,0
2021/8/21,721858,725830,0,0,0,0,0,713957,714103,0,0,0,0,0
2021/8/22,627980,612254,0,0,0,0,0,621447,603254,0,0,0,0,0
2021/8/23,548962,652750,0,0,0,0,0,540415,639697,0,0,0,0,0
2021/8/24,612353,655268,0,0,0,0,0,602609,642630,0,0,0,0,0
2021/8/25,605173,637379,0,0,0,0,0,596358,625520,0,0,0,0,0
2021/8/26,570625,603669,0,0,0,0,0,562676,592599,0,0,0,0,0
2021/8/27,641902,668028,0,0,0,0,0,633658,657019,0,0,0,0,0
2021/8/28,730790,749624,0,0,0,0,0,723238,739922,0,0,0,0,0
2021/8/29,599533,632804,0,0,0,0,0,592928,625002,0,0,0,0,0
2021/8/30,390436,287616,0,0,0,0,0,385083,282798,0,0,0,0,0
2021/8/31,652231,536798,0,0,0,0,0,642979,526566,0,0,0,0,0
2021/9/1,647456,496481,0,0,0,0,0,638333,487481,0,0,0,0,0
2021/9/2,423155,505611,0,0,0,0,0,417382,497170,0,0,0,0,0
2021/9/3,742608,421565,0,0,0,0,0,733130,414851,0,0,0,0,0
2021/9/4,958767,455774,0,0,0,0,0,948465,450293,0,0,0,0,0
2021/9/5,778812,403440,0,0,0,0,0,770385,398950,0,0,0,0,0
2021/9/6,619655,420384,0,0,0,0,0,611168,412995,0,0,0,0,0
2021/9/7,632874,529841,0,0,0,0,0,623890,520731,0,0,0,0,0
2021/9/8,599883,554979,0,0,0,0,0,591593,546315,0,0,0,0,0
2021/9/9,586946,543246,0,0,0,0,0,578857,534986,0,0,0,0,0
2021/9/10,650921,614756,0,0,0,0,0,642943,606394,0,0,0,0,0
2021/9/11,788674,725570,0,0,0,0,0,780493,717663,0,0,0,0,0
2021/9/12,620168,596456,0,0,0,0,0,613504,590053,0,0,0,0,0
2021/9/13,511573,518375,0,0,0,0,0,504727,510221,0,0,0,0,0
2021/9/14,538269,554945,0,0,0,0,0,530974,545945,0,0,0,0,0
2021/9/15,514982,556488,0,0,0,0,0,507899,548059,0,0,0,0,0
2021/9/16,501449,560569,0,0,0,0,0,494511,552374,0,0,0,0,0
2021/9/17,578420,642918,0,0,0,0,0,571605,634299,0,0,0,0,0
2021/9/18,740744,727758,0,0,0,0,0,733627,719915,0,0,0,0,0
2021/9/19,577168,569839,0,0,0,0,0,570951,563592,0,0,0,0,0
2021/9/20,157129,156571,0,0,0,0,0,155053,154534,0,0,0,0,0
2021/9/21,411261,688773,0,0,0,0,0,405123,678514,0,0,0,0,0
2021/9/22,421170,657290,0,0,0,0,0,415207,648051,0,0,0,0,0
2021/9/23,195139,238649,0,0,0,0,0,192743,235836,0,0,0,0,0
2021/9/24,436989,769766,0,0,0,0,0,431334,760136,0,0,0,0,0
2021/9/25,576336,944122,0,0,0,0,0,570444,934121,0,0,0,0,0
2021/9/26,448100,730509,0,0,0,0,0,443098,722765,0,0,0,0,0
2021/9/27,377468,617424,0,0,0,0,0,372022,608740,0,0,0,0,0
2021/9/28,407877,623493,0,0,0,0,0,401866,614641,0,0,0,0,0
2021/9/29,404196,594917,0,0,0,0,0,398528,586403,0,0,0,0,0
2021/9/30,389446,602279,0,0,0,0,0,383854,593755,0,0,0,0,0
2021/10/1,440526,643281,0,0,0,0,0,434909,635160,0,0,0,0,0
2021/10/2,599046,783161,0,0,0,0,0,592470,774990,0,0,0,0,0
2021/10/3,469152,609895,0,0,0,0,0,463458,603541,0,0,0,0,0
2021/10/4,331570,533511,0,0,0,0,0,326251,526348,0,0,0,0,0
2021/10/5,346551,557198,0,0,0,0,0,340846,549441,0,0,0,0,0
2021/10/6,331656,542574,0,0,0,0,0,325966,535116,0,0,0,0,0
2021/10/7,318398,539392,0,0,0,0,0,313046,532129,0,0,0,0,0
2021/10/8,378074,662709,0,0,0,0,0,372971,654590,0,0,0,0,0
2021/10/9,509561,824684,0,0,0,0,0,503446,816156,0,0,0,0,0
2021/10/10,379939,601690,0,0,0,0,0,375052,595138,0,0,0,0,0
2021/10/11,285195,217418,0,0,0,0,0,280557,214399,0,0,0,0,0
2021/10/12,271035,446617,0,0,0,0,0,266570,440139,0,0,0,0,0
2021/10/13,142155,439170,0,0,0,0,0,139432,432986,0,0,0,0,0
2021/10/14,263742,253158,0,0,0,0,0,259469,249572,0,0,0,0,0
2021/10/15,304837,518076,0,0,0,0,0,300473,511613,0,0,0,0,0
2021/10/16,399170,660621,0,0,0,0,0,393996,653906,0,0,0,0,0
2021/10/17,249822,497973,0,0,0,0,0,246485,492240,0,0,0,0,0
2021/10/18,177927,381731,0,0,0,0,0,174947,376232,0,0,0,0,0
2021/10/19,173393,420719,0,0,0,0,0,170424,414433,0,0,0,0,0
2021/10/20,166204,416432,0,0,0,0,0,162973,410585,0,0,0,0,0
2021/10/21,149020,390484,0,0,0,0,0,146065,385060,0,0,0,0,0
2021/10/22,195047,501550,0,0,0,0,0,191870,495205,0,0,0,0,0
