month_of_death,age_at_death,last_dose_number,days_between_last_vaccination_and_death,count
2021-07,81_to_100,2,<=_180,<5
2021-07,81_to_100,2,<=_30,280
2021-07,81_to_100,2,<=_90,371
2021-08,0_to_20,0,NA,97
2021-08,0_to_20,1,<=_30,<5
2021-08,100+,0,NA,17
2021-08,100+,2,<=_30,<5
2021-08,100+,2,<=_90,10
2021-08,21_to_40,0,NA,53
2021-08,21_to_40,1,<=_180,<5
2021-08,21_to_40,1,<=_30,<5
2021-08,21_to_40,2,<=_30,<5
2021-08,21_to_40,2,<=_90,<5
2021-08,41_to_60,0,NA,236
2021-08,41_to_60,1,<=_30,25
2021-08,41_to_60,1,<=_90,6
2021-08,41_to_60,2,<=_180,<5
2021-08,41_to_60,2,<=_30,14
2021-08,41_to_60,2,<=_90,17
2021-08,61_to_80,0,NA,670
2021-08,61_to_80,1,<=_180,<5
2021-08,61_to_80,1,<=_30,106
2021-08,61_to_80,1,<=_90,62
2021-08,61_to_80,2,<=_180,33
2021-08,61_to_80,2,<=_30,92
2021-08,61_to_80,2,<=_90,267
2021-08,81_to_100,0,NA,602
2021-08,81_to_100,1,<=_180,6
2021-08,81_to_100,1,<=_30,108
2021-08,81_to_100,1,<=_90,102
2021-08,81_to_100,2,<=_180,61
2021-08,81_to_100,2,<=_30,147
2021-08,81_to_100,2,<=_90,646
2021-09,0_to_20,0,NA,101
2021-09,0_to_20,1,<=_30,7
2021-09,0_to_20,1,<=_90,<5
2021-09,100+,0,NA,<5
2021-09,100+,1,<=_180,<5
2021-09,100+,1,<=_30,<5
2021-09,100+,2,<=_180,8
2021-09,100+,2,<=_90,5
2021-09,21_to_40,0,NA,52
2021-09,21_to_40,1,<=_30,11
2021-09,21_to_40,1,<=_90,<5
2021-09,21_to_40,2,<=_180,<5
2021-09,21_to_40,2,<=_30,<5
2021-09,21_to_40,2,<=_90,<5
2021-09,41_to_60,0,NA,170
2021-09,41_to_60,1,<=_180,<5
2021-09,41_to_60,1,<=_30,35
2021-09,41_to_60,1,<=_90,17
2021-09,41_to_60,2,<=_180,12
2021-09,41_to_60,2,<=_30,37
2021-09,41_to_60,2,<=_90,28
2021-09,61_to_80,0,NA,394
2021-09,61_to_80,1,<=_180,7
2021-09,61_to_80,1,<=_30,80
2021-09,61_to_80,1,<=_90,78
2021-09,61_to_80,2,<=_180,124
2021-09,61_to_80,2,<=_30,106
2021-09,61_to_80,2,<=_90,271
2021-09,61_to_80,3,<=_30,<5
2021-09,81_to_100,0,NA,358
2021-09,81_to_100,1,<=_180,21
2021-09,81_to_100,1,<=_30,54
2021-09,81_to_100,1,<=_90,93
2021-09,81_to_100,2,<=_180,309
2021-09,81_to_100,2,<=_30,83
2021-09,81_to_100,2,<=_90,515
2021-09,81_to_100,3,<=_90,<5
2021-10,0_to_20,0,NA,84
2021-10,0_to_20,1,<=_30,6
2021-10,0_to_20,1,<=_90,<5
