date,age,deaths
2018-08-26,60 to 79,229
2018-08-26,80 and over,389
2018-08-26,Total,725
2018-08-26,Under 30,20
2018-09-02,30 to 59,68
2018-09-02,60 to 79,255
2018-09-02,80 and over,370
2018-09-02,Total,707
2018-09-02,Under 30,14
2018-09-09,30 to 59,69
2018-09-09,60 to 79,240
2018-09-09,80 and over,346
2018-09-09,Total,682
2018-09-09,Under 30,27
2018-09-16,30 to 59,65
2018-09-16,60 to 79,226
2018-09-16,80 and over,364
2018-09-16,Total,674
2018-09-16,Under 30,19
2018-09-23,30 to 59,97
2018-09-23,60 to 79,222
2018-09-23,80 and over,353
2018-09-23,Total,692
2018-09-23,Under 30,20
2018-09-30,30 to 59,71
2018-09-30,60 to 79,197
2018-09-30,80 and over,336
2018-09-30,Total,619
2018-09-30,Under 30,15
2018-10-07,30 to 59,76
2018-10-07,60 to 79,216
2018-10-07,80 and over,341
2018-10-07,Total,652
2018-10-07,Under 30,19
2018-10-14,30 to 59,83
2018-10-14,60 to 79,226
2018-10-14,80 and over,333
2018-10-14,Total,666
2018-10-14,Under 30,24
2018-10-21,30 to 59,75
2018-10-21,60 to 79,224
2018-10-21,80 and over,334
2018-10-21,Total,647
2018-10-21,Under 30,14
2018-10-28,30 to 59,59
2018-10-28,60 to 79,239
2018-10-28,80 and over,307
2018-10-28,Total,626
2018-10-28,Under 30,21
2018-11-04,30 to 59,74
2018-11-04,60 to 79,195
2018-11-04,80 and over,340
2018-11-04,Total,626
2018-11-04,Under 30,17
2018-11-11,30 to 59,66
2018-11-11,60 to 79,222
2018-11-11,80 and over,326
2018-11-11,Total,636
2018-11-11,Under 30,22
2018-11-18,30 to 59,78
2018-11-18,60 to 79,212
2018-11-18,80 and over,295
2018-11-18,Total,604
2018-11-18,Under 30,19
2018-11-25,30 to 59,63
2018-11-25,60 to 79,207
2018-11-25,80 and over,323
2018-11-25,Total,608
2018-11-25,Under 30,15
2018-12-02,30 to 59,66
2018-12-02,60 to 79,214
2018-12-02,80 and over,277
2018-12-02,Total,574
2018-12-02,Under 30,17
2018-12-09,30 to 59,81
2018-12-09,60 to 79,187
2018-12-09,80 and over,299
2018-12-09,Total,582
2018-12-09,Under 30,15
2018-12-16,30 to 59,58
2018-12-16,60 to 79,214
2018-12-16,80 and over,303
2018-12-16,Total,588
2018-12-16,Under 30,13
2018-12-23,30 to 59,75
2018-12-23,60 to 79,199
2018-12-23,80 and over,319
2018-12-23,Total,615
2018-12-23,Under 30,22
2018-12-30,30 to 59,79
2018-12-30,60 to 79,195
2018-12-30,80 and over,284
2018-12-30,Total,568
2018-12-30,Under 30,10
2019-01-06,30 to 59,77
2019-01-06,60 to 79,210
2019-01-06,80 and over,295
2019-01-06,Total,609
2019-01-06,Under 30,27
2019-01-13,30 to 59,71
2019-01-13,60 to 79,189
2019-01-13,80 and over,315
2019-01-13,Total,604
2019-01-13,Under 30,29
2019-01-20,30 to 59,79
2019-01-20,60 to 79,210
2019-01-20,80 and over,312
2019-01-20,Total,625
2019-01-20,Under 30,24
2019-01-27,30 to 59,67
2019-01-27,60 to 79,207
2019-01-27,80 and over,303
2019-01-27,Total,591
2019-01-27,Under 30,14
2019-02-03,30 to 59,74
2019-02-03,60 to 79,201
2019-02-03,80 and over,247
2019-02-03,Total,544
2019-02-03,Under 30,22
2019-02-10,30 to 59,79
2019-02-10,60 to 79,175
2019-02-10,80 and over,285
2019-02-10,Total,557
2019-02-10,Under 30,18
2019-02-17,30 to 59,77
2019-02-17,60 to 79,182
2019-02-17,80 and over,287
2019-02-17,Total,558
2019-02-17,Under 30,12
2019-02-24,30 to 59,82
2019-02-24,60 to 79,202
2019-02-24,80 and over,273
2019-02-24,Total,571
2019-02-24,Under 30,14
2019-03-03,30 to 59,78
2019-03-03,60 to 79,229
2019-03-03,80 and over,300
2019-03-03,Total,619
2019-03-03,Under 30,12
2019-03-10,30 to 59,64
2019-03-10,60 to 79,239
2019-03-10,80 and over,311
2019-03-10,Total,627
2019-03-10,Under 30,13
2019-03-17,30 to 59,90
2019-03-17,60 to 79,252
2019-03-17,80 and over,303
2019-03-17,Total,676
2019-03-17,Under 30,31
2019-03-24,30 to 59,74
2019-03-24,60 to 79,221
2019-03-24,80 and over,316
2019-03-24,Total,632
2019-03-24,Under 30,21
2019-03-31,30 to 59,73
2019-03-31,60 to 79,220
2019-03-31,80 and over,321
2019-03-31,Total,636
2019-03-31,Under 30,22
2019-04-07,30 to 59,80
2019-04-07,60 to 79,224
2019-04-07,80 and over,311
2019-04-07,Total,640
2019-04-07,Under 30,25
2019-04-14,30 to 59,79
2019-04-14,60 to 79,235
2019-04-14,80 and over,320
2019-04-14,Total,648
2019-04-14,Under 30,14
2019-04-21,30 to 59,76
2019-04-21,60 to 79,217
2019-04-21,80 and over,388
2019-04-21,Total,690
2019-04-21,Under 30,9
2019-04-28,30 to 59,70
2019-04-28,60 to 79,226
2019-04-28,80 and over,315
2019-04-28,Total,637
2019-04-28,Under 30,26
2019-05-05,30 to 59,75
2019-05-05,60 to 79,236
2019-05-05,80 and over,312
2019-05-05,Total,637
2019-05-05,Under 30,14
2019-05-12,30 to 59,70
2019-05-12,60 to 79,221
2019-05-12,80 and over,357
2019-05-12,Total,670
2019-05-12,Under 30,22
2019-05-19,30 to 59,69
2019-05-19,60 to 79,208
2019-05-19,80 and over,341
2019-05-19,Total,630
2019-05-19,Under 30,12
2019-05-26,30 to 59,74
2019-05-26,60 to 79,247
2019-05-26,80 and over,364
2019-05-26,Total,701
2019-05-26,Under 30,16
2019-06-02,30 to 59,73
2019-06-02,60 to 79,262
2019-06-02,80 and over,369
2019-06-02,Total,726
2019-06-02,Under 30,22
2019-06-09,30 to 59,82
2019-06-09,60 to 79,247
2019-06-09,80 and over,374
2019-06-09,Total,726
2019-06-09,Under 30,23
2019-06-16,30 to 59,84
2019-06-16,60 to 79,248
2019-06-16,80 and over,354
2019-06-16,Total,701
2019-06-16,Under 30,15
2019-06-23,30 to 59,75
2019-06-23,60 to 79,248
2019-06-23,80 and over,376
2019-06-23,Total,721
2019-06-23,Under 30,22
2019-06-30,30 to 59,85
2019-06-30,60 to 79,252
2019-06-30,80 and over,402
2019-06-30,Total,760
2019-06-30,Under 30,21
2019-07-07,30 to 59,71
2019-07-07,60 to 79,252
2019-07-07,80 and over,396
2019-07-07,Total,744
2019-07-07,Under 30,25
2019-07-14,30 to 59,69
2019-07-14,60 to 79,281
2019-07-14,80 and over,429
2019-07-14,Total,796
2019-07-14,Under 30,17
2019-07-21,30 to 59,60
2019-07-21,60 to 79,249
2019-07-21,80 and over,419
2019-07-21,Total,736
2019-07-21,Under 30,8
2019-07-28,30 to 59,75
2019-07-28,60 to 79,238
2019-07-28,80 and over,396
2019-07-28,Total,728
2019-07-28,Under 30,19
2019-08-04,30 to 59,76
2019-08-04,60 to 79,246
2019-08-04,80 and over,399
2019-08-04,Total,733
2019-08-04,Under 30,12
2019-08-11,30 to 59,99
2019-08-11,60 to 79,248
2019-08-11,80 and over,396
2019-08-11,Total,756
2019-08-11,Under 30,13
2019-08-18,30 to 59,86
2019-08-18,60 to 79,238
2019-08-18,80 and over,353
2019-08-18,Total,692
2019-08-18,Under 30,15
2019-08-25,30 to 59,92
2019-08-25,60 to 79,211
2019-08-25,80 and over,354
2019-08-25,Total,670
2019-08-25,Under 30,13
2019-09-01,30 to 59,90
2019-09-01,60 to 79,244
2019-09-01,80 and over,352
2019-09-01,Total,698
2019-09-01,Under 30,12
2019-09-08,30 to 59,76
2019-09-08,60 to 79,239
2019-09-08,80 and over,339
2019-09-08,Total,665
2019-09-08,Under 30,11
2019-09-15,30 to 59,64
2019-09-15,60 to 79,254
2019-09-15,80 and over,366
2019-09-15,Total,697
2019-09-15,Under 30,13
2019-09-22,30 to 59,75
2019-09-22,60 to 79,228
2019-09-22,80 and over,339
2019-09-22,Total,668
2019-09-22,Under 30,26
2019-09-29,30 to 59,61
2019-09-29,60 to 79,247
2019-09-29,80 and over,354
2019-09-29,Total,682
2019-09-29,Under 30,20
2019-10-06,30 to 59,85
2019-10-06,60 to 79,223
2019-10-06,80 and over,356
2019-10-06,Total,688
2019-10-06,Under 30,24
2019-10-13,30 to 59,60
2019-10-13,60 to 79,255
2019-10-13,80 and over,376
2019-10-13,Total,712
2019-10-13,Under 30,21
2019-10-20,30 to 59,75
2019-10-20,60 to 79,199
2019-10-20,80 and over,325
2019-10-20,Total,609
2019-10-20,Under 30,10
2019-10-27,30 to 59,64
2019-10-27,60 to 79,219
2019-10-27,80 and over,319
2019-10-27,Total,613
2019-10-27,Under 30,11
2019-11-03,30 to 59,89
2019-11-03,60 to 79,218
2019-11-03,80 and over,315
2019-11-03,Total,646
2019-11-03,Under 30,24
2019-11-10,30 to 59,66
2019-11-10,60 to 79,200
2019-11-10,80 and over,328
2019-11-10,Total,610
2019-11-10,Under 30,16
2019-11-17,30 to 59,68
2019-11-17,60 to 79,208
2019-11-17,80 and over,325
2019-11-17,Total,620
2019-11-17,Under 30,19
2019-11-24,30 to 59,87
2019-11-24,60 to 79,199
2019-11-24,80 and over,279
2019-11-24,Total,585
2019-11-24,Under 30,20
2019-12-01,30 to 59,87
2019-12-01,60 to 79,213
2019-12-01,80 and over,319
2019-12-01,Total,640
2019-12-01,Under 30,21
2019-12-08,30 to 59,70
2019-12-08,60 to 79,192
2019-12-08,80 and over,286
2019-12-08,Total,571
2019-12-08,Under 30,23
2019-12-15,30 to 59,81
2019-12-15,60 to 79,234
2019-12-15,80 and over,301
2019-12-15,Total,639
2019-12-15,Under 30,23
2019-12-22,30 to 59,81
2019-12-22,60 to 79,207
2019-12-22,80 and over,287
2019-12-22,Total,596
2019-12-22,Under 30,21
2019-12-29,30 to 59,68
2019-12-29,60 to 79,208
2019-12-29,80 and over,275
2019-12-29,Total,565
2019-12-29,Under 30,14
2020-01-05,30 to 59,75
2020-01-05,60 to 79,214
2020-01-05,80 and over,282
2020-01-05,Total,590
2020-01-05,Under 30,19
2020-01-12,30 to 59,69
2020-01-12,60 to 79,219
2020-01-12,80 and over,282
2020-01-12,Total,581
2020-01-12,Under 30,11
2020-01-19,30 to 59,89
2020-01-19,60 to 79,217
2020-01-19,80 and over,326
2020-01-19,Total,642
2020-01-19,Under 30,10
2020-01-26,30 to 59,67
2020-01-26,60 to 79,208
2020-01-26,80 and over,312
2020-01-26,Total,609
2020-01-26,Under 30,22
2020-02-02,30 to 59,82
2020-02-02,60 to 79,211
2020-02-02,80 and over,306
2020-02-02,Total,615
2020-02-02,Under 30,16
2020-02-09,30 to 59,76
2020-02-09,60 to 79,191
2020-02-09,80 and over,307
2020-02-09,Total,588
2020-02-09,Under 30,14
2020-02-16,30 to 59,70
2020-02-16,60 to 79,231
2020-02-16,80 and over,301
2020-02-16,Total,618
2020-02-16,Under 30,16
2020-02-23,30 to 59,82
2020-02-23,60 to 79,209
2020-02-23,80 and over,310
2020-02-23,Total,622
2020-02-23,Under 30,21
2020-03-01,30 to 59,63
2020-03-01,60 to 79,202
2020-03-01,80 and over,318
2020-03-01,Total,595
2020-03-01,Under 30,12
2020-03-08,30 to 59,61
2020-03-08,60 to 79,226
2020-03-08,80 and over,311
2020-03-08,Total,611
2020-03-08,Under 30,13
2020-03-15,30 to 59,78
2020-03-15,60 to 79,202
2020-03-15,80 and over,302
2020-03-15,Total,601
2020-03-15,Under 30,19
2020-03-22,30 to 59,74
2020-03-22,60 to 79,205
2020-03-22,80 and over,312
2020-03-22,Total,619
2020-03-22,Under 30,28
2020-03-29,30 to 59,76
2020-03-29,60 to 79,213
2020-03-29,80 and over,312
2020-03-29,Total,613
2020-03-29,Under 30,12
2020-04-05,30 to 59,76
2020-04-05,60 to 79,223
2020-04-05,80 and over,319
2020-04-05,Total,629
2020-04-05,Under 30,11
2020-04-12,30 to 59,66
2020-04-12,60 to 79,251
2020-04-12,80 and over,320
2020-04-12,Total,650
2020-04-12,Under 30,13
2020-04-19,30 to 59,70
2020-04-19,60 to 79,237
2020-04-19,80 and over,345
2020-04-19,Total,663
2020-04-19,Under 30,11
2020-04-26,30 to 59,77
2020-04-26,60 to 79,198
2020-04-26,80 and over,341
2020-04-26,Total,633
2020-04-26,Under 30,17
2020-05-03,30 to 59,58
2020-05-03,60 to 79,199
2020-05-03,80 and over,292
2020-05-03,Total,560
2020-05-03,Under 30,11
2020-05-10,30 to 59,70
2020-05-10,60 to 79,215
2020-05-10,80 and over,324
2020-05-10,Total,631
2020-05-10,Under 30,22
2020-05-17,30 to 59,62
2020-05-17,60 to 79,230
2020-05-17,80 and over,312
2020-05-17,Total,616
2020-05-17,Under 30,12
2020-05-24,30 to 59,67
2020-05-24,60 to 79,218
2020-05-24,80 and over,310
2020-05-24,Total,608
2020-05-24,Under 30,13
2020-05-31,30 to 59,60
2020-05-31,60 to 79,232
2020-05-31,80 and over,292
2020-05-31,Total,603
2020-05-31,Under 30,19
2020-06-07,30 to 59,72
2020-06-07,60 to 79,228
2020-06-07,80 and over,306
2020-06-07,Total,624
2020-06-07,Under 30,18
2020-06-14,30 to 59,68
2020-06-14,60 to 79,202
2020-06-14,80 and over,352
2020-06-14,Total,642
2020-06-14,Under 30,20
2020-06-21,30 to 59,68
2020-06-21,60 to 79,195
2020-06-21,80 and over,360
2020-06-21,Total,643
2020-06-21,Under 30,20
2020-06-28,30 to 59,63
2020-06-28,60 to 79,223
2020-06-28,80 and over,319
2020-06-28,Total,621
2020-06-28,Under 30,16
2020-07-05,30 to 59,69
2020-07-05,60 to 79,228
2020-07-05,80 and over,308
2020-07-05,Total,619
2020-07-05,Under 30,14
2020-07-12,30 to 59,67
2020-07-12,60 to 79,206
2020-07-12,80 and over,323
2020-07-12,Total,617
2020-07-12,Under 30,21
2020-07-19,30 to 59,65
2020-07-19,60 to 79,240
2020-07-19,80 and over,373
2020-07-19,Total,693
2020-07-19,Under 30,15
2020-07-26,30 to 59,78
2020-07-26,60 to 79,260
2020-07-26,80 and over,326
2020-07-26,Total,683
2020-07-26,Under 30,19
2020-08-02,30 to 59,65
2020-08-02,60 to 79,259
2020-08-02,80 and over,338
2020-08-02,Total,676
2020-08-02,Under 30,14
2020-08-09,30 to 59,65
2020-08-09,60 to 79,227
2020-08-09,80 and over,334
2020-08-09,Total,643
2020-08-09,Under 30,17
2020-08-16,30 to 59,53
2020-08-16,60 to 79,223
2020-08-16,80 and over,347
2020-08-16,Total,635
2020-08-16,Under 30,12
2020-08-23,30 to 59,68
2020-08-23,60 to 79,215
2020-08-23,80 and over,356
2020-08-23,Total,655
2020-08-23,Under 30,16
2020-08-30,30 to 59,74
2020-08-30,60 to 79,227
2020-08-30,80 and over,283
2020-08-30,Total,601
2020-08-30,Under 30,17
2020-09-06,30 to 59,66
2020-09-06,60 to 79,227
2020-09-06,80 and over,319
2020-09-06,Total,630
2020-09-06,Under 30,18
2020-09-13,30 to 59,56
2020-09-13,60 to 79,235
2020-09-13,80 and over,316
2020-09-13,Total,623
2020-09-13,Under 30,16
2020-09-20,30 to 59,76
2020-09-20,60 to 79,224
2020-09-20,80 and over,289
2020-09-20,Total,606
2020-09-20,Under 30,17
2020-09-27,30 to 59,70
2020-09-27,60 to 79,212
2020-09-27,80 and over,316
2020-09-27,Total,611
2020-09-27,Under 30,13
2020-10-04,30 to 59,88
2020-10-04,60 to 79,232
2020-10-04,80 and over,315
2020-10-04,Total,650
2020-10-04,Under 30,15
2020-10-11,30 to 59,71
2020-10-11,60 to 79,224
2020-10-11,80 and over,298
2020-10-11,Total,609
2020-10-11,Under 30,16
2020-10-18,30 to 59,66
2020-10-18,60 to 79,226
2020-10-18,80 and over,312
2020-10-18,Total,615
2020-10-18,Under 30,11
2020-10-25,30 to 59,87
2020-10-25,60 to 79,236
2020-10-25,80 and over,339
2020-10-25,Total,688
2020-10-25,Under 30,26
2020-11-01,30 to 59,75
2020-11-01,60 to 79,210
2020-11-01,80 and over,281
2020-11-01,Total,584
2020-11-01,Under 30,18
2020-11-08,30 to 59,64
2020-11-08,60 to 79,228
2020-11-08,80 and over,323
2020-11-08,Total,631
2020-11-08,Under 30,16
2020-11-15,30 to 59,69
2020-11-15,60 to 79,211
2020-11-15,80 and over,297
2020-11-15,Total,586
2020-11-15,Under 30,9
2020-11-22,30 to 59,83
2020-11-22,60 to 79,226
2020-11-22,80 and over,288
2020-11-22,Total,612
2020-11-22,Under 30,15
2020-11-29,30 to 59,83
2020-11-29,60 to 79,234
2020-11-29,80 and over,317
2020-11-29,Total,650
2020-11-29,Under 30,16
2020-12-06,30 to 59,91
2020-12-06,60 to 79,225
2020-12-06,80 and over,306
2020-12-06,Total,642
2020-12-06,Under 30,20
2020-12-13,30 to 59,80
2020-12-13,60 to 79,201
2020-12-13,80 and over,346
2020-12-13,Total,641
2020-12-13,Under 30,14
2020-12-20,30 to 59,82
2020-12-20,60 to 79,225
2020-12-20,80 and over,344
2020-12-20,Total,670
2020-12-20,Under 30,19
2020-12-27,30 to 59,65
2020-12-27,60 to 79,227
2020-12-27,80 and over,312
2020-12-27,Total,625
2020-12-27,Under 30,21
2021-01-03,30 to 59,74
2021-01-03,60 to 79,225
2021-01-03,80 and over,351
2021-01-03,Total,675
2021-01-03,Under 30,25
2021-01-10,30 to 59,73
2021-01-10,60 to 79,237
2021-01-10,80 and over,345
2021-01-10,Total,670
2021-01-10,Under 30,15
2021-01-17,30 to 59,78
2021-01-17,60 to 79,221
2021-01-17,80 and over,316
2021-01-17,Total,631
2021-01-17,Under 30,16
2021-01-24,30 to 59,73
2021-01-24,60 to 79,248
2021-01-24,80 and over,315
2021-01-24,Total,657
2021-01-24,Under 30,21
2021-01-31,30 to 59,65
2021-01-31,60 to 79,208
2021-01-31,80 and over,315
2021-01-31,Total,602
2021-01-31,Under 30,14
2021-02-07,30 to 59,95
2021-02-07,60 to 79,220
2021-02-07,80 and over,313
2021-02-07,Total,641
2021-02-07,Under 30,13
2021-02-14,30 to 59,65
2021-02-14,60 to 79,235
2021-02-14,80 and over,327
2021-02-14,Total,647
2021-02-14,Under 30,20
2021-02-21,30 to 59,74
2021-02-21,60 to 79,196
2021-02-21,80 and over,306
2021-02-21,Total,590
2021-02-21,Under 30,14
2021-02-28,30 to 59,73
2021-02-28,60 to 79,206
2021-02-28,80 and over,305
2021-02-28,Total,604
2021-02-28,Under 30,20
2021-03-07,30 to 59,77
2021-03-07,60 to 79,210
2021-03-07,80 and over,331
2021-03-07,Total,638
2021-03-07,Under 30,20
2021-03-14,30 to 59,79
2021-03-14,60 to 79,212
2021-03-14,80 and over,311
2021-03-14,Total,618
2021-03-14,Under 30,16
2021-03-21,30 to 59,76
2021-03-21,60 to 79,209
2021-03-21,80 and over,321
2021-03-21,Total,630
2021-03-21,Under 30,24
2021-03-28,30 to 59,62
2021-03-28,60 to 79,229
2021-03-28,80 and over,329
2021-03-28,Total,637
2021-03-28,Under 30,17
2021-04-04,30 to 59,82
2021-04-04,60 to 79,252
2021-04-04,80 and over,329
2021-04-04,Total,680
2021-04-04,Under 30,17
2021-04-11,30 to 59,75
2021-04-11,60 to 79,204
2021-04-11,80 and over,336
2021-04-11,Total,631
2021-04-11,Under 30,16
2021-04-18,30 to 59,76
2021-04-18,60 to 79,201
2021-04-18,80 and over,329
2021-04-18,Total,629
2021-04-18,Under 30,23
2021-04-25,30 to 59,64
2021-04-25,60 to 79,226
2021-04-25,80 and over,330
2021-04-25,Total,640
2021-04-25,Under 30,20
2021-05-02,30 to 59,81
2021-05-02,60 to 79,233
2021-05-02,80 and over,359
2021-05-02,Total,687
2021-05-02,Under 30,14
2021-05-09,30 to 59,81
2021-05-09,60 to 79,218
2021-05-09,80 and over,346
2021-05-09,Total,657
2021-05-09,Under 30,12
2021-05-16,30 to 59,77
2021-05-16,60 to 79,239
2021-05-16,80 and over,311
2021-05-16,Total,638
2021-05-16,Under 30,11
2021-05-23,30 to 59,68
2021-05-23,60 to 79,231
2021-05-23,80 and over,367
2021-05-23,Total,680
2021-05-23,Under 30,14
2021-05-30,30 to 59,84
2021-05-30,60 to 79,226
2021-05-30,80 and over,334
2021-05-30,Total,658
2021-05-30,Under 30,14
2021-06-06,30 to 59,62
2021-06-06,60 to 79,230
2021-06-06,80 and over,376
2021-06-06,Total,682
2021-06-06,Under 30,14
2021-06-13,30 to 59,69
2021-06-13,60 to 79,229
2021-06-13,80 and over,372
2021-06-13,Total,685
2021-06-13,Under 30,15
2021-06-20,30 to 59,77
2021-06-20,60 to 79,252
2021-06-20,80 and over,384
2021-06-20,Total,738
2021-06-20,Under 30,25
2021-06-27,30 to 59,70
2021-06-27,60 to 79,223
2021-06-27,80 and over,353
2021-06-27,Total,665
2021-06-27,Under 30,19
2021-07-04,30 to 59,72
2021-07-04,60 to 79,229
2021-07-04,80 and over,346
2021-07-04,Total,662
2021-07-04,Under 30,15
2021-07-11,30 to 59,73
2021-07-11,60 to 79,261
2021-07-11,80 and over,393
2021-07-11,Total,743
2021-07-11,Under 30,16
2021-07-18,30 to 59,62
2021-07-18,60 to 79,254
2021-07-18,80 and over,427
2021-07-18,Total,762
2021-07-18,Under 30,19
2021-07-25,30 to 59,75
2021-07-25,60 to 79,271
2021-07-25,80 and over,394
2021-07-25,Total,753
2021-07-25,Under 30,13
2021-08-01,30 to 59,80
2021-08-01,60 to 79,275
2021-08-01,80 and over,389
2021-08-01,Total,757
2021-08-01,Under 30,13
2021-08-08,30 to 59,74
2021-08-08,60 to 79,258
2021-08-08,80 and over,428
2021-08-08,Total,780
2021-08-08,Under 30,20
2021-08-15,30 to 59,82
2021-08-15,60 to 79,284
2021-08-15,80 and over,398
2021-08-15,Total,788
2021-08-15,Under 30,24
2021-08-22,30 to 59,73
2021-08-22,60 to 79,282
2021-08-22,80 and over,401
2021-08-22,Total,772
2021-08-22,Under 30,16
2021-08-29,30 to 59,64
2021-08-29,60 to 79,232
2021-08-29,80 and over,398
2021-08-29,Total,705
2021-08-29,Under 30,11
2021-09-05,30 to 59,57
2021-09-05,60 to 79,246
2021-09-05,80 and over,416
2021-09-05,Total,736
2021-09-05,Under 30,17
2021-09-12,30 to 59,70
2021-09-12,60 to 79,227
2021-09-12,80 and over,386
2021-09-12,Total,714
2021-09-12,Under 30,31
2021-09-19,30 to 59,73
2021-09-19,60 to 79,234
2021-09-19,80 and over,319
2021-09-19,Total,642
2021-09-19,Under 30,16
2021-09-26,30 to 59,69
2021-09-26,60 to 79,222
2021-09-26,80 and over,341
2021-09-26,Total,654
2021-09-26,Under 30,22
2021-10-03,30 to 59,78
2021-10-03,60 to 79,225
2021-10-03,80 and over,329
2021-10-03,Total,647
2021-10-03,Under 30,15
2021-10-10,30 to 59,72
2021-10-10,60 to 79,209
2021-10-10,80 and over,338
2021-10-10,Total,643
2021-10-10,Under 30,24
2021-10-17,30 to 59,67
2021-10-17,60 to 79,230
2021-10-17,80 and over,342
2021-10-17,Total,651
2021-10-17,Under 30,12
2021-10-24,30 to 59,79
2021-10-24,60 to 79,229
2021-10-24,80 and over,349
2021-10-24,Total,678
2021-10-24,Under 30,21
2021-10-31,30 to 59,79
2021-10-31,60 to 79,210
2021-10-31,80 and over,326
2021-10-31,Total,638
2021-10-31,Under 30,23
2021-11-07,30 to 59,59
2021-11-07,60 to 79,240
2021-11-07,80 and over,338
2021-11-07,Total,649
2021-11-07,Under 30,12
2021-11-14,30 to 59,75
2021-11-14,60 to 79,226
2021-11-14,80 and over,340
2021-11-14,Total,663
2021-11-14,Under 30,22
2021-11-21,30 to 59,85
2021-11-21,60 to 79,246
2021-11-21,80 and over,322
2021-11-21,Total,667
2021-11-21,Under 30,14
2021-11-28,30 to 59,74
2021-11-28,60 to 79,220
2021-11-28,80 and over,331
2021-11-28,Total,635
2021-11-28,Under 30,10
2021-12-05,30 to 59,80
2021-12-05,60 to 79,233
2021-12-05,80 and over,303
2021-12-05,Total,633
2021-12-05,Under 30,17
2021-12-12,30 to 59,65
2021-12-12,60 to 79,236
2021-12-12,80 and over,349
2021-12-12,Total,666
2021-12-12,Under 30,16
2021-12-19,30 to 59,64
2021-12-19,60 to 79,214
2021-12-19,80 and over,313
2021-12-19,Total,604
2021-12-19,Under 30,13
2021-12-26,30 to 59,83
2021-12-26,60 to 79,259
2021-12-26,80 and over,344
2021-12-26,Total,703
2021-12-26,Under 30,17
2022-01-02,30 to 59,77
2022-01-02,60 to 79,223
2022-01-02,80 and over,302
2022-01-02,Total,623
2022-01-02,Under 30,21
2022-01-09,30 to 59,82
2022-01-09,60 to 79,240
2022-01-09,80 and over,338
2022-01-09,Total,678
2022-01-09,Under 30,18
2022-01-16,30 to 59,73
2022-01-16,60 to 79,207
2022-01-16,80 and over,313
2022-01-16,Total,610
2022-01-16,Under 30,17
2022-01-23,30 to 59,75
2022-01-23,60 to 79,219
2022-01-23,80 and over,323
2022-01-23,Total,633
2022-01-23,Under 30,16
2022-01-30,30 to 59,85
2022-01-30,60 to 79,220
2022-01-30,80 and over,329
2022-01-30,Total,646
2022-01-30,Under 30,12
2022-02-06,30 to 59,85
2022-02-06,60 to 79,228
2022-02-06,80 and over,328
2022-02-06,Total,661
2022-02-06,Under 30,20
2022-02-13,30 to 59,63
2022-02-13,60 to 79,244
2022-02-13,80 and over,358
2022-02-13,Total,681
2022-02-13,Under 30,16
2022-02-20,30 to 59,78
2022-02-20,60 to 79,214
2022-02-20,80 and over,333
2022-02-20,Total,641
2022-02-20,Under 30,16
2022-02-27,30 to 59,68
2022-02-27,60 to 79,216
2022-02-27,80 and over,329
2022-02-27,Total,627
2022-02-27,Under 30,14
2022-03-06,30 to 59,78
2022-03-06,60 to 79,252
2022-03-06,80 and over,340
2022-03-06,Total,685
2022-03-06,Under 30,15
2022-03-13,30 to 59,85
2022-03-13,60 to 79,247
2022-03-13,80 and over,383
2022-03-13,Total,732
2022-03-13,Under 30,17
2022-03-20,30 to 59,85
2022-03-20,60 to 79,254
2022-03-20,80 and over,425
2022-03-20,Total,776
2022-03-20,Under 30,12
2022-03-27,30 to 59,73
2022-03-27,60 to 79,271
2022-03-27,80 and over,395
2022-03-27,Total,750
2022-03-27,Under 30,11
2022-04-03,30 to 59,71
2022-04-03,60 to 79,248
2022-04-03,80 and over,422
2022-04-03,Total,754
2022-04-03,Under 30,13
2022-04-10,30 to 59,69
2022-04-10,60 to 79,251
2022-04-10,80 and over,364
2022-04-10,Total,699
2022-04-10,Under 30,15
2022-04-17,30 to 59,73
2022-04-17,60 to 79,254
2022-04-17,80 and over,414
2022-04-17,Total,759
2022-04-17,Under 30,18
2022-04-24,30 to 59,66
2022-04-24,60 to 79,260
2022-04-24,80 and over,394
2022-04-24,Total,747
2022-04-24,Under 30,27
2022-05-01,30 to 59,77
2022-05-01,60 to 79,250
2022-05-01,80 and over,373
2022-05-01,Total,713
2022-05-01,Under 30,13
2022-05-08,30 to 59,86
2022-05-08,60 to 79,213
2022-05-08,80 and over,396
2022-05-08,Total,712
2022-05-08,Under 30,17
2022-05-15,30 to 59,87
2022-05-15,60 to 79,292
2022-05-15,80 and over,396
2022-05-15,Total,798
2022-05-15,Under 30,23
2022-05-22,30 to 59,82
2022-05-22,60 to 79,255
2022-05-22,80 and over,406
2022-05-22,Total,758
2022-05-22,Under 30,15
2022-05-29,30 to 59,79
2022-05-29,60 to 79,307
2022-05-29,80 and over,405
2022-05-29,Total,811
2022-05-29,Under 30,20
2022-06-05,30 to 59,84
2022-06-05,60 to 79,260
2022-06-05,80 and over,426
2022-06-05,Total,791
2022-06-05,Under 30,21
2022-06-12,30 to 59,71
2022-06-12,60 to 79,279
2022-06-12,80 and over,406
2022-06-12,Total,775
2022-06-12,Under 30,19
2022-06-19,30 to 59,89
2022-06-19,60 to 79,297
2022-06-19,80 and over,454
2022-06-19,Total,858
2022-06-19,Under 30,18
