date,age,deaths
2012-08-05,Under 30,16
2012-08-12,30 to 59,101
2012-08-12,60 to 79,225
2012-08-12,80 and over,334
2012-08-12,Total,682
2012-08-12,Under 30,22
2012-08-19,30 to 59,72
2012-08-19,60 to 79,193
2012-08-19,80 and over,341
2012-08-19,Total,623
2012-08-19,Under 30,17
2012-08-26,30 to 59,66
2012-08-26,60 to 79,216
2012-08-26,80 and over,343
2012-08-26,Total,644
2012-08-26,Under 30,19
2012-09-02,30 to 59,73
2012-09-02,60 to 79,193
2012-09-02,80 and over,337
2012-09-02,Total,620
2012-09-02,Under 30,17
2012-09-09,30 to 59,65
2012-09-09,60 to 79,218
2012-09-09,80 and over,353
2012-09-09,Total,656
2012-09-09,Under 30,20
2012-09-16,30 to 59,86
2012-09-16,60 to 79,197
2012-09-16,80 and over,333
2012-09-16,Total,636
2012-09-16,Under 30,20
2012-09-23,30 to 59,73
2012-09-23,60 to 79,201
2012-09-23,80 and over,320
2012-09-23,Total,606
2012-09-23,Under 30,12
2012-09-30,30 to 59,68
2012-09-30,60 to 79,194
2012-09-30,80 and over,339
2012-09-30,Total,615
2012-09-30,Under 30,14
2012-10-07,30 to 59,66
2012-10-07,60 to 79,181
2012-10-07,80 and over,305
2012-10-07,Total,577
2012-10-07,Under 30,25
2012-10-14,30 to 59,59
2012-10-14,60 to 79,200
2012-10-14,80 and over,293
2012-10-14,Total,575
2012-10-14,Under 30,23
2012-10-21,30 to 59,71
2012-10-21,60 to 79,189
2012-10-21,80 and over,339
2012-10-21,Total,616
2012-10-21,Under 30,17
2012-10-28,30 to 59,70
2012-10-28,60 to 79,202
2012-10-28,80 and over,291
2012-10-28,Total,579
2012-10-28,Under 30,16
2012-11-04,30 to 59,67
2012-11-04,60 to 79,181
2012-11-04,80 and over,319
2012-11-04,Total,593
2012-11-04,Under 30,26
2012-11-11,30 to 59,62
2012-11-11,60 to 79,201
2012-11-11,80 and over,299
2012-11-11,Total,581
2012-11-11,Under 30,19
2012-11-18,30 to 59,66
2012-11-18,60 to 79,178
2012-11-18,80 and over,283
2012-11-18,Total,542
2012-11-18,Under 30,15
2012-11-25,30 to 59,66
2012-11-25,60 to 79,200
2012-11-25,80 and over,276
2012-11-25,Total,564
2012-11-25,Under 30,22
2012-12-02,30 to 59,82
2012-12-02,60 to 79,166
2012-12-02,80 and over,285
2012-12-02,Total,552
2012-12-02,Under 30,19
2012-12-09,30 to 59,62
2012-12-09,60 to 79,202
2012-12-09,80 and over,265
2012-12-09,Total,547
