cause,year,state,dead
all,2018,New York,157183
all,2018,North Carolina,93885
all,2018,North Dakota,6445
all,2018,Ohio,124264
all,2018,Oklahoma,40933
all,2018,Oregon,36187
all,2018,Pennsylvania,134702
all,2018,Rhode Island,10083
all,2018,South Carolina,50640
all,2018,South Dakota,7971
all,2018,Tennessee,71078
all,2018,Texas,202211
all,2018,Utah,18354
all,2018,Vermont,6027
all,2018,Virginia,69359
all,2018,Washington,56877
all,2018,West Virginia,23478
all,2018,Wisconsin,53684
all,2018,Wyoming,5070
all,2019,Alabama,54108
all,2019,Alaska,4613
all,2019,Arizona,60236
all,2019,Arkansas,32888
all,2019,California,269831
all,2019,Colorado,39390
all,2019,Connecticut,31745
all,2019,Delaware,9302
all,2019,District of Columbia,4927
all,2019,Florida,207002
all,2019,Georgia,85814
all,2019,Hawaii,11559
all,2019,Idaho,14430
all,2019,Illinois,109096
all,2019,Indiana,66001
all,2019,Iowa,30867
all,2019,Kansas,27682
all,2019,Kentucky,48990
all,2019,Louisiana,45938
all,2019,Maine,15065
all,2019,Maryland,50800
all,2019,Massachusetts,58630
all,2019,Michigan,99084
all,2019,Minnesota,45514
all,2019,Mississippi,32964
all,2019,Missouri,62401
all,2019,Montana,10402
all,2019,Nebraska,16970
all,2019,Nevada,25586
all,2019,New Hampshire,12744
all,2019,New Jersey,75010
all,2019,New Mexico,19512
all,2019,New York,156375
all,2019,North Carolina,95881
all,2019,North Dakota,6702
all,2019,Ohio,123717
all,2019,Oklahoma,40930
all,2019,Oregon,37370
all,2019,Pennsylvania,133983
all,2019,Rhode Island,10256
all,2019,South Carolina,50962
all,2019,South Dakota,8270
all,2019,Tennessee,71935
all,2019,Texas,203362
all,2019,Utah,18736
all,2019,Vermont,5956
all,2019,Virginia,70325
all,2019,Washington,58263
all,2019,West Virginia,23404
all,2019,Wisconsin,54189
all,2019,Wyoming,5121
all,2020,Alabama,64779
all,2020,Alaska,5170
all,2020,Arizona,75747
all,2020,Arkansas,38108
all,2020,California,319808
all,2020,Colorado,46918
all,2020,Connecticut,37853
all,2020,Delaware,11072
all,2020,District of Columbia,6198
all,2020,Florida,239685
all,2020,Georgia,103075
all,2020,Hawaii,12033
all,2020,Idaho,16402
all,2020,Illinois,132663
all,2020,Indiana,78194
all,2020,Iowa,35981
all,2020,Kansas,32060
all,2020,Kentucky,55880
all,2020,Louisiana,56752
all,2020,Maine,15740
all,2020,Maryland,60072
all,2020,Massachusetts,68223
all,2020,Michigan,117106
all,2020,Minnesota,52372
all,2020,Mississippi,40190
all,2020,Missouri,73887
all,2020,Montana,12027
all,2020,Nebraska,19549
all,2020,Nevada,30618
all,2020,New Hampshire,13700
all,2020,New Jersey,96003
all,2020,New Mexico,23807
all,2020,New York,203341
all,2020,North Carolina,109449
all,2020,North Dakota,8052
all,2020,Ohio,143700
all,2020,Oklahoma,47809
all,2020,Oregon,40220
all,2020,Pennsylvania,155546
all,2020,Rhode Island,11819
all,2020,South Carolina,61223
all,2020,South Dakota,9861
all,2020,Tennessee,84205
all,2020,Texas,250339
all,2020,Utah,21497
all,2020,Vermont,6459
all,2020,Virginia,80596
all,2020,Washington,63146
all,2020,West Virginia,26106
all,2020,Wisconsin,62706
all,2020,Wyoming,5983
all,2021,Alabama,68889
all,2021,Alaska,6208
all,2021,Arizona,81442
all,2021,Arkansas,40070
all,2021,California,333249
all,2021,Colorado,48281
all,2021,Connecticut,34333
all,2021,Delaware,11296
all,2021,District of Columbia,5833
all,2021,Florida,261369
all,2021,Georgia,112272
all,2021,Hawaii,12816
all,2021,Idaho,18346
all,2021,Illinois,125048
all,2021,Indiana,78317
all,2021,Iowa,34215
all,2021,Kansas,32029
all,2021,Kentucky,60303
all,2021,Louisiana,57533
all,2021,Maine,17269
all,2021,Maryland,58117
all,2021,Massachusetts,63115
all,2021,Michigan,117782
all,2021,Minnesota,51640
all,2021,Mississippi,41085
all,2021,Missouri,73847
all,2021,Montana,12707
all,2021,Nebraska,18925
all,2021,Nevada,32923
all,2021,New Hampshire,14198
all,2021,New Jersey,84032
all,2021,New Mexico,25300
all,2021,New York,181360
all,2021,North Carolina,118093
all,2021,North Dakota,7266
all,2021,Ohio,147635
all,2021,Oklahoma,50945
all,2021,Oregon,44989
all,2021,Pennsylvania,155390
all,2021,Rhode Island,11243
all,2021,South Carolina,65422
all,2021,South Dakota,9185
all,2021,Tennessee,91130
all,2021,Texas,267651
all,2021,Utah,22569
all,2021,Vermont,6877
all,2021,Virginia,85940
all,2021,Washington,68689
all,2021,West Virginia,29503
all,2021,Wisconsin,60973
all,2021,Wyoming,6582
all,2022,Alabama,62294
all,2022,Alaska,5719
all,2022,Arizona,74082
all,2022,Arkansas,37855
all,2022,California,313161
all,2022,Colorado,46787
all,2022,Connecticut,34583
all,2022,Delaware,11351
all,2022,District of Columbia,5385
all,2022,Florida,239119
all,2022,Georgia,102342
all,2022,Hawaii,13228
all,2022,Idaho,17162
all,2022,Illinois,122963
all,2022,Indiana,75368
all,2022,Iowa,33973
all,2022,Kansas,31551
all,2022,Kentucky,57053
all,2022,Louisiana,52339
all,2022,Maine,17364
all,2022,Maryland,56456
all,2022,Massachusetts,63366
all,2022,Michigan,110499
all,2022,Minnesota,51222
all,2022,Mississippi,37803
all,2022,Missouri,71851
all,2022,Montana,11684
all,2022,Nebraska,18615
all,2022,Nevada,30960
all,2022,New Hampshire,14515
all,2022,New Jersey,81490
all,2022,New Mexico,23655
all,2022,New York,173944
all,2022,North Carolina,112923
all,2022,North Dakota,7041
all,2022,Ohio,138209
all,2022,Oklahoma,47976
all,2022,Oregon,44598
all,2022,Pennsylvania,147181
all,2022,Rhode Island,10704
all,2022,South Carolina,61052
all,2022,South Dakota,9016
all,2022,Tennessee,84989
all,2022,Texas,241441
all,2022,Utah,21886
all,2022,Vermont,6971
all,2022,Virginia,82935
all,2022,Washington,69194
all,2022,West Virginia,27507
all,2022,Wisconsin,60590
all,2022,Wyoming,5905
all,2023,Alabama,59237
all,2023,Alaska,5529
all,2023,Arizona,69335
all,2023,Arkansas,35758
all,2023,California,294735
all,2023,Colorado,44971
all,2023,Connecticut,32522
all,2023,Delaware,10649
all,2023,District of Columbia,4916
all,2023,Florida,228940
all,2023,Georgia,96527
all,2023,Hawaii,12646
all,2023,Idaho,16474
all,2023,Illinois,113749
all,2023,Indiana,69942
all,2023,Iowa,32552
all,2023,Kansas,29267
all,2023,Kentucky,53044
all,2023,Louisiana,49437
all,2023,Maine,16750
all,2023,Maryland,53432
all,2023,Massachusetts,61171
all,2023,Michigan,103302
all,2023,Minnesota,49203
all,2023,Mississippi,35051
all,2023,Missouri,66496
all,2023,Montana,11193
all,2023,Nebraska,18306
all,2023,Nevada,29008
all,2023,New Hampshire,14146
all,2023,New Jersey,75367
all,2023,New Mexico,22287
all,2023,New York,162173
all,2023,North Carolina,107748
all,2023,North Dakota,6832
all,2023,Ohio,127813
all,2023,Oklahoma,44172
all,2023,Oregon,42532
all,2023,Pennsylvania,138029
all,2023,Rhode Island,10435
all,2023,South Carolina,58012
all,2023,South Dakota,8548
all,2023,Tennessee,79601
all,2023,Texas,229122
all,2023,Utah,21275
all,2023,Vermont,6770
all,2023,Virginia,78158
all,2023,Washington,66016
all,2023,West Virginia,24693
all,2023,Wisconsin,57507
all,2023,Wyoming,5586
all,2024,Alabama,47595
all,2024,Alaska,4286
all,2024,Arizona,57717
all,2024,Arkansas,29493
all,2024,California,234894
all,2024,Colorado,36123
all,2024,Connecticut,26834
all,2024,Delaware,8701
all,2024,District of Columbia,3831
all,2024,Florida,185182
all,2024,Georgia,76471
all,2024,Hawaii,10518
all,2024,Idaho,13795
all,2024,Illinois,91795
all,2024,Indiana,55487
all,2024,Iowa,26707
all,2024,Kansas,23901
all,2024,Kentucky,42131
all,2024,Louisiana,38904
all,2024,Maine,13721
all,2024,Maryland,43611
all,2024,Massachusetts,49417
all,2024,Michigan,84865
all,2024,Minnesota,40671
all,2024,Mississippi,28949
all,2024,Missouri,53585
all,2024,Montana,9516
all,2024,Nebraska,14830
all,2024,Nevada,23992
all,2024,New Hampshire,11420
all,2024,New Jersey,61478
all,2024,New Mexico,17507
all,2024,New York,132436
all,2024,North Carolina,87323
all,2024,North Dakota,5723
all,2024,Ohio,102930
all,2024,Oklahoma,36687
all,2024,Oregon,34268
all,2024,Pennsylvania,110390
all,2024,Rhode Island,8482
all,2024,South Carolina,48055
all,2024,South Dakota,6929
all,2024,Tennessee,64940
all,2024,Texas,186369
all,2024,Utah,17655
all,2024,Vermont,5534
all,2024,Virginia,63382
all,2024,Washington,53179
all,2024,West Virginia,20083
all,2024,Wisconsin,46597
all,2024,Wyoming,4723
