age,date,year,week,dead
73,2022-12-31,2022,52,1578
73,2023-01-07,2023,1,1572
73,2023-01-14,2023,2,1432
73,2023-01-21,2023,3,1485
73,2023-01-28,2023,4,1422
73,2023-02-04,2023,5,1409
73,2023-02-11,2023,6,1350
73,2023-02-18,2023,7,1363
73,2023-02-25,2023,8,1383
73,2023-03-04,2023,9,1384
73,2023-03-11,2023,10,1412
73,2023-03-18,2023,11,1340
73,2023-03-25,2023,12,1327
73,2023-04-01,2023,13,1379
73,2023-04-08,2023,14,1370
73,2023-04-15,2023,15,1412
73,2023-04-22,2023,16,1343
73,2023-04-29,2023,17,1348
73,2023-05-06,2023,18,1323
73,2023-05-13,2023,19,1299
73,2023-05-20,2023,20,1317
73,2023-05-27,2023,21,1294
73,2023-06-03,2023,22,1255
73,2023-06-10,2023,23,1265
73,2023-06-17,2023,24,1277
73,2023-06-24,2023,25,1215
73,2023-07-01,2023,26,1281
73,2023-07-08,2023,27,1278
73,2023-07-15,2023,28,1250
73,2023-07-22,2023,29,1297
73,2023-07-29,2023,30,1243
73,2023-08-05,2023,31,1262
73,2023-08-12,2023,32,1235
73,2023-08-19,2023,33,1286
73,2023-08-26,2023,34,1238
73,2023-09-02,2023,35,1292
73,2023-09-09,2023,36,1268
73,2023-09-16,2023,37,1261
73,2023-09-23,2023,38,1286
73,2023-09-30,2023,39,1256
73,2023-10-07,2023,40,1306
73,2023-10-14,2023,41,1327
73,2023-10-21,2023,42,1307
73,2023-10-28,2023,43,1349
73,2023-11-04,2023,44,1231
73,2023-11-11,2023,45,1333
73,2023-11-18,2023,46,1327
73,2023-11-25,2023,47,1384
73,2023-12-02,2023,48,1335
73,2023-12-09,2023,49,1356
73,2023-12-16,2023,50,1449
73,2023-12-23,2023,51,1445
73,2023-12-30,2023,52,1397
73,2024-01-06,2024,1,1454
73,2024-01-13,2024,2,1564
73,2024-01-20,2024,3,1521
73,2024-01-27,2024,4,1482
73,2024-02-03,2024,5,1424
73,2024-02-10,2024,6,1402
73,2024-02-17,2024,7,1344
73,2024-02-24,2024,8,1349
73,2024-03-02,2024,9,1415
73,2024-03-09,2024,10,1365
73,2024-03-16,2024,11,1325
73,2024-03-23,2024,12,1284
73,2024-03-30,2024,13,1244
73,2024-04-06,2024,14,1321
73,2024-04-13,2024,15,1206
73,2024-04-20,2024,16,1319
73,2024-04-27,2024,17,1225
73,2024-05-04,2024,18,1270
73,2024-05-11,2024,19,1284
73,2024-05-18,2024,20,1272
73,2024-05-25,2024,21,1297
73,2024-06-01,2024,22,1275
73,2024-06-08,2024,23,1275
73,2024-06-15,2024,24,1237
73,2024-06-22,2024,25,1322
73,2024-06-29,2024,26,1243
73,2024-07-06,2024,27,1230
73,2024-07-13,2024,28,1267
73,2024-07-20,2024,29,1262
73,2024-07-27,2024,30,1199
73,2024-08-03,2024,31,1239
73,2024-08-10,2024,32,1244
73,2024-08-17,2024,33,1288
73,2024-08-24,2024,34,1289
73,2024-08-31,2024,35,1303
73,2024-09-07,2024,36,1336
73,2024-09-14,2024,37,1318
73,2024-09-21,2024,38,1205
73,2024-09-28,2024,39,1080
73,2024-10-05,2024,40,1013
73,2024-10-12,2024,41,715
74,2018-01-06,2018,1,1241
74,2018-01-13,2018,2,1429
74,2018-01-20,2018,3,1382
74,2018-01-27,2018,4,1309
74,2018-02-03,2018,5,1278
74,2018-02-10,2018,6,1278
74,2018-02-17,2018,7,1259
74,2018-02-24,2018,8,1318
74,2018-03-03,2018,9,1232
74,2018-03-10,2018,10,1205
74,2018-03-17,2018,11,1187
74,2018-03-24,2018,12,1178
74,2018-03-31,2018,13,1178
74,2018-04-07,2018,14,1190
74,2018-04-14,2018,15,1208
74,2018-04-21,2018,16,1217
74,2018-04-28,2018,17,1183
74,2018-05-05,2018,18,1160
74,2018-05-12,2018,19,1101
74,2018-05-19,2018,20,1060
74,2018-05-26,2018,21,1093
74,2018-06-02,2018,22,1111
74,2018-06-09,2018,23,1153
74,2018-06-16,2018,24,1122
74,2018-06-23,2018,25,1110
74,2018-06-30,2018,26,1107
74,2018-07-07,2018,27,1130
74,2018-07-14,2018,28,1049
74,2018-07-21,2018,29,1090
74,2018-07-28,2018,30,1043
74,2018-08-04,2018,31,1058
74,2018-08-11,2018,32,1069
74,2018-08-18,2018,33,1055
74,2018-08-25,2018,34,1106
74,2018-09-01,2018,35,1153
74,2018-09-08,2018,36,1040
74,2018-09-15,2018,37,1044
74,2018-09-22,2018,38,1161
74,2018-09-29,2018,39,1097
74,2018-10-06,2018,40,1110
74,2018-10-13,2018,41,1100
74,2018-10-20,2018,42,1110
74,2018-10-27,2018,43,1170
74,2018-11-03,2018,44,1079
74,2018-11-10,2018,45,1106
74,2018-11-17,2018,46,1086
74,2018-11-24,2018,47,1137
74,2018-12-01,2018,48,1163
74,2018-12-08,2018,49,1220
74,2018-12-15,2018,50,1193
74,2018-12-22,2018,51,1181
74,2018-12-29,2018,52,1202
74,2019-01-05,2019,1,1228
74,2019-01-12,2019,2,1258
74,2019-01-19,2019,3,1140
74,2019-01-26,2019,4,1174
74,2019-02-02,2019,5,1175
74,2019-02-09,2019,6,1214
74,2019-02-16,2019,7,1228
74,2019-02-23,2019,8,1241
74,2019-03-02,2019,9,1235
74,2019-03-09,2019,10,1283
74,2019-03-16,2019,11,1213
74,2019-03-23,2019,12,1224
74,2019-03-30,2019,13,1182
74,2019-04-06,2019,14,1174
74,2019-04-13,2019,15,1160
74,2019-04-20,2019,16,1103
74,2019-04-27,2019,17,1091
74,2019-05-04,2019,18,1155
74,2019-05-11,2019,19,1132
74,2019-05-18,2019,20,1129
74,2019-05-25,2019,21,1148
74,2019-06-01,2019,22,1160
74,2019-06-08,2019,23,1060
74,2019-06-15,2019,24,1043
74,2019-06-22,2019,25,1108
74,2019-06-29,2019,26,1097
74,2019-07-06,2019,27,1057
74,2019-07-13,2019,28,1031
74,2019-07-20,2019,29,1002
74,2019-07-27,2019,30,1059
74,2019-08-03,2019,31,1041
74,2019-08-10,2019,32,1003
74,2019-08-17,2019,33,1038
74,2019-08-24,2019,34,1033
74,2019-08-31,2019,35,1076
74,2019-09-07,2019,36,1065
74,2019-09-14,2019,37,995
74,2019-09-21,2019,38,1052
74,2019-09-28,2019,39,1101
74,2019-10-05,2019,40,1032
74,2019-10-12,2019,41,1107
74,2019-10-19,2019,42,1048
74,2019-10-26,2019,43,1111
74,2019-11-02,2019,44,1079
74,2019-11-09,2019,45,1093
74,2019-11-16,2019,46,1187
74,2019-11-23,2019,47,1161
74,2019-11-30,2019,48,1064
74,2019-12-07,2019,49,1151
74,2019-12-14,2019,50,1129
74,2019-12-21,2019,51,1117
74,2019-12-28,2019,52,1094
74,2020-01-04,2020,1,1193
74,2020-01-11,2020,2,1296
74,2020-01-18,2020,3,1138
74,2020-01-25,2020,4,1223
74,2020-02-01,2020,5,1257
74,2020-02-08,2020,6,1170
74,2020-02-15,2020,7,1151
74,2020-02-22,2020,8,1177
74,2020-02-29,2020,9,1211
74,2020-03-07,2020,10,1231
74,2020-03-14,2020,11,1156
74,2020-03-21,2020,12,1208
74,2020-03-28,2020,13,1229
74,2020-04-04,2020,14,1460
74,2020-04-11,2020,15,1568
74,2020-04-18,2020,16,1537
74,2020-04-25,2020,17,1453
74,2020-05-02,2020,18,1380
74,2020-05-09,2020,19,1315
74,2020-05-16,2020,20,1204
74,2020-05-23,2020,21,1238
74,2020-05-30,2020,22,1184
74,2020-06-06,2020,23,1133
74,2020-06-13,2020,24,1104
74,2020-06-20,2020,25,1171
74,2020-06-27,2020,26,1198
74,2020-07-04,2020,27,1161
74,2020-07-11,2020,28,1232
74,2020-07-18,2020,29,1362
74,2020-07-25,2020,30,1279
74,2020-08-01,2020,31,1315
74,2020-08-08,2020,32,1294
74,2020-08-15,2020,33,1373
74,2020-08-22,2020,34,1261
74,2020-08-29,2020,35,1309
74,2020-09-05,2020,36,1321
74,2020-09-12,2020,37,1294
74,2020-09-19,2020,38,1282
74,2020-09-26,2020,39,1275
74,2020-10-03,2020,40,1303
74,2020-10-10,2020,41,1327
74,2020-10-17,2020,42,1338
74,2020-10-24,2020,43,1325
74,2020-10-31,2020,44,1429
74,2020-11-07,2020,45,1444
74,2020-11-14,2020,46,1535
74,2020-11-21,2020,47,1663
74,2020-11-28,2020,48,1703
74,2020-12-05,2020,49,1844
74,2020-12-12,2020,50,1888
74,2020-12-19,2020,51,1978
74,2020-12-26,2020,52,2021
74,2021-01-02,2020,53,2060
74,2021-01-09,2021,1,2076
74,2021-01-16,2021,2,2126
74,2021-01-23,2021,3,2133
74,2021-01-30,2021,4,2027
74,2021-02-06,2021,5,1980
74,2021-02-13,2021,6,1825
74,2021-02-20,2021,7,1720
74,2021-02-27,2021,8,1609
74,2021-03-06,2021,9,1646
74,2021-03-13,2021,10,1538
74,2021-03-20,2021,11,1467
74,2021-03-27,2021,12,1465
74,2021-04-03,2021,13,1486
74,2021-04-10,2021,14,1579
74,2021-04-17,2021,15,1514
74,2021-04-24,2021,16,1511
74,2021-05-01,2021,17,1592
74,2021-05-08,2021,18,1543
74,2021-05-15,2021,19,1530
74,2021-05-22,2021,20,1511
74,2021-05-29,2021,21,1502
74,2021-06-05,2021,22,1464
74,2021-06-12,2021,23,1424
74,2021-06-19,2021,24,1476
74,2021-06-26,2021,25,1441
74,2021-07-03,2021,26,1544
74,2021-07-10,2021,27,1497
74,2021-07-17,2021,28,1476
74,2021-07-24,2021,29,1475
74,2021-07-31,2021,30,1523
74,2021-08-07,2021,31,1734
74,2021-08-14,2021,32,1698
74,2021-08-21,2021,33,1841
74,2021-08-28,2021,34,1893
74,2021-09-04,2021,35,1946
74,2021-09-11,2021,36,1947
74,2021-09-18,2021,37,2000
74,2021-09-25,2021,38,1897
74,2021-10-02,2021,39,1961
74,2021-10-09,2021,40,1857
74,2021-10-16,2021,41,1744
74,2021-10-23,2021,42,1736
74,2021-10-30,2021,43,1719
74,2021-11-06,2021,44,1650
74,2021-11-13,2021,45,1730
74,2021-11-20,2021,46,1751
74,2021-11-27,2021,47,1723
74,2021-12-04,2021,48,1893
74,2021-12-11,2021,49,1917
74,2021-12-18,2021,50,1886
74,2021-12-25,2021,51,1896
74,2022-01-01,2021,52,1878
74,2022-01-08,2022,1,2055
74,2022-01-15,2022,2,2112
74,2022-01-22,2022,3,2140
74,2022-01-29,2022,4,2247
74,2022-02-05,2022,5,2127
74,2022-02-12,2022,6,2003
74,2022-02-19,2022,7,1848
74,2022-02-26,2022,8,1738
74,2022-03-05,2022,9,1614
74,2022-03-12,2022,10,1539
74,2022-03-19,2022,11,1570
74,2022-03-26,2022,12,1473
74,2022-04-02,2022,13,1400
74,2022-04-09,2022,14,1433
74,2022-04-16,2022,15,1482
74,2022-04-23,2022,16,1411
74,2022-04-30,2022,17,1445
74,2022-05-07,2022,18,1443
74,2022-05-14,2022,19,1384
74,2022-05-21,2022,20,1440
74,2022-05-28,2022,21,1417
74,2022-06-04,2022,22,1381
74,2022-06-11,2022,23,1425
74,2022-06-18,2022,24,1443
74,2022-06-25,2022,25,1357
74,2022-07-02,2022,26,1428
74,2022-07-09,2022,27,1330
74,2022-07-16,2022,28,1398
74,2022-07-23,2022,29,1371
74,2022-07-30,2022,30,1405
74,2022-08-06,2022,31,1397
74,2022-08-13,2022,32,1456
74,2022-08-20,2022,33,1462
74,2022-08-27,2022,34,1445
74,2022-09-03,2022,35,1393
74,2022-09-10,2022,36,1436
74,2022-09-17,2022,37,1439
74,2022-09-24,2022,38,1401
74,2022-10-01,2022,39,1404
74,2022-10-08,2022,40,1472
74,2022-10-15,2022,41,1423
74,2022-10-22,2022,42,1417
74,2022-10-29,2022,43,1467
74,2022-11-05,2022,44,1482
74,2022-11-12,2022,45,1439
74,2022-11-19,2022,46,1400
74,2022-11-26,2022,47,1495
74,2022-12-03,2022,48,1548
74,2022-12-10,2022,49,1571
74,2022-12-17,2022,50,1648
74,2022-12-24,2022,51,1651
74,2022-12-31,2022,52,1680
74,2023-01-07,2023,1,1696
74,2023-01-14,2023,2,1529
74,2023-01-21,2023,3,1534
74,2023-01-28,2023,4,1483
74,2023-02-04,2023,5,1512
74,2023-02-11,2023,6,1528
74,2023-02-18,2023,7,1476
74,2023-02-25,2023,8,1439
74,2023-03-04,2023,9,1466
74,2023-03-11,2023,10,1468
74,2023-03-18,2023,11,1443
74,2023-03-25,2023,12,1466
74,2023-04-01,2023,13,1399
74,2023-04-08,2023,14,1376
74,2023-04-15,2023,15,1427
74,2023-04-22,2023,16,1401
74,2023-04-29,2023,17,1288
74,2023-05-06,2023,18,1342
74,2023-05-13,2023,19,1389
