type,cause,week,dead
mcd,N28.8,2024-04-20,51
mcd,N28.8,2024-04-27,54
mcd,N28.8,2024-05-04,54
mcd,N28.8,2024-05-11,51
mcd,N28.8,2024-05-18,47
mcd,N28.8,2024-05-25,48
mcd,N28.8,2024-06-01,43
mcd,N28.8,2024-06-08,62
mcd,N28.8,2024-06-15,62
mcd,N28.8,2024-06-22,52
mcd,N28.8,2024-06-29,48
mcd,N28.8,2024-07-06,62
mcd,N28.8,2024-07-13,55
mcd,N28.8,2024-07-20,52
mcd,N28.8,2024-07-27,48
mcd,N28.8,2024-08-03,56
mcd,N28.8,2024-08-10,49
mcd,N28.8,2024-08-17,51
mcd,N28.8,2024-08-24,58
mcd,N28.8,2024-08-31,60
mcd,N28.8,2024-09-07,58
mcd,N28.8,2024-09-14,46
mcd,N28.8,2024-09-21,51
mcd,N28.8,2024-09-28,55
mcd,N28.8,2024-10-05,50
mcd,N28.8,2024-10-12,80
mcd,N28.8,2024-10-19,55
mcd,N28.8,2024-10-26,48
mcd,N28.8,2024-11-02,44
mcd,N28.8,2024-11-09,61
mcd,N28.8,2024-11-16,67
mcd,N28.8,2024-11-23,63
mcd,N28.8,2024-11-30,56
mcd,N28.8,2024-12-07,66
mcd,N28.8,2024-12-14,55
mcd,N28.8,2024-12-21,57
mcd,N28.8,2024-12-28,63
mcd,N28.8,2025-01-04,66
mcd,N28.8,2025-01-11,52
mcd,N28.8,2025-01-18,63
mcd,N28.8,2025-01-25,67
mcd,N28.8,2025-02-01,70
mcd,N28.8,2025-02-08,53
mcd,N28.8,2025-02-15,38
mcd,N28.8,2025-02-22,37
and,N28.8,2020-03-21,19
and,N28.8,2020-03-28,74
and,N28.8,2020-04-04,216
and,N28.8,2020-04-11,358
and,N28.8,2020-04-18,384
and,N28.8,2020-04-25,352
and,N28.8,2020-05-02,316
and,N28.8,2020-05-09,269
and,N28.8,2020-05-16,240
and,N28.8,2020-05-23,192
and,N28.8,2020-05-30,166
and,N28.8,2020-06-06,152
and,N28.8,2020-06-13,100
and,N28.8,2020-06-20,97
and,N28.8,2020-06-27,110
and,N28.8,2020-07-04,123
and,N28.8,2020-07-11,145
and,N28.8,2020-07-18,190
and,N28.8,2020-07-25,236
and,N28.8,2020-08-01,257
and,N28.8,2020-08-08,242
and,N28.8,2020-08-15,233
and,N28.8,2020-08-22,233
and,N28.8,2020-08-29,175
and,N28.8,2020-09-05,160
and,N28.8,2020-09-12,181
and,N28.8,2020-09-19,171
and,N28.8,2020-09-26,146
and,N28.8,2020-10-03,149
and,N28.8,2020-10-10,152
and,N28.8,2020-10-17,181
and,N28.8,2020-10-24,191
and,N28.8,2020-10-31,231
and,N28.8,2020-11-07,295
and,N28.8,2020-11-14,369
and,N28.8,2020-11-21,463
and,N28.8,2020-11-28,514
and,N28.8,2020-12-05,626
and,N28.8,2020-12-12,679
and,N28.8,2020-12-19,680
and,N28.8,2020-12-26,737
and,N28.8,2021-01-02,719
and,N28.8,2021-01-09,555
and,N28.8,2021-01-16,534
and,N28.8,2021-01-23,524
and,N28.8,2021-01-30,466
and,N28.8,2021-02-06,397
and,N28.8,2021-02-13,324
and,N28.8,2021-02-20,236
and,N28.8,2021-02-27,211
and,N28.8,2021-03-06,149
and,N28.8,2021-03-13,121
and,N28.8,2021-03-20,107
and,N28.8,2021-03-27,96
and,N28.8,2021-04-03,78
and,N28.8,2021-04-10,88
