year,month,age,dead
2000,10,90,1909
2000,10,95,526
2000,10,100,60
2000,11,1,35
2000,11,5,45
2000,11,10,49
2000,11,15,73
2000,11,20,81
2000,11,25,105
2000,11,30,216
2000,11,35,447
2000,11,40,913
2000,11,45,1501
2000,11,50,2453
2000,11,55,3264
2000,11,60,4115
2000,11,65,5465
2000,11,70,7039
2000,11,75,7490
2000,11,80,6290
2000,11,85,4018
2000,11,90,1777
2000,11,95,484
2000,11,100,58
2000,12,1,36
2000,12,5,40
2000,12,10,44
2000,12,15,48
2000,12,20,84
2000,12,25,110
2000,12,30,209
2000,12,35,486
2000,12,40,928
2000,12,45,1559
2000,12,50,2616
2000,12,55,3369
2000,12,60,4350
2000,12,65,5381
2000,12,70,7083
2000,12,75,7643
2000,12,80,6498
2000,12,85,4319
2000,12,90,1946
2000,12,95,481
2000,12,100,80
2001,01,1,31
2001,01,5,44
2001,01,10,44
2001,01,15,61
2001,01,20,88
2001,01,25,112
2001,01,30,194
2001,01,35,471
2001,01,40,938
2001,01,45,1689
2001,01,50,2699
2001,01,55,3512
2001,01,60,4403
2001,01,65,5523
2001,01,70,7109
2001,01,75,7718
2001,01,80,6560
2001,01,85,4198
2001,01,90,1902
2001,01,95,509
2001,01,100,61
2001,02,1,27
2001,02,5,35
2001,02,10,34
2001,02,15,58
2001,02,20,80
2001,02,25,105
2001,02,30,188
2001,02,35,387
2001,02,40,868
2001,02,45,1461
2001,02,50,2373
2001,02,55,3156
2001,02,60,3891
2001,02,65,4955
2001,02,70,6436
2001,02,75,7055
2001,02,80,5872
2001,02,85,3857
2001,02,90,1697
2001,02,95,450
2001,02,100,66
2001,03,1,31
2001,03,5,39
2001,03,10,40
2001,03,15,51
2001,03,20,68
2001,03,25,98
2001,03,30,271
2001,03,35,483
2001,03,40,917
2001,03,45,1641
2001,03,50,2554
2001,03,55,3261
2001,03,60,4239
2001,03,65,5505
2001,03,70,7055
2001,03,75,7958
2001,03,80,6409
2001,03,85,4292
2001,03,90,1875
2001,03,95,457
2001,03,100,72
2001,04,1,26
2001,04,5,45
2001,04,10,34
2001,04,15,59
2001,04,20,71
2001,04,25,119
2001,04,30,202
2001,04,35,485
2001,04,40,904
2001,04,45,1506
2001,04,50,2433
2001,04,55,3363
2001,04,60,4151
2001,04,65,5279
2001,04,70,6854
2001,04,75,7582
2001,04,80,6252
2001,04,85,4091
2001,04,90,1731
2001,04,95,492
2001,04,100,69
2001,05,1,38
2001,05,5,39
2001,05,10,54
2001,05,15,70
2001,05,20,92
2001,05,25,126
2001,05,30,242
2001,05,35,452
2001,05,40,946
2001,05,45,1598
2001,05,50,2591
2001,05,55,3344
2001,05,60,4194
2001,05,65,5427
2001,05,70,6932
2001,05,75,7434
2001,05,80,6180
2001,05,85,4134
2001,05,90,1838
2001,05,95,468
2001,05,100,44
2001,06,1,34
2001,06,5,37
2001,06,10,33
2001,06,15,58
2001,06,20,78
2001,06,25,131
2001,06,30,216
2001,06,35,448
2001,06,40,930
2001,06,45,1595
2001,06,50,2427
2001,06,55,3251
2001,06,60,4050
2001,06,65,5203
2001,06,70,6891
2001,06,75,7335
2001,06,80,6087
2001,06,85,3947
2001,06,90,1711
2001,06,95,455
2001,06,100,61
2001,07,1,38
2001,07,5,52
2001,07,10,46
2001,07,15,57
2001,07,20,68
2001,07,25,121
2001,07,30,211
2001,07,35,442
2001,07,40,917
2001,07,45,1576
2001,07,50,2454
2001,07,55,3331
2001,07,60,4184
2001,07,65,5351
2001,07,70,6900
2001,07,75,7345
2001,07,80,6114
2001,07,85,4109
2001,07,90,1774
2001,07,95,446
2001,07,100,60
2001,08,1,35
2001,08,5,39
2001,08,10,43
2001,08,15,71
2001,08,20,89
2001,08,25,109
2001,08,30,227
2001,08,35,453
2001,08,40,967
2001,08,45,1660
2001,08,50,2495
2001,08,55,3309
2001,08,60,4274
2001,08,65,5445
2001,08,70,6948
2001,08,75,7615
2001,08,80,6588
2001,08,85,4312
2001,08,90,1786
2001,08,95,481
2001,08,100,57
2001,09,1,41
2001,09,5,36
2001,09,10,58
2001,09,15,71
2001,09,20,88
2001,09,25,106
2001,09,30,203
2001,09,35,482
2001,09,40,946
2001,09,45,1560
2001,09,50,2662
2001,09,55,3245
2001,09,60,4157
2001,09,65,5274
2001,09,70,6782
2001,09,75,7289
2001,09,80,6150
2001,09,85,4111
2001,09,90,1737
2001,09,95,443
2001,09,100,57
2001,10,1,31
2001,10,5,35
2001,10,10,41
2001,10,15,70
2001,10,20,82
2001,10,25,124
2001,10,30,223
2001,10,35,466
2001,10,40,918
2001,10,45,1669
2001,10,50,2605
2001,10,55,3355
2001,10,60,4412
2001,10,65,5374
2001,10,70,7224
2001,10,75,7522
2001,10,80,6497
2001,10,85,4400
2001,10,90,1908
2001,10,95,488
2001,10,100,59
2001,11,1,44
2001,11,5,41
2001,11,10,40
2001,11,15,50
2001,11,20,97
2001,11,25,103
2001,11,30,205
2001,11,35,437
2001,11,40,938
2001,11,45,1640
2001,11,50,2528
2001,11,55,3250
2001,11,60,4173
2001,11,65,5363
2001,11,70,6726
2001,11,75,7444
2001,11,80,6149
2001,11,85,4074
2001,11,90,1820
2001,11,95,470
2001,11,100,61
2001,12,1,44
2001,12,5,51
2001,12,10,48
2001,12,15,56
2001,12,20,71
2001,12,25,135
2001,12,30,223
2001,12,35,460
2001,12,40,914
2001,12,45,1604
2001,12,50,2542
2001,12,55,3450
2001,12,60,4268
2001,12,65,5473
2001,12,70,6989
2001,12,75,7670
2001,12,80,6620
2001,12,85,4155
2001,12,90,1881
2001,12,95,525
2001,12,100,60
2002,01,1,34
2002,01,5,55
2002,01,10,43
2002,01,15,62
2002,01,20,83
2002,01,25,99
2002,01,30,214
2002,01,35,443
2002,01,40,896
2002,01,45,1613
2002,01,50,2606
2002,01,55,3510
2002,01,60,4525
2002,01,65,5487
2002,01,70,7077
2002,01,75,7747
2002,01,80,6655
2002,01,85,4401
2002,01,90,1928
2002,01,95,514
2002,01,100,79
2002,02,1,39
2002,02,5,44
2002,02,10,47
2002,02,15,68
2002,02,20,59
2002,02,25,96
2002,02,30,194
2002,02,35,436
2002,02,40,864
2002,02,45,1532
2002,02,50,2356
2002,02,55,3120
2002,02,60,4069
2002,02,65,5098
2002,02,70,6357
2002,02,75,7051
2002,02,80,6311
2002,02,85,4055
2002,02,90,1858
2002,02,95,470
2002,02,100,59
2002,03,1,34
2002,03,5,46
2002,03,10,38
2002,03,15,62
2002,03,20,94
2002,03,25,106
2002,03,30,232
2002,03,35,444
2002,03,40,913
2002,03,45,1593
2002,03,50,2560
2002,03,55,3634
2002,03,60,4466
2002,03,65,5491
2002,03,70,7082
2002,03,75,7965
2002,03,80,6745
2002,03,85,4418
2002,03,90,1894
2002,03,95,525
2002,03,100,74
2002,04,1,34
2002,04,5,31
2002,04,10,42
2002,04,15,51
2002,04,20,93
2002,04,25,97
2002,04,30,241
2002,04,35,385
2002,04,40,906
2002,04,45,1623
2002,04,50,2520
2002,04,55,3428
2002,04,60,4096
2002,04,65,5133
2002,04,70,6609
2002,04,75,7255
2002,04,80,6234
2002,04,85,3982
2002,04,90,1804
2002,04,95,431
2002,04,100,61
2002,05,1,25
2002,05,5,41
2002,05,10,53
2002,05,15,57
2002,05,20,67
2002,05,25,107
2002,05,30,191
2002,05,35,492
2002,05,40,944
2002,05,45,1641
2002,05,50,2567
2002,05,55,3584
2002,05,60,4413
2002,05,65,5408
2002,05,70,6890
2002,05,75,7497
2002,05,80,6394
2002,05,85,4156
2002,05,90,1813
2002,05,95,462
2002,05,100,60
2002,06,1,28
2002,06,5,39
2002,06,10,42
2002,06,15,57
2002,06,20,82
2002,06,25,130
2002,06,30,231
2002,06,35,433
2002,06,40,876
2002,06,45,1540
2002,06,50,2519
2002,06,55,3310
2002,06,60,4014
2002,06,65,5172
2002,06,70,6486
2002,06,75,6991
2002,06,80,6165
2002,06,85,4021
2002,06,90,1774
2002,06,95,448
2002,06,100,63
2002,07,1,29
2002,07,5,51
2002,07,10,41
2002,07,15,64
2002,07,20,81
2002,07,25,126
2002,07,30,240
2002,07,35,420
2002,07,40,923
2002,07,45,1685
2002,07,50,2596
2002,07,55,3510
2002,07,60,4418
2002,07,65,5169
2002,07,70,6795
2002,07,75,7291
2002,07,80,6549
2002,07,85,4223
2002,07,90,1840
2002,07,95,454
2002,07,100,61
2002,08,1,11
2002,08,1,24
2002,08,5,47
2002,08,10,50
2002,08,15,71
2002,08,20,92
2002,08,25,89
2002,08,30,242
2002,08,35,414
2002,08,40,983
2002,08,45,1612
2002,08,50,2476
2002,08,55,3502
2002,08,60,4338
2002,08,65,5329
2002,08,70,6746
2002,08,75,7607
2002,08,80,6420
2002,08,85,4249
2002,08,90,1849
2002,08,95,468
2002,08,100,61
2002,09,1,50
2002,09,5,46
2002,09,10,36
2002,09,15,75
2002,09,20,85
2002,09,25,106
2002,09,30,210
2002,09,35,433
2002,09,40,881
2002,09,45,1595
2002,09,50,2479
2002,09,55,3395
2002,09,60,4231
2002,09,65,5213
2002,09,70,6639
2002,09,75,7254
2002,09,80,6366
2002,09,85,4054
2002,09,90,1782
2002,09,95,478
2002,09,100,61
2002,10,1,36
2002,10,5,52
2002,10,10,54
2002,10,15,56
2002,10,20,85
2002,10,25,93
2002,10,30,202
2002,10,35,428
2002,10,40,898
2002,10,45,1590
2002,10,50,2572
2002,10,55,3496
2002,10,60,4521
2002,10,65,5411
2002,10,70,6895
2002,10,75,7740
2002,10,80,6542
2002,10,85,4273
2002,10,90,1910
2002,10,95,498
2002,10,100,75
2002,11,1,40
2002,11,5,42
2002,11,10,42
2002,11,15,41
2002,11,20,91
2002,11,25,100
2002,11,30,188
2002,11,35,405
2002,11,40,880
2002,11,45,1625
2002,11,50,2537
2002,11,55,3417
2002,11,60,4278
2002,11,65,5172
2002,11,70,6681
2002,11,75,7517
2002,11,80,6393
2002,11,85,4209
2002,11,90,1894
2002,11,95,482
2002,11,100,72
2002,12,1,29
2002,12,5,43
2002,12,10,47
2002,12,15,59
2002,12,20,95
2002,12,25,109
2002,12,30,229
2002,12,35,417
