reposter,reposted,count,reposter_likely_hybrid_or_not_bot
23xing1,ReiwaLuna06013,2,F
23xing1,remonwangxt,1,F
23xing1,Resist_05,8,F
23xing1,Restitutor_,1,F
23xing1,ReturnOfKappy,1,F
23xing1,ricwe123,2,F
23xing1,RNCResearch,1,F
23xing1,robinmonotti,2,F
23xing1,RocArcher,1,F
23xing1,SaiKate108,2,F
23xing1,SalmanTorsum,1,F
23xing1,Sam20210206,1,F
23xing1,seanwei001,1,F
23xing1,ShadowofEzra,3,F
23xing1,shell_zipi,3,F
23xing1,shellenberger,1,F
23xing1,shijinxia,1,F
23xing1,shiwuqianli4,2,F
23xing1,shoukaku999,1,F
23xing1,Shunyaa00,1,F
23xing1,simonateba,1,F
23xing1,SmallnoD,5,F
23xing1,snaptwiceontw,1,F
23xing1,SpartaJustice,15,F
23xing1,Spiro_Ghost,1,F
23xing1,Sprinterfactory,4,F
23xing1,SSK2024,3,F
23xing1,StorymanHall,1,F
23xing1,supercali2023,1,F
23xing1,Sweety27g,1,F
23xing1,tangjian2021,1,F
23xing1,TaraBull808,2,F
23xing1,thatdayin1992,1,F
23xing1,The_Trump_Train,1,F
23xing1,TheFigen_,2,F
23xing1,Thekeksociety,1,F
23xing1,TheRealKeean,1,F
23xing1,TheThe1776,1,F
23xing1,Tianshuihanyan,1,F
23xing1,TNTJohn1717,1,F
23xing1,Tony45821646,2,F
23xing1,TorahJudaism,1,F
23xing1,TPV_John,2,F
23xing1,Tracy259988,1,F
23xing1,Travis_4_Trump,8,F
23xing1,trumperhawk,8,F
23xing1,Trustly0333L,4,F
23xing1,TTAVOfficial,1,F
23xing1,TuckerCarlson,1,F
23xing1,tuitexinhao,1,F
23xing1,twittacc838,3,F
23xing1,usa912152217,6,F
23xing1,VigilantFox,4,F
23xing1,VivekGRamaswamy,1,F
23xing1,w_terrence,1,F
23xing1,waixijiu,1,F
23xing1,WallStreetApes,13,F
23xing1,WallStreetSilv,13,F
23xing1,wanerfu,1,F
23xing1,WangAying,1,F
