year,month,region,dead,born
2009,11,Midwest,425,66408
2009,11,Northeast,297,50817
2009,11,South,912,123761
2009,11,West,408,79209
2009,12,Midwest,474,70383
2009,12,Northeast,267,53724
2009,12,South,866,133879
2009,12,West,468,83009
2010,1,Midwest,500,66958
2010,1,Northeast,313,51623
2010,1,South,937,124832
2010,1,West,428,79836
2010,2,Midwest,456,64053
2010,2,Northeast,246,48243
2010,2,South,821,115524
2010,2,West,415,74174
2010,3,Midwest,474,72435
2010,3,Northeast,298,54956
2010,3,South,892,127717
2010,3,West,393,83505
2010,4,Midwest,514,69877
2010,4,Northeast,294,53894
2010,4,South,868,121549
2010,4,West,401,79708
2010,5,Midwest,493,70994
2010,5,Northeast,279,54210
2010,5,South,933,121456
2010,5,West,423,81613
2010,6,Midwest,431,71876
2010,6,Northeast,328,55276
2010,6,South,822,125725
2010,6,West,388,81658
2010,7,Midwest,472,73689
2010,7,Northeast,314,57061
2010,7,South,839,129788
2010,7,West,419,84661
2010,8,Midwest,465,73274
2010,8,Northeast,295,56248
2010,8,South,925,133440
2010,8,West,439,86785
2010,9,Midwest,450,72910
2010,9,Northeast,294,55817
2010,9,South,869,134932
2010,9,West,419,87086
2010,10,Midwest,487,69596
2010,10,Northeast,300,54651
2010,10,South,901,128868
2010,10,West,425,83694
2010,11,Midwest,414,67307
2010,11,Northeast,289,52314
2010,11,South,862,126939
2010,11,West,408,79660
2010,12,Midwest,428,69887
2010,12,Northeast,294,54142
2010,12,South,835,131901
2010,12,West,396,83044
2011,1,Midwest,472,66232
2011,1,Northeast,325,51926
2011,1,South,787,123516
2011,1,West,395,78803
2011,2,Midwest,396,63048
2011,2,Northeast,287,48056
2011,2,South,822,113546
2011,2,West,406,73311
2011,3,Midwest,489,70012
2011,3,Northeast,317,53485
2011,3,South,877,124102
2011,3,West,423,82552
2011,4,Midwest,457,66679
2011,4,Northeast,267,51760
2011,4,South,874,116035
2011,4,West,378,78801
2011,5,Midwest,429,69623
2011,5,Northeast,306,54848
2011,5,South,852,120566
2011,5,West,418,81610
2011,6,Midwest,464,72739
2011,6,Northeast,264,55866
2011,6,South,876,126017
2011,6,West,369,82658
2011,7,Midwest,458,74260
2011,7,Northeast,268,56846
2011,7,South,838,130682
2011,7,West,411,83772
2011,8,Midwest,485,76006
2011,8,Northeast,280,57824
2011,8,South,901,138403
2011,8,West,424,87171
2011,9,Midwest,444,72602
2011,9,Northeast,282,55799
2011,9,South,824,132907
2011,9,West,418,84240
2011,10,Midwest,472,68655
2011,10,Northeast,297,53409
2011,10,South,914,125641
2011,10,West,421,80783
2011,11,Midwest,483,66539
2011,11,Northeast,284,51735
2011,11,South,791,125383
2011,11,West,409,77822
2011,12,Midwest,426,67829
2011,12,Northeast,264,51859
2011,12,South,837,128313
2011,12,West,404,79319
2012,1,Midwest,480,65354
2012,1,Northeast,272,50840
2012,1,South,762,122842
2012,1,West,400,77279
2012,2,Midwest,472,63484
2012,2,Northeast,271,48663
2012,2,South,807,117621
2012,2,West,382,74737
2012,3,Midwest,447,69080
2012,3,Northeast,286,52234
2012,3,South,828,122269
2012,3,West,394,80739
2012,4,Midwest,429,64966
2012,4,Northeast,298,50708
2012,4,South,889,114842
2012,4,West,380,76184
2012,5,Midwest,481,71119
2012,5,Northeast,275,54655
2012,5,South,882,122876
2012,5,West,415,81496
2012,6,Midwest,458,70930
2012,6,Northeast,286,53234
2012,6,South,827,123257
2012,6,West,360,79768
2012,7,Midwest,459,74478
2012,7,Northeast,284,56135
2012,7,South,826,132162
2012,7,West,413,84767
2012,8,Midwest,425,76080
2012,8,Northeast,288,58221
2012,8,South,904,137910
2012,8,West,396,88903
2012,9,Midwest,451,70414
2012,9,Northeast,276,54485
2012,9,South,849,129873
2012,9,West,416,85341
2012,10,Midwest,430,71977
2012,10,Northeast,311,54943
2012,10,South,852,133159
2012,10,West,427,85418
2012,11,Midwest,412,67429
2012,11,Northeast,271,52525
2012,11,South,843,125218
2012,11,West,374,79974
2012,12,Midwest,448,67358
2012,12,Northeast,272,52080
2012,12,South,845,125243
2012,12,West,376,79571
2013,1,Midwest,480,66760
2013,1,Northeast,272,52002
2013,1,South,844,125884
2013,1,West,390,79045
2013,2,Midwest,394,61348
2013,2,Northeast,266,46806
2013,2,South,801,112073
2013,2,West,357,71521
2013,3,Midwest,448,68242
2013,3,Northeast,304,51305
2013,3,South,843,121335
2013,3,West,397,79647
2013,4,Midwest,414,66215
2013,4,Northeast,266,50618
2013,4,South,853,118185
2013,4,West,377,76627
2013,5,Midwest,462,71390
2013,5,Northeast,283,53967
2013,5,South,849,123826
2013,5,West,434,80337
2013,6,Midwest,441,69301
2013,6,Northeast,295,52618
