age,date,rate
75,2022-04-23,3708.83
75,2022-04-24,3698.50
75,2022-04-25,3688.25
75,2022-04-26,3678.10
75,2022-04-27,3668.05
75,2022-04-28,3658.10
75,2022-04-29,3648.26
75,2022-04-30,3638.54
75,2022-05-01,3628.94
75,2022-05-02,3619.47
75,2022-05-03,3610.14
75,2022-05-04,3600.94
75,2022-05-05,3591.90
75,2022-05-06,3583.00
75,2022-05-07,3574.27
75,2022-05-08,3565.70
75,2022-05-09,3557.30
75,2022-05-10,3549.08
75,2022-05-11,3541.04
75,2022-05-12,3533.19
75,2022-05-13,3525.53
75,2022-05-14,3518.08
75,2022-05-15,3510.83
75,2022-05-16,3503.79
75,2022-05-17,3496.97
75,2022-05-18,3490.38
75,2022-05-19,3484.01
75,2022-05-20,3477.88
75,2022-05-21,3471.99
75,2022-05-22,3466.35
75,2022-05-23,3460.95
75,2022-05-24,3455.81
75,2022-05-25,3450.93
75,2022-05-26,3446.31
75,2022-05-27,3441.94
75,2022-05-28,3437.85
75,2022-05-29,3434.02
75,2022-05-30,3430.47
75,2022-05-31,3427.19
75,2022-06-01,3424.18
75,2022-06-02,3421.44
75,2022-06-03,3418.96
75,2022-06-04,3416.76
75,2022-06-05,3414.82
75,2022-06-06,3413.14
75,2022-06-07,3411.72
75,2022-06-08,3410.55
75,2022-06-09,3409.63
75,2022-06-10,3408.94
75,2022-06-11,3408.47
75,2022-06-12,3408.23
75,2022-06-13,3408.19
75,2022-06-14,3408.36
75,2022-06-15,3408.72
75,2022-06-16,3409.26
75,2022-06-17,3409.96
75,2022-06-18,3410.81
75,2022-06-19,3411.80
75,2022-06-20,3412.91
75,2022-06-21,3414.13
75,2022-06-22,3415.44
75,2022-06-23,3416.84
75,2022-06-24,3418.29
75,2022-06-25,3419.78
75,2022-06-26,3421.31
75,2022-06-27,3422.85
75,2022-06-28,3424.39
75,2022-06-29,3425.90
75,2022-06-30,3427.39
75,2022-07-01,3428.82
75,2022-07-02,3430.19
75,2022-07-03,3431.49
75,2022-07-04,3432.68
75,2022-07-05,3433.77
75,2022-07-06,3434.74
75,2022-07-07,3435.58
75,2022-07-08,3436.27
75,2022-07-09,3436.81
75,2022-07-10,3437.20
75,2022-07-11,3437.42
75,2022-07-12,3437.45
75,2022-07-13,3437.31
75,2022-07-14,3436.97
75,2022-07-15,3436.43
75,2022-07-16,3435.71
75,2022-07-17,3434.78
75,2022-07-18,3433.66
75,2022-07-19,3432.34
75,2022-07-20,3430.83
75,2022-07-21,3429.12
75,2022-07-22,3427.23
75,2022-07-23,3425.15
75,2022-07-24,3422.90
75,2022-07-25,3420.50
75,2022-07-26,3417.93
75,2022-07-27,3415.23
75,2022-07-28,3412.39
75,2022-07-29,3409.42
75,2022-07-30,3406.34
75,2022-07-31,3403.16
75,2022-08-01,3399.90
75,2022-08-02,3396.57
75,2022-08-03,3393.19
75,2022-08-04,3389.78
75,2022-08-05,3386.34
75,2022-08-06,3382.89
75,2022-08-07,3379.46
75,2022-08-08,3376.06
75,2022-08-09,3372.70
75,2022-08-10,3369.40
75,2022-08-11,3366.18
75,2022-08-12,3363.05
75,2022-08-13,3360.04
75,2022-08-14,3357.15
75,2022-08-15,3354.40
75,2022-08-16,3351.80
75,2022-08-17,3349.36
75,2022-08-18,3347.10
75,2022-08-19,3345.03
75,2022-08-20,3343.16
75,2022-08-21,3341.50
75,2022-08-22,3340.07
75,2022-08-23,3338.87
75,2022-08-24,3337.90
75,2022-08-25,3337.17
75,2022-08-26,3336.68
75,2022-08-27,3336.44
75,2022-08-28,3336.46
75,2022-08-29,3336.73
75,2022-08-30,3337.26
75,2022-08-31,3338.03
75,2022-09-01,3339.04
75,2022-09-02,3340.30
75,2022-09-03,3341.80
75,2022-09-04,3343.53
75,2022-09-05,3345.49
75,2022-09-06,3347.68
75,2022-09-07,3350.08
75,2022-09-08,3352.68
75,2022-09-09,3355.48
75,2022-09-10,3358.45
75,2022-09-11,3361.60
75,2022-09-12,3364.91
75,2022-09-13,3368.37
75,2022-09-14,3371.96
75,2022-09-15,3375.68
75,2022-09-16,3379.51
75,2022-09-17,3383.43
75,2022-09-18,3387.44
75,2022-09-19,3391.51
75,2022-09-20,3395.64
75,2022-09-21,3399.82
75,2022-09-22,3404.02
75,2022-09-23,3408.24
75,2022-09-24,3412.47
75,2022-09-25,3416.69
75,2022-09-26,3420.89
75,2022-09-27,3425.05
75,2022-09-28,3429.18
75,2022-09-29,3433.25
75,2022-09-30,3437.26
75,2022-10-01,3441.20
75,2022-10-02,3445.07
75,2022-10-03,3448.85
75,2022-10-04,3452.54
75,2022-10-05,3456.13
75,2022-10-06,3459.61
75,2022-10-07,3462.99
75,2022-10-08,3466.26
75,2022-10-09,3469.41
75,2022-10-10,3472.45
75,2022-10-11,3475.37
75,2022-10-12,3478.18
75,2022-10-13,3480.87
75,2022-10-14,3483.44
75,2022-10-15,3485.91
75,2022-10-16,3488.27
75,2022-10-17,3490.52
75,2022-10-18,3492.68
75,2022-10-19,3494.75
75,2022-10-20,3496.72
75,2022-10-21,3498.61
75,2022-10-22,3500.43
75,2022-10-23,3502.18
75,2022-10-24,3503.87
75,2022-10-25,3505.52
75,2022-10-26,3507.12
75,2022-10-27,3508.69
75,2022-10-28,3510.24
75,2022-10-29,3511.78
75,2022-10-30,3513.32
75,2022-10-31,3514.88
75,2022-11-01,3516.46
75,2022-11-02,3518.07
75,2022-11-03,3519.73
