age,year,dead
70,2018,1022
70,2019,1064
70,2020,1700
70,2021,1307
70,2022,1171
70,2023,1050
70,2024,914
71,2018,1103
71,2019,1038
71,2020,1687
71,2021,1344
71,2022,1167
71,2023,1085
71,2024,935
72,2018,1050
72,2019,1124
72,2020,1862
72,2021,1339
72,2022,1200
72,2023,1073
72,2024,960
73,2018,994
73,2019,1005
73,2020,1933
73,2021,1474
73,2022,1261
73,2023,1135
73,2024,928
74,2018,1004
74,2019,1030
74,2020,1728
74,2021,1476
74,2022,1323
74,2023,1154
74,2024,1067
75,2018,1126
75,2019,1067
75,2020,1715
75,2021,1302
75,2022,1393
75,2023,1236
75,2024,1059
76,2018,1147
76,2019,1196
76,2020,1886
76,2021,1329
76,2022,1258
76,2023,1362
76,2024,1106
77,2018,1145
77,2019,1152
77,2020,1977
77,2021,1437
77,2022,1362
77,2023,1195
77,2024,1177
78,2018,1255
78,2019,1100
78,2020,1865
78,2021,1493
78,2022,1373
78,2023,1212
78,2024,1078
79,2018,1247
79,2019,1240
79,2020,1926
79,2021,1493
79,2022,1420
79,2023,1287
79,2024,1093
80,2018,1265
80,2019,1297
80,2020,2029
80,2021,1420
80,2022,1429
80,2023,1407
80,2024,1107
81,2018,1319
81,2019,1290
81,2020,2004
81,2021,1499
81,2022,1463
81,2023,1364
81,2024,1165
82,2018,1389
82,2019,1311
82,2020,2086
82,2021,1464
82,2022,1461
82,2023,1297
82,2024,1096
83,2018,1385
83,2019,1331
83,2020,2115
83,2021,1542
83,2022,1504
83,2023,1304
83,2024,1150
84,2018,1303
84,2019,1371
84,2020,2148
84,2021,1562
84,2022,1546
84,2023,1361
84,2024,1123
85,2018,1461
85,2019,1365
85,2020,2151
85,2021,1593
85,2022,1553
85,2023,1333
85,2024,1217
86,2018,1449
86,2019,1412
86,2020,2093
86,2021,1595
86,2022,1565
86,2023,1382
86,2024,1178
87,2018,1469
87,2019,1434
87,2020,2087
87,2021,1490
87,2022,1451
87,2023,1419
87,2024,1199
88,2018,1496
88,2019,1468
88,2020,2033
88,2021,1511
88,2022,1395
88,2023,1362
88,2024,1160
89,2018,1526
89,2019,1509
89,2020,2122
89,2021,1523
89,2022,1443
89,2023,1280
89,2024,1113
90,2018,1507
90,2019,1416
90,2020,2055
90,2021,1509
90,2022,1453
90,2023,1218
90,2024,1058
91,2018,1408
91,2019,1359
91,2020,1915
91,2021,1394
91,2022,1420
91,2023,1229
91,2024,1069
92,2018,1318
92,2019,1306
92,2020,1859
92,2021,1292
92,2022,1352
92,2023,1115
92,2024,1019
93,2018,1248
93,2019,1177
93,2020,1666
93,2021,1268
93,2022,1277
93,2023,1117
93,2024,896
94,2018,1162
94,2019,1093
94,2020,1416
94,2021,1155
94,2022,1153
94,2023,1029
94,2024,835
95,2018,973
95,2019,942
95,2020,1270
95,2021,987
95,2022,1028
95,2023,902
95,2024,774
96,2018,806
96,2019,813
96,2020,1150
96,2021,825
96,2022,888
96,2023,767
96,2024,669
97,2018,693
97,2019,607
97,2020,923
97,2021,689
97,2022,718
97,2023,638
97,2024,558
98,2018,466
