age,year,dead
55,2011,541
56,2011,643
57,2011,599
58,2011,673
59,2011,691
60,2011,704
61,2011,775
62,2011,750
63,2011,764
64,2011,838
65,2011,694
66,2011,786
67,2011,802
68,2011,867
69,2011,826
70,2011,873
71,2011,863
72,2011,935
73,2011,937
74,2011,950
75,2011,959
76,2011,1060
77,2011,1056
78,2011,1123
79,2011,1236
80,2011,1308
81,2011,1344
82,2011,1348
83,2011,1511
84,2011,1525
85,2011,1517
86,2011,1593
87,2011,1586
88,2011,1527
89,2011,1507
90,2011,1333
91,2011,1267
92,2011,1130
93,2011,995
94,2011,880
95,2011,749
96,2011,626
97,2011,563
98,2011,424
99,2011,300
100,2011,737
0,2012,546
1,2012,23
2,2012,21
3,2012,18
4,2012,17
5,2012,12
6,2012,11
7,2012,14
11,2012,11
12,2012,12
13,2012,13
14,2012,18
15,2012,14
16,2012,15
17,2012,31
18,2012,52
19,2012,43
20,2012,66
21,2012,66
22,2012,69
23,2012,82
24,2012,84
25,2012,69
26,2012,89
27,2012,94
28,2012,83
29,2012,82
30,2012,95
31,2012,90
32,2012,95
33,2012,103
34,2012,109
35,2012,117
36,2012,101
37,2012,120
38,2012,126
39,2012,135
40,2012,149
41,2012,160
42,2012,163
43,2012,188
44,2012,233
45,2012,269
46,2012,293
47,2012,307
48,2012,347
49,2012,360
50,2012,411
51,2012,424
52,2012,476
53,2012,483
54,2012,537
55,2012,556
56,2012,605
57,2012,556
58,2012,662
59,2012,677
60,2012,671
61,2012,751
62,2012,778
63,2012,796
64,2012,805
65,2012,875
66,2012,799
67,2012,770
68,2012,814
69,2012,857
70,2012,906
71,2012,859
72,2012,938
73,2012,939
74,2012,1006
75,2012,1003
76,2012,1115
77,2012,1079
78,2012,1146
79,2012,1145
80,2012,1188
81,2012,1302
82,2012,1392
83,2012,1367
84,2012,1458
85,2012,1480
86,2012,1510
87,2012,1546
88,2012,1615
89,2012,1475
90,2012,1412
91,2012,1255
92,2012,1142
93,2012,988
94,2012,905
95,2012,773
96,2012,641
97,2012,518
98,2012,401
99,2012,340
100,2012,753
0,2013,490
1,2013,34
2,2013,20
3,2013,20
4,2013,18
5,2013,15
6,2013,10
7,2013,12
9,2013,11
10,2013,10
12,2013,15
13,2013,11
14,2013,13
15,2013,19
16,2013,13
17,2013,28
18,2013,44
19,2013,35
20,2013,37
21,2013,55
22,2013,75
23,2013,82
24,2013,78
25,2013,75
26,2013,103
27,2013,93
28,2013,85
29,2013,79
30,2013,82
31,2013,86
32,2013,96
33,2013,107
34,2013,105
35,2013,115
36,2013,116
37,2013,127
38,2013,123
39,2013,124
40,2013,129
41,2013,142
42,2013,177
43,2013,213
44,2013,222
45,2013,218
46,2013,238
47,2013,303
48,2013,344
49,2013,381
50,2013,400
51,2013,390
52,2013,476
53,2013,491
54,2013,566
55,2013,541
56,2013,591
57,2013,621
58,2013,678
59,2013,656
60,2013,679
61,2013,746
62,2013,792
63,2013,872
64,2013,815
65,2013,869
66,2013,907
67,2013,851
68,2013,827
69,2013,848
70,2013,964
71,2013,957
72,2013,889
73,2013,937
74,2013,1031
75,2013,1062
76,2013,1052
77,2013,1165
78,2013,1194
79,2013,1228
80,2013,1155
81,2013,1259
82,2013,1352
83,2013,1352
84,2013,1516
85,2013,1520
86,2013,1591
87,2013,1602
88,2013,1487
89,2013,1552
90,2013,1472
91,2013,1322
92,2013,1229
93,2013,1122
94,2013,859
95,2013,827
96,2013,650
97,2013,539
98,2013,481
99,2013,354
100,2013,756
0,2014,475
1,2014,27
2,2014,22
3,2014,14
4,2014,14
5,2014,11
6,2014,13
7,2014,11
8,2014,12
9,2014,17
10,2014,12
11,2014,13
12,2014,11
14,2014,21
15,2014,15
16,2014,19
17,2014,23
18,2014,37
19,2014,41
20,2014,57
21,2014,72
22,2014,76
23,2014,60
24,2014,84
25,2014,76
26,2014,71
27,2014,74
28,2014,77
29,2014,90
30,2014,93
31,2014,96
32,2014,94
33,2014,106
34,2014,105
35,2014,109
36,2014,125
37,2014,114
38,2014,120
39,2014,123
40,2014,137
41,2014,163
42,2014,173
43,2014,194
44,2014,203
45,2014,231
46,2014,245
47,2014,276
48,2014,310
49,2014,359
50,2014,400
51,2014,413
52,2014,427
53,2014,466
54,2014,545
55,2014,513
56,2014,601
57,2014,644
58,2014,630
59,2014,718
60,2014,735
61,2014,747
62,2014,795
63,2014,805
64,2014,812
65,2014,890
66,2014,917
67,2014,899
68,2014,829
69,2014,849
70,2014,857
71,2014,935
72,2014,919
73,2014,954
74,2014,963
75,2014,1018
76,2014,1115
77,2014,1105
78,2014,1138
79,2014,1131
80,2014,1154
81,2014,1264
82,2014,1313
83,2014,1369
84,2014,1498
85,2014,1494
86,2014,1504
87,2014,1604
88,2014,1503
89,2014,1437
90,2014,1474
91,2014,1357
92,2014,1299
93,2014,1160
94,2014,944
95,2014,755
96,2014,700
97,2014,518
98,2014,412
99,2014,338
100,2014,810
0,2015,477
1,2015,29
2,2015,24
3,2015,14
4,2015,16
7,2015,12
8,2015,11
11,2015,10
14,2015,11
16,2015,31
17,2015,22
18,2015,39
19,2015,36
20,2015,67
21,2015,66
22,2015,75
23,2015,81
24,2015,82
25,2015,74
26,2015,87
27,2015,95
28,2015,79
29,2015,102
30,2015,103
31,2015,88
32,2015,113
33,2015,113
34,2015,107
35,2015,96
36,2015,126
37,2015,127
38,2015,144
39,2015,137
40,2015,135
41,2015,163
42,2015,155
43,2015,182
44,2015,197
45,2015,237
46,2015,258
47,2015,279
48,2015,300
49,2015,320
50,2015,384
51,2015,420
52,2015,450
53,2015,470
54,2015,521
55,2015,530
56,2015,567
57,2015,614
58,2015,658
59,2015,695
60,2015,657
61,2015,705
62,2015,783
63,2015,735
64,2015,871
65,2015,869
66,2015,878
67,2015,943
68,2015,1007
69,2015,859
70,2015,874
71,2015,985
72,2015,953
73,2015,1001
74,2015,978
75,2015,1083
76,2015,1109
77,2015,1135
78,2015,1181
79,2015,1219
80,2015,1285
81,2015,1205
82,2015,1301
83,2015,1336
84,2015,1400
85,2015,1507
86,2015,1483
87,2015,1549
88,2015,1498
89,2015,1567
90,2015,1602
91,2015,1331
92,2015,1351
93,2015,1142
94,2015,1036
95,2015,872
96,2015,706
97,2015,540
98,2015,426
99,2015,330
100,2015,895
0,2016,436
1,2016,26
2,2016,12
3,2016,12
4,2016,12
9,2016,11
10,2016,14
14,2016,10
15,2016,10
16,2016,25
17,2016,24
18,2016,27
19,2016,43
20,2016,59
21,2016,66
22,2016,69
23,2016,75
24,2016,81
25,2016,99
26,2016,99
27,2016,85
28,2016,87
29,2016,82
30,2016,117
31,2016,104
32,2016,121
33,2016,116
34,2016,144
35,2016,139
36,2016,117
37,2016,137
38,2016,152
39,2016,166
40,2016,150
41,2016,169
42,2016,162
43,2016,202
44,2016,173
45,2016,220
46,2016,233
47,2016,291
48,2016,288
49,2016,311
50,2016,386
51,2016,414
52,2016,483
53,2016,520
54,2016,514
55,2016,567
56,2016,596
57,2016,685
58,2016,638
59,2016,729
60,2016,673
61,2016,747
62,2016,826
63,2016,817
64,2016,851
65,2016,883
66,2016,884
67,2016,885
68,2016,950
69,2016,993
70,2016,934
71,2016,955
72,2016,1017
73,2016,1052
74,2016,1033
75,2016,1040
76,2016,1106
77,2016,1144
78,2016,1183
79,2016,1212
80,2016,1189
81,2016,1231
82,2016,1293
83,2016,1379
84,2016,1328
85,2016,1424
86,2016,1499
87,2016,1505
88,2016,1556
89,2016,1467
90,2016,1486
91,2016,1422
92,2016,1272
93,2016,1166
94,2016,958
95,2016,830
96,2016,738
97,2016,530
98,2016,430
99,2016,339
100,2016,928
0,2017,475
1,2017,28
2,2017,20
3,2017,12
5,2017,13
11,2017,11
12,2017,10
13,2017,16
14,2017,13
15,2017,15
16,2017,13
17,2017,27
18,2017,34
19,2017,37
20,2017,39
21,2017,54
22,2017,66
23,2017,70
24,2017,81
25,2017,75
26,2017,89
27,2017,105
28,2017,127
29,2017,99
30,2017,79
31,2017,122
32,2017,103
33,2017,118
34,2017,129
35,2017,139
36,2017,131
37,2017,117
38,2017,136
39,2017,149
40,2017,157
41,2017,157
42,2017,146
43,2017,159
44,2017,186
45,2017,209
46,2017,228
47,2017,276
48,2017,286
49,2017,281
50,2017,362
51,2017,373
52,2017,444
53,2017,495
54,2017,521
55,2017,574
56,2017,543
57,2017,599
58,2017,651
59,2017,676
60,2017,768
61,2017,761
62,2017,791
63,2017,788
64,2017,853
65,2017,848
66,2017,893
67,2017,889
68,2017,934
69,2017,990
70,2017,1114
71,2017,945
72,2017,958
73,2017,1043
74,2017,1102
75,2017,1006
76,2017,1034
77,2017,1163
78,2017,1197
79,2017,1255
80,2017,1313
81,2017,1222
82,2017,1346
83,2017,1354
84,2017,1369
85,2017,1332
86,2017,1496
87,2017,1538
88,2017,1436
89,2017,1509
90,2017,1449
91,2017,1451
92,2017,1350
93,2017,1189
94,2017,1063
95,2017,962
96,2017,758
97,2017,604
98,2017,437
99,2017,351
100,2017,837
