age,type,year,month,dead
all,mcd,2007,01,517
all,mcd,2007,02,489
all,mcd,2007,03,478
all,mcd,2007,04,480
all,mcd,2007,05,463
all,mcd,2007,06,471
all,mcd,2007,07,477
all,mcd,2007,08,477
all,mcd,2007,09,465
all,mcd,2007,10,481
all,mcd,2007,11,478
all,mcd,2007,12,509
all,mcd,2008,01,521
all,mcd,2008,02,536
all,mcd,2008,03,547
all,mcd,2008,04,490
all,mcd,2008,05,534
all,mcd,2008,06,472
all,mcd,2008,07,473
all,mcd,2008,08,459
all,mcd,2008,09,453
all,mcd,2008,10,514
all,mcd,2008,11,482
all,mcd,2008,12,520
all,mcd,2009,01,572
all,mcd,2009,02,491
all,mcd,2009,03,540
all,mcd,2009,04,452
all,mcd,2009,05,520
all,mcd,2009,06,493
all,mcd,2009,07,521
all,mcd,2009,08,495
all,mcd,2009,09,509
all,mcd,2009,10,513
all,mcd,2009,11,494
all,mcd,2009,12,524
all,mcd,2010,01,587
all,mcd,2010,02,508
all,mcd,2010,03,554
all,mcd,2010,04,492
all,mcd,2010,05,504
all,mcd,2010,06,487
all,mcd,2010,07,566
all,mcd,2010,08,497
all,mcd,2010,09,499
all,mcd,2010,10,563
all,mcd,2010,11,558
all,mcd,2010,12,562
all,mcd,2011,01,582
all,mcd,2011,02,515
all,mcd,2011,03,603
all,mcd,2011,04,578
all,mcd,2011,05,541
all,mcd,2011,06,562
all,mcd,2011,07,522
all,mcd,2011,08,540
all,mcd,2011,09,520
all,mcd,2011,10,502
all,mcd,2011,11,524
all,mcd,2011,12,585
all,mcd,2012,01,550
all,mcd,2012,02,570
all,mcd,2012,03,601
all,mcd,2012,04,536
all,mcd,2012,05,545
all,mcd,2012,06,510
all,mcd,2012,07,562
all,mcd,2012,08,574
all,mcd,2012,09,580
all,mcd,2012,10,599
all,mcd,2012,11,579
all,mcd,2012,12,599
all,mcd,2013,01,670
all,mcd,2013,02,618
all,mcd,2013,03,608
all,mcd,2013,04,585
all,mcd,2013,05,526
all,mcd,2013,06,574
all,mcd,2013,07,530
all,mcd,2013,08,546
all,mcd,2013,09,487
all,mcd,2013,10,562
all,mcd,2013,11,571
all,mcd,2013,12,605
all,mcd,2014,01,616
all,mcd,2014,02,551
all,mcd,2014,03,621
all,mcd,2014,04,529
all,mcd,2014,05,577
all,mcd,2014,06,533
all,mcd,2014,07,535
all,mcd,2014,08,516
all,mcd,2014,09,546
all,mcd,2014,10,569
all,mcd,2014,11,532
all,mcd,2014,12,527
all,mcd,2015,01,670
all,mcd,2015,02,539
all,mcd,2015,03,587
all,mcd,2015,04,590
all,mcd,2015,05,516
all,mcd,2015,06,540
all,mcd,2015,07,573
all,mcd,2015,08,587
all,mcd,2015,09,527
all,mcd,2015,10,593
all,mcd,2015,11,600
all,mcd,2015,12,633
all,mcd,2016,01,644
all,mcd,2016,02,606
all,mcd,2016,03,657
all,mcd,2016,04,615
all,mcd,2016,05,624
all,mcd,2016,06,561
all,mcd,2016,07,632
all,mcd,2016,08,624
all,mcd,2016,09,582
all,mcd,2016,10,638
all,mcd,2016,11,619
all,mcd,2016,12,662
all,mcd,2017,01,722
all,mcd,2017,02,646
all,mcd,2017,03,779
all,mcd,2017,04,665
all,mcd,2017,05,635
all,mcd,2017,06,620
all,mcd,2017,07,649
all,mcd,2017,08,695
all,mcd,2017,09,622
all,mcd,2017,10,672
all,mcd,2017,11,673
all,mcd,2017,12,738
all,mcd,2018,01,771
all,mcd,2018,02,712
all,mcd,2018,03,767
all,mcd,2018,04,663
all,mcd,2018,05,673
all,mcd,2018,06,644
all,mcd,2018,07,671
all,mcd,2018,08,686
all,mcd,2018,09,687
all,mcd,2018,10,724
all,mcd,2018,11,771
all,mcd,2018,12,751
all,mcd,2019,01,766
all,mcd,2019,02,690
all,mcd,2019,03,758
all,mcd,2019,04,708
all,mcd,2019,05,738
all,mcd,2019,06,664
all,mcd,2019,07,688
all,mcd,2019,08,728
all,mcd,2019,09,687
all,mcd,2019,10,659
all,mcd,2019,11,754
all,mcd,2019,12,811
all,mcd,2020,01,792
all,mcd,2020,02,744
all,mcd,2020,03,801
all,mcd,2020,04,862
all,mcd,2020,05,830
all,mcd,2020,06,791
all,mcd,2020,07,918
all,mcd,2020,08,842
all,mcd,2020,09,861
all,mcd,2020,10,907
all,mcd,2020,11,967
all,mcd,2020,12,1177
all,mcd,2021,01,1339
all,mcd,2021,02,1072
all,mcd,2021,03,1040
all,mcd,2021,04,910
all,mcd,2021,05,962
all,mcd,2021,06,886
all,mcd,2021,07,932
all,mcd,2021,08,1097
all,mcd,2021,09,1224
all,mcd,2021,10,1144
all,mcd,2021,11,1067
all,mcd,2021,12,1129
all,mcd,2022,01,1387
all,mcd,2022,02,1210
all,mcd,2022,03,1003
all,mcd,2022,04,924
all,mcd,2022,05,972
all,mcd,2022,06,973
all,mcd,2022,07,912
all,mcd,2022,08,979
all,mcd,2022,09,1020
all,mcd,2022,10,957
all,mcd,2022,11,962
all,mcd,2022,12,1043
all,mcd,2023,01,1081
all,mcd,2023,02,899
all,mcd,2023,03,1026
all,mcd,2023,04,998
all,mcd,2023,05,942
all,mcd,2023,06,940
all,mcd,2023,07,959
all,mcd,2023,08,936
all,mcd,2023,09,915
all,mcd,2023,10,983
all,mcd,2023,11,999
all,mcd,2023,12,1066
all,mcd,2024,01,1124
all,mcd,2024,02,975
all,mcd,2024,03,1038
all,mcd,2024,04,952
all,mcd,2024,05,961
all,mcd,2024,06,987
all,mcd,2024,07,964
all,mcd,2024,08,987
all,mcd,2024,09,906
all,mcd,2024,10,1019
all,mcd,2024,11,981
all,mcd,2024,12,893
all,mcd,2025,01,75
all,and,2020,03,12
all,and,2020,04,118
all,and,2020,05,110
