type,year,week,dead
all,2023,21,1044
all,2023,22,1061
all,2023,23,1083
all,2023,24,1074
all,2023,25,995
all,2023,26,1030
all,2023,27,1167
all,2023,28,1053
all,2023,29,1022
all,2023,30,1047
all,2023,31,1072
all,2023,32,1064
all,2023,33,1096
all,2023,34,1056
all,2023,35,1036
all,2023,36,1027
all,2023,37,1059
all,2023,38,1063
all,2023,39,1092
all,2023,40,1116
all,2023,41,1103
all,2023,42,1013
all,2023,43,1066
all,2023,44,1089
all,2023,45,1102
all,2023,46,1084
all,2023,47,1187
all,2023,48,1151
all,2023,49,1122
all,2023,50,1174
all,2023,51,1188
all,2023,52,1264
all,2024,01,1223
all,2024,02,1175
all,2024,03,1153
all,2024,04,1113
all,2024,05,1113
all,2024,06,1123
all,2024,07,1047
all,2024,08,1068
