year,week,age,dead
2021,49,65,348
2021,49,70,466
2021,49,75,571
2021,49,80,499
2021,49,85,523
2021,49,90,449
2021,50,0,6
2021,50,5,0
2021,50,10,0
2021,50,15,2
2021,50,20,1
2021,50,25,10
2021,50,30,11
2021,50,35,15
2021,50,40,37
2021,50,45,49
2021,50,50,63
2021,50,55,127
2021,50,60,186
2021,50,65,303
2021,50,70,490
2021,50,75,481
2021,50,80,464
2021,50,85,452
2021,50,90,435
2021,51,0,8
2021,51,5,0
2021,51,10,0
2021,51,15,1
2021,51,20,5
2021,51,25,4
2021,51,30,10
2021,51,35,15
2021,51,40,33
2021,51,45,51
2021,51,50,66
2021,51,55,118
2021,51,60,180
2021,51,65,275
2021,51,70,450
2021,51,75,458
2021,51,80,440
2021,51,85,385
2021,51,90,438
2021,52,0,5
2021,52,5,2
2021,52,10,4
2021,52,15,4
2021,52,20,4
2021,52,25,3
2021,52,30,11
2021,52,35,19
2021,52,40,35
2021,52,45,47
2021,52,50,74
2021,52,55,123
2021,52,60,152
2021,52,65,281
2021,52,70,398
2021,52,75,462
2021,52,80,407
2021,52,85,364
2021,52,90,374
2022,1,0,4
2022,1,5,0
2022,1,10,0
2022,1,15,4
2022,1,20,5
2022,1,25,5
2022,1,30,13
2022,1,35,19
2022,1,40,25
2022,1,45,43
2022,1,50,54
2022,1,55,104
2022,1,60,157
2022,1,65,254
2022,1,70,358
2022,1,75,400
2022,1,80,396
2022,1,85,365
2022,1,90,347
2022,2,0,8
2022,2,5,0
2022,2,10,2
2022,2,15,3
2022,2,20,6
2022,2,25,5
2022,2,30,8
2022,2,35,13
2022,2,40,18
2022,2,45,46
2022,2,50,77
2022,2,55,90
2022,2,60,162
2022,2,65,247
2022,2,70,356
2022,2,75,414
2022,2,80,373
2022,2,85,362
2022,2,90,363
2022,3,0,2
2022,3,5,0
2022,3,10,0
2022,3,15,4
2022,3,20,3
2022,3,25,4
2022,3,30,6
2022,3,35,12
2022,3,40,22
2022,3,45,39
2022,3,50,52
2022,3,55,82
2022,3,60,115
2022,3,65,239
2022,3,70,336
2022,3,75,381
2022,3,80,386
2022,3,85,347
