cause,year,month,dead
drug,2004,08,17
drug,2004,09,21
drug,2004,10,27
drug,2004,11,20
drug,2004,12,20
drug,2005,01,22
drug,2005,02,29
drug,2005,03,22
drug,2005,04,19
drug,2005,05,24
drug,2005,06,15
drug,2005,07,25
drug,2005,08,24
drug,2005,09,19
drug,2005,10,23
drug,2005,11,14
drug,2005,12,22
drug,2006,01,26
drug,2006,02,27
drug,2006,03,18
drug,2006,04,25
drug,2006,05,28
drug,2006,06,27
drug,2006,07,25
drug,2006,08,24
drug,2006,09,25
drug,2006,10,27
drug,2006,11,24
drug,2006,12,17
drug,2007,01,24
drug,2007,02,13
drug,2007,03,31
drug,2007,04,27
drug,2007,05,21
drug,2007,06,21
drug,2007,07,24
drug,2007,08,17
drug,2007,09,22
drug,2007,10,33
drug,2007,11,15
drug,2007,12,25
drug,2008,01,21
drug,2008,02,24
drug,2008,03,12
drug,2008,04,21
drug,2008,05,28
drug,2008,06,17
drug,2008,07,26
drug,2008,08,19
drug,2008,09,14
drug,2008,10,26
drug,2008,11,22
drug,2008,12,28
drug,2009,01,26
drug,2009,02,16
drug,2009,03,16
drug,2009,04,22
drug,2009,05,27
drug,2009,06,19
drug,2009,07,31
drug,2009,08,20
drug,2009,09,19
drug,2009,10,20
drug,2009,11,22
drug,2009,12,19
drug,2010,01,15
drug,2010,02,16
drug,2010,03,25
drug,2010,04,20
drug,2010,05,24
drug,2010,06,19
drug,2010,07,25
drug,2010,08,21
drug,2010,09,21
drug,2010,10,23
drug,2010,11,18
drug,2010,12,31
drug,2011,01,26
drug,2011,02,18
drug,2011,03,20
drug,2011,04,20
drug,2011,05,16
drug,2011,06,15
drug,2011,07,17
drug,2011,08,28
drug,2011,09,21
drug,2011,10,22
drug,2011,11,24
drug,2011,12,17
drug,2012,01,13
drug,2012,02,26
drug,2012,03,28
drug,2012,04,16
drug,2012,05,25
drug,2012,06,25
drug,2012,07,21
drug,2012,08,28
drug,2012,09,28
drug,2012,10,24
drug,2012,11,20
drug,2012,12,18
drug,2013,01,22
drug,2013,02,25
drug,2013,03,28
drug,2013,04,20
drug,2013,05,25
drug,2013,06,21
drug,2013,07,21
drug,2013,08,36
drug,2013,09,25
drug,2013,10,18
drug,2013,11,23
drug,2013,12,30
drug,2014,01,21
drug,2014,02,25
drug,2014,03,22
drug,2014,04,29
drug,2014,05,35
drug,2014,06,26
drug,2014,07,26
drug,2014,08,30
drug,2014,09,17
drug,2014,10,30
drug,2014,11,27
drug,2014,12,27
drug,2015,01,26
drug,2015,02,22
drug,2015,03,25
drug,2015,04,21
drug,2015,05,30
drug,2015,06,27
drug,2015,07,20
drug,2015,08,25
drug,2015,09,27
drug,2015,10,30
drug,2015,11,23
drug,2015,12,26
drug,2016,01,30
drug,2016,02,19
drug,2016,03,32
drug,2016,04,30
drug,2016,05,33
drug,2016,06,42
drug,2016,07,38
drug,2016,08,24
drug,2016,09,13
drug,2016,10,15
drug,2016,11,18
drug,2016,12,31
drug,2017,01,32
drug,2017,02,30
drug,2017,03,35
drug,2017,04,30
drug,2017,05,41
drug,2017,06,19
drug,2017,07,33
drug,2017,08,36
drug,2017,09,26
drug,2017,10,20
drug,2017,11,23
drug,2017,12,28
