group,date,age,dead
top17,2020-01,10,17
top17,2020-01,15,22
top17,2020-01,20,26
top17,2020-01,25,59
top17,2020-01,30,71
top17,2020-01,35,158
top17,2020-01,40,231
top17,2020-01,45,452
top17,2020-01,50,751
top17,2020-01,55,1543
top17,2020-01,60,2291
top17,2020-01,65,2855
top17,2020-01,70,3413
top17,2020-01,75,3293
top17,2020-01,80,2932
top17,2020-01,85,2470
top17,2020-01,90,1608
top17,2020-01,95,602
top17,2020-01,100,91
top17,2020-02,1,17
top17,2020-02,5,13
top17,2020-02,10,20
top17,2020-02,15,16
top17,2020-02,20,34
top17,2020-02,25,53
top17,2020-02,30,94
top17,2020-02,35,148
top17,2020-02,40,225
top17,2020-02,45,408
top17,2020-02,50,732
top17,2020-02,55,1322
top17,2020-02,60,2167
top17,2020-02,65,2718
top17,2020-02,70,3155
top17,2020-02,75,3113
top17,2020-02,80,2713
top17,2020-02,85,2295
top17,2020-02,90,1470
top17,2020-02,95,475
top17,2020-02,100,64
top17,2020-03,5,15
top17,2020-03,10,12
top17,2020-03,15,20
top17,2020-03,20,22
top17,2020-03,25,43
top17,2020-03,30,83
top17,2020-03,35,159
top17,2020-03,40,238
top17,2020-03,45,397
top17,2020-03,50,779
top17,2020-03,55,1480
top17,2020-03,60,2351
top17,2020-03,65,2826
top17,2020-03,70,3382
top17,2020-03,75,3251
top17,2020-03,80,2925
top17,2020-03,85,2465
top17,2020-03,90,1596
top17,2020-03,95,534
top17,2020-03,100,79
top17,2020-04,1,13
top17,2020-04,5,18
top17,2020-04,10,13
top17,2020-04,15,18
top17,2020-04,20,28
top17,2020-04,25,49
top17,2020-04,30,73
top17,2020-04,35,133
top17,2020-04,40,234
top17,2020-04,45,430
top17,2020-04,50,794
top17,2020-04,55,1477
top17,2020-04,60,2242
top17,2020-04,65,2923
top17,2020-04,70,3444
top17,2020-04,75,3262
top17,2020-04,80,2892
top17,2020-04,85,2592
top17,2020-04,90,1599
top17,2020-04,95,558
top17,2020-04,100,91
top17,2020-05,1,13
top17,2020-05,5,22
top17,2020-05,10,14
top17,2020-05,15,16
top17,2020-05,20,29
top17,2020-05,25,36
top17,2020-05,30,93
top17,2020-05,35,135
top17,2020-05,40,233
top17,2020-05,45,389
top17,2020-05,50,750
top17,2020-05,55,1353
top17,2020-05,60,2297
top17,2020-05,65,2802
top17,2020-05,70,3132
top17,2020-05,75,3155
top17,2020-05,80,2823
top17,2020-05,85,2339
top17,2020-05,90,1480
top17,2020-05,95,512
top17,2020-05,100,87
top17,2020-06,1,15
top17,2020-06,5,13
top17,2020-06,10,14
top17,2020-06,15,12
top17,2020-06,20,25
top17,2020-06,25,43
top17,2020-06,30,77
top17,2020-06,35,144
top17,2020-06,40,227
top17,2020-06,45,365
top17,2020-06,50,775
top17,2020-06,55,1346
top17,2020-06,60,2154
top17,2020-06,65,2714
top17,2020-06,70,3057
top17,2020-06,75,3028
top17,2020-06,80,2626
top17,2020-06,85,2259
top17,2020-06,90,1287
top17,2020-06,95,460
top17,2020-06,100,60
top17,2020-07,1,10
top17,2020-07,5,16
top17,2020-07,10,18
top17,2020-07,15,21
top17,2020-07,20,23
top17,2020-07,25,47
top17,2020-07,30,80
top17,2020-07,35,148
top17,2020-07,40,232
top17,2020-07,45,404
top17,2020-07,50,755
top17,2020-07,55,1464
top17,2020-07,60,2237
top17,2020-07,65,2723
top17,2020-07,70,3318
top17,2020-07,75,3234
top17,2020-07,80,2818
top17,2020-07,85,2326
top17,2020-07,90,1435
top17,2020-07,95,509
top17,2020-07,100,71
top17,2020-08,5,12
top17,2020-08,15,14
top17,2020-08,20,24
top17,2020-08,25,42
top17,2020-08,30,79
top17,2020-08,35,140
top17,2020-08,40,222
top17,2020-08,45,378
top17,2020-08,50,741
top17,2020-08,55,1451
top17,2020-08,60,2265
top17,2020-08,65,2724
top17,2020-08,70,3454
top17,2020-08,75,3248
top17,2020-08,80,2812
top17,2020-08,85,2321
top17,2020-08,90,1478
top17,2020-08,95,537
top17,2020-08,100,87
top17,2020-09,1,11
top17,2020-09,5,10
top17,2020-09,10,20
top17,2020-09,15,21
top17,2020-09,20,29
top17,2020-09,25,43
top17,2020-09,30,84
top17,2020-09,35,110
top17,2020-09,40,219
top17,2020-09,45,385
top17,2020-09,50,763
top17,2020-09,55,1360
top17,2020-09,60,2212
top17,2020-09,65,2689
top17,2020-09,70,3245
top17,2020-09,75,3146
top17,2020-09,80,2803
top17,2020-09,85,2339
top17,2020-09,90,1428
top17,2020-09,95,503
top17,2020-09,100,89
top17,2020-10,5,10
top17,2020-10,10,15
top17,2020-10,15,19
top17,2020-10,20,18
top17,2020-10,25,45
top17,2020-10,30,75
top17,2020-10,35,144
top17,2020-10,40,238
top17,2020-10,45,449
top17,2020-10,50,729
top17,2020-10,55,1484
top17,2020-10,60,2327
top17,2020-10,65,2954
top17,2020-10,70,3375
top17,2020-10,75,3222
top17,2020-10,80,2910
top17,2020-10,85,2344
top17,2020-10,90,1557
top17,2020-10,95,520
top17,2020-10,100,72
top17,2020-11,1,15
top17,2020-11,5,17
top17,2020-11,15,18
top17,2020-11,20,28
top17,2020-11,25,31
top17,2020-11,30,91
top17,2020-11,35,133
top17,2020-11,40,261
top17,2020-11,45,370
top17,2020-11,50,738
top17,2020-11,55,1429
top17,2020-11,60,2195
top17,2020-11,65,2749
top17,2020-11,70,3317
top17,2020-11,75,3202
top17,2020-11,80,2909
