cause,date,dead
X44,2008-02,1106
X44,2008-03,1029
X44,2008-04,1015
X44,2008-05,1045
X44,2008-06,921
X44,2008-07,933
X44,2008-08,960
X44,2008-09,946
X44,2008-10,1022
X44,2008-11,989
X44,2008-12,1070
X44,2009-01,1110
X44,2009-02,1005
X44,2009-03,1143
X44,2009-04,1015
X44,2009-05,1076
X44,2009-06,1002
X44,2009-07,1055
X44,2009-08,1118
X44,2009-09,1077
X44,2009-10,1081
X44,2009-11,1095
X44,2009-12,1121
X44,2010-01,1202
X44,2010-02,1105
X44,2010-03,1231
X44,2010-04,1138
X44,2010-05,1167
X44,2010-06,1055
X44,2010-07,1067
X44,2010-08,1061
X44,2010-09,1089
X44,2010-10,1160
X44,2010-11,1089
X44,2010-12,1202
X44,2011-01,1292
X44,2011-02,1327
X44,2011-03,1374
X44,2011-04,1307
X44,2011-05,1353
X44,2011-06,1171
X44,2011-07,1282
X44,2011-08,1212
X44,2011-09,1239
X44,2011-10,1291
X44,2011-11,1263
X44,2011-12,1284
X44,2012-01,1245
X44,2012-02,1232
X44,2012-03,1273
X44,2012-04,1144
X44,2012-05,1118
X44,2012-06,1207
X44,2012-07,1153
X44,2012-08,1164
X44,2012-09,1148
X44,2012-10,1193
X44,2012-11,1084
X44,2012-12,1201
X44,2013-01,1266
X44,2013-02,1176
X44,2013-03,1302
X44,2013-04,1231
X44,2013-05,1228
X44,2013-06,1130
X44,2013-07,1134
X44,2013-08,1209
X44,2013-09,1162
X44,2013-10,1107
X44,2013-11,1171
X44,2013-12,1181
X44,2014-01,1271
X44,2014-02,1367
X44,2014-03,1339
X44,2014-04,1280
X44,2014-05,1256
X44,2014-06,1187
X44,2014-07,1254
X44,2014-08,1234
X44,2014-09,1209
X44,2014-10,1292
X44,2014-11,1278
X44,2014-12,1323
X44,2015-01,1353
X44,2015-02,1333
X44,2015-03,1449
X44,2015-04,1393
X44,2015-05,1385
X44,2015-06,1347
X44,2015-07,1341
