type,date,dead
mcd_cancer_and_ucd_covid,2024-03-30,46
mcd_cancer_and_ucd_covid,2024-04-06,40
mcd_cancer_and_ucd_covid,2024-04-13,24
mcd_cancer_and_ucd_covid,2024-04-20,25
mcd_cancer_and_ucd_covid,2024-04-27,22
mcd_cancer_and_ucd_covid,2024-05-04,23
mcd_cancer_and_ucd_covid,2024-05-11,24
mcd_cancer_and_ucd_covid,2024-05-18,19
mcd_cancer_and_ucd_covid,2024-05-25,12
mcd_cancer_and_ucd_covid,2024-06-01,26
mcd_cancer_and_ucd_covid,2024-06-08,23
mcd_cancer_and_ucd_covid,2024-06-15,29
mcd_cancer_and_ucd_covid,2024-06-22,23
mcd_cancer_and_ucd_covid,2024-06-29,33
mcd_cancer_and_ucd_covid,2024-07-06,38
mcd_cancer_and_ucd_covid,2024-07-13,45
mcd_cancer_and_ucd_covid,2024-07-20,43
mcd_cancer_and_ucd_covid,2024-07-27,68
mcd_cancer_and_ucd_covid,2024-08-03,62
mcd_cancer_and_ucd_covid,2024-08-10,79
mcd_cancer_and_ucd_covid,2024-08-17,71
mcd_cancer_and_ucd_covid,2024-08-24,73
mcd_cancer_and_ucd_covid,2024-08-31,76
mcd_cancer_and_ucd_covid,2024-09-07,88
mcd_cancer_and_ucd_covid,2024-09-14,87
mcd_cancer_and_ucd_covid,2024-09-21,65
mcd_cancer_and_ucd_covid,2024-09-28,64
mcd_cancer_and_ucd_covid,2024-10-05,54
mcd_cancer_and_ucd_covid,2024-10-12,64
mcd_cancer_and_ucd_covid,2024-10-19,44
mcd_cancer_and_ucd_covid,2024-10-26,45
mcd_cancer_and_ucd_covid,2024-11-02,43
mcd_cancer_and_ucd_covid,2024-11-09,44
mcd_cancer_and_ucd_covid,2024-11-16,34
mcd_cancer_and_ucd_covid,2024-11-23,36
mcd_cancer_and_ucd_covid,2024-11-30,31
mcd_cancer_and_ucd_covid,2024-12-07,21
mcd_cancer_and_ucd_covid,2024-12-14,42
mcd_cancer_and_ucd_covid,2024-12-21,24
mcd_cancer_and_ucd_covid,2024-12-28,45
mcd_cancer_and_ucd_covid,2025-01-04,52
mcd_cancer_and_ucd_covid,2025-01-11,58
mcd_cancer_and_ucd_covid,2025-01-18,62
mcd_cancer_and_ucd_covid,2025-01-25,49
mcd_cancer_and_ucd_covid,2025-02-01,25
ucd_covid,2020-03-07,33
ucd_covid,2020-03-14,55
ucd_covid,2020-03-21,548
ucd_covid,2020-03-28,3019
ucd_covid,2020-04-04,9602
ucd_covid,2020-04-11,15460
ucd_covid,2020-04-18,16271
ucd_covid,2020-04-25,14620
ucd_covid,2020-05-02,12406
ucd_covid,2020-05-09,10436
ucd_covid,2020-05-16,8481
ucd_covid,2020-05-23,6573
ucd_covid,2020-05-30,5576
ucd_covid,2020-06-06,4502
ucd_covid,2020-06-13,3722
ucd_covid,2020-06-20,3336
ucd_covid,2020-06-27,3318
ucd_covid,2020-07-04,4028
ucd_covid,2020-07-11,5221
ucd_covid,2020-07-18,6501
ucd_covid,2020-07-25,7498
ucd_covid,2020-08-01,7588
ucd_covid,2020-08-08,7159
ucd_covid,2020-08-15,6538
ucd_covid,2020-08-22,5730
ucd_covid,2020-08-29,5132
ucd_covid,2020-09-05,4418
