date,year,week,dead
2023-11-11,2023,45,118
2023-11-18,2023,46,120
2023-11-25,2023,47,112
2023-12-02,2023,48,120
2023-12-09,2023,49,121
2023-12-16,2023,50,140
2023-12-23,2023,51,138
2023-12-30,2023,52,133
2024-01-06,2024,1,120
2024-01-13,2024,2,115
2024-01-20,2024,3,120
2024-01-27,2024,4,137
2024-02-03,2024,5,154
2024-02-10,2024,6,133
2024-02-17,2024,7,118
2024-02-24,2024,8,111
2024-03-02,2024,9,128
2024-03-09,2024,10,108
2024-03-16,2024,11,110
2024-03-23,2024,12,127
2024-03-30,2024,13,116
2024-04-06,2024,14,103
2024-04-13,2024,15,112
2024-04-20,2024,16,101
2024-04-27,2024,17,108
2024-05-04,2024,18,94
2024-05-11,2024,19,100
2024-05-18,2024,20,103
2024-05-25,2024,21,118
2024-06-01,2024,22,101
2024-06-08,2024,23,86
2024-06-15,2024,24,99
2024-06-22,2024,25,100
2024-06-29,2024,26,102
2024-07-06,2024,27,103
2024-07-13,2024,28,92
2024-07-20,2024,29,95
2024-07-27,2024,30,110
2024-08-03,2024,31,118
2024-08-10,2024,32,106
2024-08-17,2024,33,104
2024-08-24,2024,34,93
2024-08-31,2024,35,87
2024-09-07,2024,36,101
2024-09-14,2024,37,91
2024-09-21,2024,38,90
2024-09-28,2024,39,91
2024-10-05,2024,40,93
2024-10-12,2024,41,82
2024-10-19,2024,42,101
2024-10-26,2024,43,88
2024-11-02,2024,44,84
2024-11-09,2024,45,90
2024-11-16,2024,46,87
2024-11-23,2024,47,78
2024-11-30,2024,48,77
2024-12-07,2024,49,60
2024-12-14,2024,50,51
2024-12-21,2024,51,34
