year,q,age,pop
1993,2,57,28350
1993,2,58,28330
1993,2,59,28040
1993,2,60,28440
1993,2,61,29070
1993,2,62,29480
1993,2,63,28830
1993,2,64,28570
1993,2,65,27890
1993,2,66,27520
1993,2,67,26850
1993,2,68,25850
1993,2,69,24660
1993,2,70,24200
1993,2,71,23270
1993,2,72,22930
1993,2,73,19030
1993,2,74,17910
1993,2,75,17380
1993,2,76,17160
1993,2,77,15710
1993,2,78,15360
1993,2,79,13910
1993,2,80,12760
1993,2,81,11020
1993,2,82,9930
1993,2,83,8830
1993,2,84,7780
1993,2,85,6430
1993,2,86,5640
1993,2,87,4650
1993,2,88,3810
1993,2,89,3120
1993,2,90,2460
1993,2,91,2000
1993,2,92,1530
1993,2,93,1070
1993,2,94,850
1993,2,95,1920
1993,3,0,58330
1993,3,1,59940
1993,3,2,60450
1993,3,3,58880
1993,3,4,57360
1993,3,5,55980
1993,3,6,53520
1993,3,7,53200
1993,3,8,52450
1993,3,9,51810
1993,3,10,51360
1993,3,11,51840
1993,3,12,52770
1993,3,13,52390
1993,3,14,51550
1993,3,15,51600
1993,3,16,53880
1993,3,17,54300
1993,3,18,56460
1993,3,19,58310
1993,3,20,59660
1993,3,21,60610
1993,3,22,59190
1993,3,23,57510
1993,3,24,56270
1993,3,25,54570
1993,3,26,53940
1993,3,27,54000
1993,3,28,55670
1993,3,29,58620
1993,3,30,60060
1993,3,31,60500
1993,3,32,59530
1993,3,33,58040
1993,3,34,57030
1993,3,35,55060
1993,3,36,54520
1993,3,37,53190
1993,3,38,52050
1993,3,39,50850
1993,3,40,49960
1993,3,41,49200
1993,3,42,49100
1993,3,43,48940
1993,3,44,49130
1993,3,45,49260
1993,3,46,47540
1993,3,47,41860
1993,3,48,39330
1993,3,49,37110
1993,3,50,36130
1993,3,51,38210
1993,3,52,37500
1993,3,53,34520
1993,3,54,32270
1993,3,55,30960
1993,3,56,30070
1993,3,57,28620
1993,3,58,28250
1993,3,59,27980
1993,3,60,28330
1993,3,61,28710
1993,3,62,29500
1993,3,63,28880
1993,3,64,28510
1993,3,65,27960
1993,3,66,27530
1993,3,67,26820
1993,3,68,26090
1993,3,69,24710
1993,3,70,24070
1993,3,71,23470
1993,3,72,22810
1993,3,73,20010
1993,3,74,17800
1993,3,75,17200
1993,3,76,17190
1993,3,77,15740
1993,3,78,15320
1993,3,79,14050
1993,3,80,12840
1993,3,81,11240
1993,3,82,9970
1993,3,83,8850
1993,3,84,7890
1993,3,85,6520
1993,3,86,5670
1993,3,87,4720
1993,3,88,3840
1993,3,89,3170
1993,3,90,2490
1993,3,91,2000
1993,3,92,1580
1993,3,93,1100
1993,3,94,850
1993,3,95,1960
1993,4,0,58290
1993,4,1,59530
1993,4,2,60630
1993,4,3,59390
1993,4,4,57670
1993,4,5,56640
1993,4,6,53910
1993,4,7,53400
1993,4,8,52700
1993,4,9,52040
1993,4,10,51490
1993,4,11,51630
1993,4,12,52900
1993,4,13,52470
1993,4,14,52000
1993,4,15,51340
1993,4,16,53600
1993,4,17,54130
1993,4,18,55930
1993,4,19,57970
1993,4,20,59160
1993,4,21,60320
1993,4,22,59590
1993,4,23,57510
1993,4,24,56640
1993,4,25,54900
1993,4,26,54140
1993,4,27,53940
1993,4,28,55240
1993,4,29,58120
1993,4,30,60000
1993,4,31,60610
1993,4,32,59950
1993,4,33,58430
1993,4,34,57540
1993,4,35,55510
1993,4,36,54700
1993,4,37,53720
1993,4,38,52290
1993,4,39,51410
1993,4,40,50040
1993,4,41,49530
1993,4,42,49070
1993,4,43,49120
1993,4,44,49010
1993,4,45,49260
1993,4,46,48800
1993,4,47,42700
1993,4,48,40040
1993,4,49,37790
1993,4,50,35650
1993,4,51,38070
1993,4,52,37820
1993,4,53,35270
1993,4,54,32660
1993,4,55,31210
1993,4,56,30240
1993,4,57,29010
1993,4,58,28100
1993,4,59,28030
1993,4,60,28160
1993,4,61,28430
1993,4,62,29400
1993,4,63,28950
1993,4,64,28450
1993,4,65,28050
1993,4,66,27480
1993,4,67,26870
1993,4,68,26220
1993,4,69,24820
1993,4,70,23990
1993,4,71,23620
1993,4,72,22570
1993,4,73,21120
1993,4,74,17670
1993,4,75,17140
1993,4,76,17080
1993,4,77,15910
1993,4,78,15170
1993,4,79,14200
1993,4,80,12890
1993,4,81,11490
1993,4,82,9990
1993,4,83,8900
1993,4,84,7950
1993,4,85,6670
1993,4,86,5670
1993,4,87,4810
1993,4,88,3880
1993,4,89,3220
1993,4,90,2530
1993,4,91,2000
1993,4,92,1620
1993,4,93,1130
1993,4,94,840
1993,4,95,1980
1994,1,0,58310
1994,1,1,59030
1994,1,2,60710
1994,1,3,59890
1994,1,4,58100
1994,1,5,57080
1994,1,6,54590
1994,1,7,53530
1994,1,8,52970
1994,1,9,52280
1994,1,10,51630
1994,1,11,51610
1994,1,12,52780
1994,1,13,52640
1994,1,14,52420
1994,1,15,51350
1994,1,16,53100
1994,1,17,54200
1994,1,18,55340
1994,1,19,57580
1994,1,20,58740
1994,1,21,59950
1994,1,22,59790
1994,1,23,57620
1994,1,24,56900
1994,1,25,55370
1994,1,26,54300
1994,1,27,53990
1994,1,28,54940
1994,1,29,57560
1994,1,30,59860
1994,1,31,60720
1994,1,32,60320
1994,1,33,58930
1994,1,34,57930
1994,1,35,56040
1994,1,36,54910
1994,1,37,54200
1994,1,38,52630
1994,1,39,51870
1994,1,40,50220
1994,1,41,49870
1994,1,42,49070
1994,1,43,49280
1994,1,44,48930
1994,1,45,49360
1994,1,46,49350
1994,1,47,44050
1994,1,48,40780
1994,1,49,38340
1994,1,50,35670
1994,1,51,37630
1994,1,52,37990
1994,1,53,36090
1994,1,54,33090
1994,1,55,31490
1994,1,56,30400
1994,1,57,29390
1994,1,58,28050
1994,1,59,28110
1994,1,60,27950
1994,1,61,28290
1994,1,62,29120
1994,1,63,29050
1994,1,64,28420
1994,1,65,28150
1994,1,66,27380
1994,1,67,26950
1994,1,68,26290
1994,1,69,25000
1994,1,70,23990
1994,1,71,23640
1994,1,72,22480
1994,1,73,21890
1994,1,74,17800
1994,1,75,17150
1994,1,76,16860
1994,1,77,16150
1994,1,78,14980
1994,1,79,14380
1994,1,80,12910
1994,1,81,11720
1994,1,82,10050
1994,1,83,8990
1994,1,84,7950
1994,1,85,6830
1994,1,86,5650
1994,1,87,4880
1994,1,88,3950
1994,1,89,3260
1994,1,90,2580
1994,1,91,2020
1994,1,92,1630
1994,1,93,1170
1994,1,94,840
1994,1,95,2010
1994,2,0,58210
1994,2,1,58680
1994,2,2,60570
1994,2,3,60380
1994,2,4,58610
1994,2,5,57400
1994,2,6,55440
1994,2,7,53620
1994,2,8,53240
1994,2,9,52530
1994,2,10,51880
1994,2,11,51640
1994,2,12,52520
1994,2,13,52880
1994,2,14,52730
1994,2,15,51600
1994,2,16,52570
1994,2,17,54270
1994,2,18,54860
1994,2,19,57090
1994,2,20,58420
1994,2,21,59500
1994,2,22,59780
1994,2,23,57920
1994,2,24,57030
1994,2,25,55800
1994,2,26,54510
1994,2,27,54130
1994,2,28,54760
1994,2,29,56980
1994,2,30,59650
1994,2,31,60720
1994,2,32,60690
1994,2,33,59420
1994,2,34,58250
1994,2,35,56720
1994,2,36,55170
1994,2,37,54570
1994,2,38,53090
1994,2,39,52180
1994,2,40,50630
1994,2,41,50100
1994,2,42,49220
1994,2,43,49330
1994,2,44,49010
1994,2,45,49400
1994,2,46,49470
1994,2,47,45810
1994,2,48,41380
1994,2,49,38780
1994,2,50,36280
1994,2,51,36840
1994,2,52,38080
1994,2,53,36860
1994,2,54,33630
1994,2,55,31790
1994,2,56,30580
1994,2,57,29670
1994,2,58,28160
1994,2,59,28130
1994,2,60,27790
1994,2,61,28200
1994,2,62,28760
1994,2,63,29130
1994,2,64,28460
1994,2,65,28130
1994,2,66,27390
1994,2,67,26980
1994,2,68,26290
1994,2,69,25260
1994,2,70,24020
1994,2,71,23550
1994,2,72,22590
1994,2,73,22180
1994,2,74,18320
1994,2,75,17160
1994,2,76,16620
1994,2,77,16350
1994,2,78,14860
1994,2,79,14490
1994,2,80,12980
1994,2,81,11880
1994,2,82,10210
1994,2,83,9060
1994,2,84,7980
1994,2,85,6960
1994,2,86,5680
1994,2,87,4940
1994,2,88,4030
1994,2,89,3280
1994,2,90,2630
1994,2,91,2040
1994,2,92,1630
1994,2,93,1230
1994,2,94,850
1994,2,95,2030
1994,3,0,57960
1994,3,1,58560
1994,3,2,60250
1994,3,3,60750
1994,3,4,59200
1994,3,5,57680
1994,3,6,56280
1994,3,7,53810
1994,3,8,53520
1994,3,9,52780
1994,3,10,52170
1994,3,11,51750
1994,3,12,52220
1994,3,13,53170
1994,3,14,52860
1994,3,15,52050
1994,3,16,52140
1994,3,17,54260
1994,3,18,54500
1994,3,19,56590
1994,3,20,58130
1994,3,21,58990
1994,3,22,59590
1994,3,23,58370
1994,3,24,57050
1994,3,25,56160
1994,3,26,54780
1994,3,27,54370
1994,3,28,54600
1994,3,29,56480
1994,3,30,59400
1994,3,31,60670
1994,3,32,60950
1994,3,33,59950
1994,3,34,58510
1994,3,35,57480
1994,3,36,55470
1994,3,37,54890
1994,3,38,53590
1994,3,39,52450
1994,3,40,51210
1994,3,41,50250
1994,3,42,49470
1994,3,43,49360
1994,3,44,49190
1994,3,45,49370
1994,3,46,49420
1994,3,47,47620
1994,3,48,41900
1994,3,49,39340
1994,3,50,37080
1994,3,51,36060
1994,3,52,38080
1994,3,53,37380
1994,3,54,34360
1994,3,55,32100
1994,3,56,30800
1994,3,57,29890
1994,3,58,28420
1994,3,59,28050
1994,3,60,27730
1994,3,61,28080
1994,3,62,28410
1994,3,63,29150
1994,3,64,28500
1994,3,65,28060
1994,3,66,27460
1994,3,67,26990
1994,3,68,26270
1994,3,69,25520
1994,3,70,24080
1994,3,71,23430
1994,3,72,22800
1994,3,73,22070
1994,3,74,19280
1994,3,75,17060
1994,3,76,16450
1994,3,77,16400
1994,3,78,14900
1994,3,79,14450
1994,3,80,13110
1994,3,81,11970
1994,3,82,10420
1994,3,83,9120
1994,3,84,8000
1994,3,85,7070
1994,3,86,5750
1994,3,87,4970
1994,3,88,4100
1994,3,89,3300
1994,3,90,2680
1994,3,91,2060
1994,3,92,1630
1994,3,93,1270
1994,3,94,870
1994,3,95,2040
1994,4,0,57700
1994,4,1,58540
1994,4,2,59880
1994,4,3,60970
1994,4,4,59760
1994,4,5,58030
1994,4,6,56980
1994,4,7,54240
1994,4,8,53760
1994,4,9,53070
1994,4,10,52430
1994,4,11,51910
1994,4,12,52040
1994,4,13,53340
1994,4,14,52970
1994,4,15,52540
1994,4,16,51920
1994,4,17,54020
1994,4,18,54350
1994,4,19,56100
1994,4,20,57820
1994,4,21,58490
1994,4,22,59300
1994,4,23,58750
1994,4,24,57020
1994,4,25,56490
1994,4,26,55110
1994,4,27,54600
1994,4,28,54570
1994,4,29,56080
1994,4,30,58970
1994,4,31,60690
1994,4,32,61110
1994,4,33,60420
1994,4,34,58940
1994,4,35,58040
1994,4,36,55960
1994,4,37,55110
1994,4,38,54140
1994,4,39,52740
1994,4,40,51820
1994,4,41,50390
1994,4,42,49840
1994,4,43,49370
1994,4,44,49410
1994,4,45,49290
1994,4,46,49440
1994,4,47,48890
1994,4,48,42770
1994,4,49,40060
1994,4,50,37790
1994,4,51,35590
1994,4,52,37940
1994,4,53,37700
1994,4,54,35120
1994,4,55,32500
1994,4,56,31050
1994,4,57,30050
1994,4,58,28810
1994,4,59,27910
1994,4,60,27790
1994,4,61,27900
1994,4,62,28150
1994,4,63,29060
1994,4,64,28570
1994,4,65,28000
1994,4,66,27550
1994,4,67,26940
1994,4,68,26320
1994,4,69,25660
1994,4,70,24210
1994,4,71,23350
1994,4,72,22930
1994,4,73,21840
1994,4,74,20350
1994,4,75,16940
1994,4,76,16400
1994,4,77,16300
1994,4,78,15080
1994,4,79,14310
1994,4,80,13260
1994,4,81,12020
1994,4,82,10650
1994,4,83,9150
1994,4,84,8060
1994,4,85,7130
1994,4,86,5870
1994,4,87,4960
1994,4,88,4170
1994,4,89,3340
1994,4,90,2720
1994,4,91,2090
1994,4,92,1620
1994,4,93,1310
1994,4,94,890
1994,4,95,2050
1995,1,0,57560
1995,1,1,58580
1995,1,2,59410
1995,1,3,61070
1995,1,4,60310
1995,1,5,58510
1995,1,6,57460
1995,1,7,54960
1995,1,8,53920
1995,1,9,53380
1995,1,10,52700
1995,1,11,52080
1995,1,12,52060
1995,1,13,53260
1995,1,14,53170
1995,1,15,52990
1995,1,16,51960
1995,1,17,53550
1995,1,18,54450
1995,1,19,55550
1995,1,20,57490
1995,1,21,58090
1995,1,22,58930
1995,1,23,58920
1995,1,24,57090
1995,1,25,56680
1995,1,26,55530
1995,1,27,54790
1995,1,28,54660
1995,1,29,55810
1995,1,30,58480
1995,1,31,60640
1995,1,32,61270
1995,1,33,60820
1995,1,34,59480
1995,1,35,58490
1995,1,36,56550
1995,1,37,55370
1995,1,38,54660
1995,1,39,53120
1995,1,40,52340
1995,1,41,50620
1995,1,42,50230
1995,1,43,49420
1995,1,44,49610
1995,1,45,49240
1995,1,46,49560
1995,1,47,49480
1995,1,48,44140
1995,1,49,40810
1995,1,50,38340
1995,1,51,35620
1995,1,52,37500
1995,1,53,37850
1995,1,54,35950
1995,1,55,32930
1995,1,56,31330
1995,1,57,30210
1995,1,58,29190
1995,1,59,27860
1995,1,60,27870
1995,1,61,27690
1995,1,62,28010
1995,1,63,28790
1995,1,64,28660
1995,1,65,27960
1995,1,66,27650
1995,1,67,26840
1995,1,68,26400
1995,1,69,25730
1995,1,70,24380
1995,1,71,23370
1995,1,72,22930
1995,1,73,21750
1995,1,74,21100
1995,1,75,17070
1995,1,76,16420
1995,1,77,16080
1995,1,78,15330
1995,1,79,14130
1995,1,80,13430
1995,1,81,12030
1995,1,82,10850
1995,1,83,9220
1995,1,84,8150
1995,1,85,7140
1995,1,86,6030
1995,1,87,4950
1995,1,88,4220
1995,1,89,3390
1995,1,90,2740
1995,1,91,2120
1995,1,92,1630
1995,1,93,1310
1995,1,94,930
1995,1,95,2060
1995,2,0,57600
1995,2,1,58500
1995,2,2,59070
1995,2,3,60970
1995,2,4,60850
1995,2,5,59090
1995,2,6,57820
1995,2,7,55870
1995,2,8,54050
1995,2,9,53690
1995,2,10,52960
1995,2,11,52360
1995,2,12,52130
1995,2,13,53040
1995,2,14,53440
1995,2,15,53310
1995,2,16,52250
1995,2,17,53070
1995,2,18,54560
1995,2,19,55090
1995,2,20,57060
1995,2,21,57790
1995,2,22,58470
1995,2,23,58870
1995,2,24,57320
1995,2,25,56740
1995,2,26,55920
1995,2,27,55000
1995,2,28,54860
1995,2,29,55670
1995,2,30,57980
1995,2,31,60520
1995,2,32,61350
1995,2,33,61240
1995,2,34,60010
1995,2,35,58860
1995,2,36,57270
1995,2,37,55680
1995,2,38,55060
1995,2,39,53620
1995,2,40,52700
1995,2,41,51080
1995,2,42,50500
1995,2,43,49600
1995,2,44,49690
1995,2,45,49350
1995,2,46,49610
1995,2,47,49630
1995,2,48,45930
1995,2,49,41420
1995,2,50,38790
1995,2,51,36240
1995,2,52,36720
1995,2,53,37950
1995,2,54,36720
1995,2,55,33470
1995,2,56,31630
1995,2,57,30390
1995,2,58,29490
1995,2,59,27970
1995,2,60,27880
1995,2,61,27540
1995,2,62,27920
1995,2,63,28430
1995,2,64,28740
1995,2,65,27990
1995,2,66,27630
1995,2,67,26850
1995,2,68,26440
1995,2,69,25730
1995,2,70,24630
1995,2,71,23400
1995,2,72,22820
1995,2,73,21860
1995,2,74,21390
1995,2,75,17590
1995,2,76,16430
1995,2,77,15840
1995,2,78,15530
1995,2,79,14020
1995,2,80,13540
1995,2,81,12080
1995,2,82,10980
1995,2,83,9360
1995,2,84,8220
1995,2,85,7170
1995,2,86,6150
1995,2,87,4970
1995,2,88,4250
1995,2,89,3460
1995,2,90,2760
1995,2,91,2150
1995,2,92,1650
1995,2,93,1310
1995,2,94,960
1995,2,95,2080
1995,3,0,57720
1995,3,1,58270
1995,3,2,58980
1995,3,3,60700
1995,3,4,61270
1995,3,5,59730
1995,3,6,58160
1995,3,7,56770
1995,3,8,54300
1995,3,9,54000
1995,3,10,53250
1995,3,11,52670
1995,3,12,52280
1995,3,13,52770
1995,3,14,53750
1995,3,15,53470
1995,3,16,52730
1995,3,17,52680
1995,3,18,54570
1995,3,19,54760
1995,3,20,56620
1995,3,21,57530
1995,3,22,57950
1995,3,23,58640
1995,3,24,57710
1995,3,25,56710
1995,3,26,56260
1995,3,27,55270
1995,3,28,55160
1995,3,29,55580
1995,3,30,57580
1995,3,31,60330
1995,3,32,61400
1995,3,33,61570
1995,3,34,60600
1995,3,35,59200
1995,3,36,58070
1995,3,37,56020
1995,3,38,55440
1995,3,39,54140
1995,3,40,53020
1995,3,41,51690
1995,3,42,50690
1995,3,43,49880
1995,3,44,49740
1995,3,45,49560
1995,3,46,49590
1995,3,47,49600
1995,3,48,47760
1995,3,49,41950
1995,3,50,39350
1995,3,51,37050
1995,3,52,35950
1995,3,53,37960
