cause,date,dead
MCD and COVID,2020-11,944
MCD and COVID,2020-12,1869
MCD and COVID,2021-01,2746
MCD and COVID,2021-02,1515
MCD and COVID,2021-03,815
MCD and COVID,2021-04,709
MCD and COVID,2021-05,659
MCD and COVID,2021-06,359
MCD and COVID,2021-07,491
MCD and COVID,2021-08,2359
MCD and COVID,2021-09,3460
MCD and COVID,2021-10,2224
MCD and COVID,2021-11,1449
MCD and COVID,2021-12,1851
MCD and COVID,2022-01,3299
MCD and COVID,2022-02,1908
MCD and COVID,2022-03,563
MCD and COVID,2022-04,159
MCD and COVID,2022-05,128
MCD and COVID,2022-06,176
MCD and COVID,2022-07,295
MCD and COVID,2022-08,269
MCD and COVID,2022-09,208
MCD and COVID,2022-10,159
MCD and COVID,2022-11,156
MCD and COVID,2022-12,244
MCD and COVID,2023-01,244
MCD and COVID,2023-02,140
MCD and COVID,2023-03,102
MCD and COVID,2023-04,81
MCD and COVID,2023-05,67
MCD and COVID,2023-06,41
MCD and COVID,2023-07,39
MCD and COVID,2023-08,61
MCD and COVID,2023-09,97
MCD and COVID,2023-10,86
MCD and COVID,2023-11,85
MCD and COVID,2023-12,111
MCD and COVID,2024-01,157
MCD and COVID,2024-02,85
MCD and COVID,2024-03,46
MCD and COVID,2024-04,37
MCD and COVID,2024-05,24
MCD and COVID,2024-06,24
MCD and COVID,2024-07,39
MCD and COVID,2024-08,77
MCD and COVID,2024-09,56
MCD and COVID,2024-10,11
UCD,1999-01,515
UCD,1999-02,454
UCD,1999-03,505
UCD,1999-04,482
UCD,1999-05,437
UCD,1999-06,430
UCD,1999-07,436
UCD,1999-08,431
UCD,1999-09,434
UCD,1999-10,469
UCD,1999-11,474
UCD,1999-12,520
UCD,2000-01,642
UCD,2000-02,516
UCD,2000-03,484
UCD,2000-04,448
UCD,2000-05,471
UCD,2000-06,482
UCD,2000-07,494
UCD,2000-08,443
UCD,2000-09,492
UCD,2000-10,474
UCD,2000-11,515
UCD,2000-12,563
UCD,2001-01,610
UCD,2001-02,515
UCD,2001-03,530
UCD,2001-04,488
UCD,2001-05,519
UCD,2001-06,492
UCD,2001-07,520
UCD,2001-08,521
UCD,2001-09,506
UCD,2001-10,577
UCD,2001-11,536
UCD,2001-12,544
UCD,2002-01,625
UCD,2002-02,571
UCD,2002-03,576
UCD,2002-04,531
UCD,2002-05,519
UCD,2002-06,517
UCD,2002-07,517
UCD,2002-08,480
UCD,2002-09,550
UCD,2002-10,569
UCD,2002-11,552
UCD,2002-12,651
UCD,2003-01,627
UCD,2003-02,591
UCD,2003-03,583
UCD,2003-04,575
UCD,2003-05,579
UCD,2003-06,579
UCD,2003-07,589
UCD,2003-08,558
UCD,2003-09,572
UCD,2003-10,622
UCD,2003-11,598
UCD,2003-12,724
UCD,2004-01,699
UCD,2004-02,614
UCD,2004-03,624
UCD,2004-04,579
UCD,2004-05,615
UCD,2004-06,602
UCD,2004-07,551
UCD,2004-08,587
UCD,2004-09,584
UCD,2004-10,670
UCD,2004-11,586
UCD,2004-12,662
UCD,2005-01,642
UCD,2005-02,657
UCD,2005-03,641
UCD,2005-04,616
UCD,2005-05,608
UCD,2005-06,599
UCD,2005-07,573
UCD,2005-08,614
UCD,2005-09,566
UCD,2005-10,626
UCD,2005-11,667
UCD,2005-12,676
UCD,2006-01,696
UCD,2006-02,701
UCD,2006-03,749
UCD,2006-04,585
UCD,2006-05,670
UCD,2006-06,629
UCD,2006-07,657
UCD,2006-08,646
UCD,2006-09,636
UCD,2006-10,625
UCD,2006-11,642
UCD,2006-12,731
UCD,2007-01,727
UCD,2007-02,686
UCD,2007-03,716
UCD,2007-04,672
UCD,2007-05,651
UCD,2007-06,609
UCD,2007-07,645
UCD,2007-08,648
UCD,2007-09,605
UCD,2007-10,644
UCD,2007-11,683
UCD,2007-12,678
UCD,2008-01,723
UCD,2008-02,724
