type,cause,year,month,dead
ucd,D80-D89,2011,8,103
ucd,D80-D89,2011,9,113
ucd,D80-D89,2011,10,142
ucd,D80-D89,2011,11,104
ucd,D80-D89,2011,12,141
ucd,D80-D89,2012,1,125
ucd,D80-D89,2012,2,137
ucd,D80-D89,2012,3,108
ucd,D80-D89,2012,4,137
ucd,D80-D89,2012,5,137
ucd,D80-D89,2012,6,109
ucd,D80-D89,2012,7,126
ucd,D80-D89,2012,8,108
ucd,D80-D89,2012,9,130
ucd,D80-D89,2012,10,140
ucd,D80-D89,2012,11,114
ucd,D80-D89,2012,12,149
ucd,D80-D89,2013,1,163
ucd,D80-D89,2013,2,136
ucd,D80-D89,2013,3,137
ucd,D80-D89,2013,4,135
ucd,D80-D89,2013,5,116
ucd,D80-D89,2013,6,127
ucd,D80-D89,2013,7,103
ucd,D80-D89,2013,8,144
ucd,D80-D89,2013,9,113
ucd,D80-D89,2013,10,112
ucd,D80-D89,2013,11,131
ucd,D80-D89,2013,12,140
ucd,D80-D89,2014,1,152
ucd,D80-D89,2014,2,133
ucd,D80-D89,2014,3,119
ucd,D80-D89,2014,4,117
ucd,D80-D89,2014,5,131
ucd,D80-D89,2014,6,126
ucd,D80-D89,2014,7,113
ucd,D80-D89,2014,8,117
ucd,D80-D89,2014,9,111
ucd,D80-D89,2014,10,150
ucd,D80-D89,2014,11,149
ucd,D80-D89,2014,12,136
ucd,D80-D89,2015,1,153
ucd,D80-D89,2015,2,136
ucd,D80-D89,2015,3,138
ucd,D80-D89,2015,4,121
ucd,D80-D89,2015,5,140
ucd,D80-D89,2015,6,122
ucd,D80-D89,2015,7,116
ucd,D80-D89,2015,8,118
ucd,D80-D89,2015,9,123
ucd,D80-D89,2015,10,147
ucd,D80-D89,2015,11,127
ucd,D80-D89,2015,12,141
ucd,D80-D89,2016,1,153
ucd,D80-D89,2016,2,141
ucd,D80-D89,2016,3,162
ucd,D80-D89,2016,4,151
ucd,D80-D89,2016,5,156
ucd,D80-D89,2016,6,129
ucd,D80-D89,2016,7,115
ucd,D80-D89,2016,8,119
ucd,D80-D89,2016,9,135
ucd,D80-D89,2016,10,135
ucd,D80-D89,2016,11,129
ucd,D80-D89,2016,12,153
ucd,D80-D89,2017,1,153
ucd,D80-D89,2017,2,132
ucd,D80-D89,2017,3,151
ucd,D80-D89,2017,4,129
ucd,D80-D89,2017,5,136
ucd,D80-D89,2017,6,127
ucd,D80-D89,2017,7,128
ucd,D80-D89,2017,8,129
ucd,D80-D89,2017,9,116
ucd,D80-D89,2017,10,128
ucd,D80-D89,2017,11,129
ucd,D80-D89,2017,12,142
ucd,D80-D89,2018,1,180
ucd,D80-D89,2018,2,136
ucd,D80-D89,2018,3,180
ucd,D80-D89,2018,4,128
ucd,D80-D89,2018,5,151
ucd,D80-D89,2018,6,128
ucd,D80-D89,2018,7,110
ucd,D80-D89,2018,8,141
ucd,D80-D89,2018,9,122
ucd,D80-D89,2018,10,120
ucd,D80-D89,2018,11,146
ucd,D80-D89,2018,12,141
ucd,D80-D89,2019,1,157
ucd,D80-D89,2019,2,133
ucd,D80-D89,2019,3,150
ucd,D80-D89,2019,4,138
ucd,D80-D89,2019,5,159
ucd,D80-D89,2019,6,109
ucd,D80-D89,2019,7,137
ucd,D80-D89,2019,8,122
ucd,D80-D89,2019,9,138
ucd,D80-D89,2019,10,132
ucd,D80-D89,2019,11,140
ucd,D80-D89,2019,12,161
ucd,D80-D89,2020,1,165
ucd,D80-D89,2020,2,126
ucd,D80-D89,2020,3,157
ucd,D80-D89,2020,4,146
ucd,D80-D89,2020,5,128
ucd,D80-D89,2020,6,140
ucd,D80-D89,2020,7,150
ucd,D80-D89,2020,8,140
ucd,D80-D89,2020,9,119
ucd,D80-D89,2020,10,148
ucd,D80-D89,2020,11,157
ucd,D80-D89,2020,12,177
ucd,D80-D89,2021,1,147
ucd,D80-D89,2021,2,139
ucd,D80-D89,2021,3,136
ucd,D80-D89,2021,4,134
ucd,D80-D89,2021,5,119
ucd,D80-D89,2021,6,142
ucd,D80-D89,2021,7,137
ucd,D80-D89,2021,8,150
ucd,D80-D89,2021,9,131
ucd,D80-D89,2021,10,154
ucd,D80-D89,2021,11,134
ucd,D80-D89,2021,12,165
ucd,D80-D89,2022,1,159
ucd,D80-D89,2022,2,136
ucd,D80-D89,2022,3,163
ucd,D80-D89,2022,4,149
ucd,D80-D89,2022,5,140
ucd,D80-D89,2022,6,127
ucd,D80-D89,2022,7,108
ucd,D80-D89,2022,8,139
ucd,D80-D89,2022,9,163
ucd,D80-D89,2022,10,165
ucd,D80-D89,2022,11,148
ucd,D80-D89,2022,12,177
ucd,D80-D89,2023,1,166
ucd,D80-D89,2023,2,132
ucd,D80-D89,2023,3,165
ucd,D80-D89,2023,4,145
ucd,D80-D89,2023,5,136
ucd,D80-D89,2023,6,144
ucd,D80-D89,2023,7,156
ucd,D80-D89,2023,8,164
ucd,D80-D89,2023,9,125
ucd,D80-D89,2023,10,156
ucd,D80-D89,2023,11,168
ucd,D80-D89,2023,12,185
ucd,D80-D89,2024,1,167
ucd,D80-D89,2024,2,143
ucd,D80-D89,2024,3,159
ucd,D80-D89,2024,4,166
ucd,D80-D89,2024,5,160
ucd,D80-D89,2024,6,143
ucd,D80-D89,2024,7,133
ucd,D80-D89,2024,8,159
ucd,D80-D89,2024,9,140
ucd,D80-D89,2024,10,156
ucd,D80-D89,2024,11,116
mcd,D80-D89,1999,1,267
mcd,D80-D89,1999,2,241
mcd,D80-D89,1999,3,245
mcd,D80-D89,1999,4,204
mcd,D80-D89,1999,5,196
mcd,D80-D89,1999,6,191
mcd,D80-D89,1999,7,199
mcd,D80-D89,1999,8,184
mcd,D80-D89,1999,9,213
mcd,D80-D89,1999,10,185
mcd,D80-D89,1999,11,205
mcd,D80-D89,1999,12,223
mcd,D80-D89,2000,1,311
mcd,D80-D89,2000,2,198
mcd,D80-D89,2000,3,233
mcd,D80-D89,2000,4,202
mcd,D80-D89,2000,5,239
mcd,D80-D89,2000,6,204
mcd,D80-D89,2000,7,216
mcd,D80-D89,2000,8,213
mcd,D80-D89,2000,9,212
mcd,D80-D89,2000,10,241
mcd,D80-D89,2000,11,227
mcd,D80-D89,2000,12,245
mcd,D80-D89,2001,1,259
mcd,D80-D89,2001,2,234
mcd,D80-D89,2001,3,213
mcd,D80-D89,2001,4,234
mcd,D80-D89,2001,5,256
mcd,D80-D89,2001,6,196
mcd,D80-D89,2001,7,221
mcd,D80-D89,2001,8,218
mcd,D80-D89,2001,9,221
mcd,D80-D89,2001,10,239
mcd,D80-D89,2001,11,251
mcd,D80-D89,2001,12,267
mcd,D80-D89,2002,1,275
mcd,D80-D89,2002,2,271
mcd,D80-D89,2002,3,255
mcd,D80-D89,2002,4,249
mcd,D80-D89,2002,5,247
mcd,D80-D89,2002,6,214
mcd,D80-D89,2002,7,230
mcd,D80-D89,2002,8,217
mcd,D80-D89,2002,9,238
mcd,D80-D89,2002,10,248
mcd,D80-D89,2002,11,229
mcd,D80-D89,2002,12,247
mcd,D80-D89,2003,1,280
mcd,D80-D89,2003,2,210
mcd,D80-D89,2003,3,275
mcd,D80-D89,2003,4,245
mcd,D80-D89,2003,5,241
mcd,D80-D89,2003,6,260
mcd,D80-D89,2003,7,249
mcd,D80-D89,2003,8,225
mcd,D80-D89,2003,9,262
mcd,D80-D89,2003,10,211
mcd,D80-D89,2003,11,250
mcd,D80-D89,2003,12,299
