date,age,dead,pop
2010-06,35,631,9837971
2010-06,40,824,8708627
2010-06,45,1089,8043225
2010-06,50,1769,7714901
2010-06,55,3031,8831634
2010-06,60,5138,9888431
2010-06,65,6195,8370261
2010-06,70,8478,6974366
2010-06,75,12428,5936668
2010-06,80,15794,4338426
2010-06,85,15520,2415982
2010-06,90,11262,1009639
2010-06,95,5680,301715
2010-06,100,1306,45207
2010-07,0,264,5319000
2010-07,5,48,5617763
2010-07,10,39,5935440
2010-07,15,133,6089197
2010-07,20,218,6598983
2010-07,25,311,7418713
2010-07,30,403,8461014
2010-07,35,678,9848451
2010-07,40,869,8732047
2010-07,45,1256,8063140
2010-07,50,1877,7711308
2010-07,55,3246,8803195
2010-07,60,5413,9950104
2010-07,65,6843,8348383
2010-07,70,8988,6986126
2010-07,75,12866,5952329
2010-07,80,16612,4349155
2010-07,85,15999,2425876
2010-07,90,11641,1015176
2010-07,95,5730,300228
2010-07,100,1296,44783
2010-08,0,259,5314035
2010-08,5,43,5610126
2010-08,10,53,5934517
2010-08,15,128,6091019
2010-08,20,243,6567603
2010-08,25,298,7408210
2010-08,30,407,8446796
2010-08,35,582,9856883
2010-08,40,884,8759630
2010-08,45,1154,8079278
2010-08,50,1789,7707193
2010-08,55,3288,8773754
2010-08,60,5584,10014310
2010-08,65,6740,8321392
2010-08,70,8894,6998655
2010-08,75,13158,5968342
2010-08,80,16636,4360002
2010-08,85,16388,2436571
2010-08,90,12032,1020807
2010-08,95,5916,299007
2010-08,100,1357,44404
2010-09,0,249,5309828
2010-09,5,41,5602212
2010-09,10,52,5933540
2010-09,15,109,6092455
2010-09,20,237,6538737
2010-09,25,262,7397049
2010-09,30,384,8430451
2010-09,35,614,9862423
2010-09,40,757,8791094
2010-09,45,1144,8089949
2010-09,50,1661,7702591
2010-09,55,3019,8743805
2010-09,60,5183,10078742
2010-09,65,6490,8289958
2010-09,70,8424,7011397
2010-09,75,12416,5984053
2010-09,80,15997,4370613
2010-09,85,15915,2447880
2010-09,90,11764,1026271
2010-09,95,5774,298211
2010-09,100,1337,44111
2010-10,0,270,5306608
2010-10,5,32,5594238
2010-10,10,42,5932503
2010-10,15,113,6093349
2010-10,20,213,6513692
2010-10,25,278,7385535
2010-10,30,366,8412097
2010-10,35,556,9864609
2010-10,40,831,8825642
2010-10,45,1209,8094192
2010-10,50,1788,7697606
2010-10,55,3150,8713920
2010-10,60,5415,10141056
2010-10,65,6762,8255338
2010-10,70,9057,7023772
2010-10,75,13208,5998847
2010-10,80,17434,4380666
2010-10,85,17158,2459529
2010-10,90,12459,1031327
2010-10,95,6356,297940
2010-10,100,1496,43929
2010-11,0,264,5304173
2010-11,5,52,5585669
2010-11,10,47,5931315
2010-11,15,116,6093711
2010-11,20,224,6490932
2010-11,25,281,7372890
2010-11,30,399,8390400
2010-11,35,622,9863473
2010-11,40,845,8865412
2010-11,45,1218,8092317
2010-11,50,1906,7691937
2010-11,55,3238,8681937
2010-11,60,5743,10204887
2010-11,65,6956,8215771
2010-11,70,9288,7036549
2010-11,75,14021,6013656
2010-11,80,18554,4390855
2010-11,85,18292,2472319
2010-11,90,13519,1036292
2010-11,95,6722,298199
2010-11,100,1617,43855
2010-12,0,298,5302573
2010-12,5,50,5577104
2010-12,10,41,5930051
2010-12,15,112,6093555
2010-12,20,221,6471663
2010-12,25,247,7360009
2010-12,30,404,8367088
2010-12,35,653,9859318
2010-12,40,890,8907070
2010-12,45,1355,8085438
2010-12,50,1904,7686087
2010-12,55,3512,8650042
2010-12,60,6254,10265356
2010-12,65,7410,8174876
2010-12,70,10187,7048962
2010-12,75,15215,6027539
2010-12,80,20124,4400560
2010-12,85,19773,2485333
2010-12,90,14566,1040881
2010-12,95,7219,298913
2010-12,100,1716,43882
2011-01,0,309,5301580
2011-01,5,41,5568023
2011-01,10,43,5928627
2011-01,15,123,6092919
2011-01,20,207,6454306
2011-01,25,287,7346119
2011-01,30,368,8340974
2011-01,35,638,9852120
2011-01,40,940,8952564
2011-01,45,1291,8074186
2011-01,50,2024,7679816
2011-01,55,3406,8616247
2011-01,60,6611,10325681
2011-01,65,7774,8131067
2011-01,70,10498,7061906
2011-01,75,16307,6041444
2011-01,80,21836,4410469
2011-01,85,22008,2499342
2011-01,90,15954,1045442
2011-01,95,7849,300063
2011-01,100,1845,44002
2011-02,0,266,5301138
2011-02,5,42,5558760
2011-02,10,30,5927084
2011-02,15,101,6091845
2011-02,20,178,6439244
2011-02,25,215,7331729
2011-02,30,390,8313174
2011-02,35,604,9842232
2011-02,40,738,8999700
2011-02,45,1179,8059828
2011-02,50,1720,7673466
2011-02,55,3014,8581744
2011-02,60,5591,10382989
2011-02,65,6587,8086840
2011-02,70,9097,7075038
2011-02,75,13828,6054922
2011-02,80,18193,4420295
2011-02,85,18219,2513820
2011-02,90,13261,1049860
2011-02,95,6572,301566
2011-02,100,1606,44202
2011-03,0,335,5301109
2011-03,5,93,5550278
2011-03,10,63,5925585
2011-03,15,147,6090538
2011-03,20,240,6427361
2011-03,25,331,7318375
2011-03,30,412,8286929
2011-03,35,696,9831207
2011-03,40,904,9042975
2011-03,45,1324,8045122
2011-03,50,1913,7667790
2011-03,55,3460,8550092
2011-03,60,6221,10431465
2011-03,65,7309,8047510
2011-03,70,9919,7087117
2011-03,75,15120,6066746
2011-03,80,20026,4429135
2011-03,85,19847,2527216
2011-03,90,14671,1053763
2011-03,95,7278,303170
2011-03,100,1787,44441
2011-04,0,323,5301374
2011-04,5,47,5540811
2011-04,10,59,5923812
2011-04,15,143,6088761
2011-04,20,248,6415833
2011-04,25,289,7303276
2011-04,30,429,8256962
2011-04,35,636,9816923
2011-04,40,932,9090877
2011-04,45,1256,8027945
2011-04,50,1929,7661712
2011-04,55,3004,8514639
2011-04,60,5908,10480730
2011-04,65,6852,8005726
2011-04,70,9290,7100797
2011-04,75,14037,6079471
2011-04,80,18297,4438920
2011-04,85,18412,2542307
2011-04,90,13764,1058025
2011-04,95,6752,305158
2011-04,100,1732,44762
2011-05,0,369,5301815
2011-05,5,119,5531618
2011-05,10,131,5921980
2011-05,15,192,6086754
2011-05,20,303,6406029
2011-05,25,410,7288432
2011-05,30,502,8227394
2011-05,35,828,9801262
2011-05,40,1009,9136444
2011-05,45,1333,8011446
2011-05,50,1988,7656177
2011-05,55,3308,8480051
2011-05,60,6195,10523240
2011-05,65,6795,7968120
2011-05,70,9440,7114404
