date,age,dead,pop
2010-06,70,3979,6990665.98904665
2010-06,75,4873,5941399.31777423
2010-06,80,4843,4347899.07215865
2010-06,85,3533,2399214.72146904
2010-06,90,1739,1016579.80477141
2010-06,95,562,290914.299130842
2010-06,100,62,43490.2467293475
2010-07,0,13,5304554.85615171
2010-07,5,11,5622503.39809151
2010-07,10,9,5936054.91381626
2010-07,15,8,6091964.87920923
2010-07,20,21,6569259.20524076
2010-07,25,35,7428786.43687284
2010-07,30,56,8501842.58584972
2010-07,35,149,9871022.04887986
2010-07,40,254,8613225.38648488
2010-07,45,403,8209793.57548515
2010-07,50,761,7733408.93488742
2010-07,55,1491,8810875.21375966
2010-07,60,2580,9810387.05438375
2010-07,65,3326,8516863.64945422
2010-07,70,3997,6997059.42638031
2010-07,75,5101,5955657.52971004
2010-07,80,5129,4355306.7831074
2010-07,85,3585,2414652.51103191
2010-07,90,1839,1019863.95247509
2010-07,95,565,292960.506509696
2010-07,100,66,43611.0662330828
2010-08,0,8,5306157.17271363
2010-08,5,6,5612728.52810203
2010-08,10,10,5934878.1210843
2010-08,15,14,6092641.36371638
2010-08,20,18,6551144.98168758
2010-08,25,36,7413704.9151825
2010-08,30,66,8469219.71477423
2010-08,35,124,9869449.30659055
2010-08,40,238,8695543.41116847
2010-08,45,383,8158768.65214873
2010-08,50,751,7719102.02511551
2010-08,55,1538,8778322.74736104
2010-08,60,2836,9939748.25902574
2010-08,65,3340,8411692.68036727
2010-08,70,4025,7004652.46698838
2010-08,75,5212,5970233.29375902
2010-08,80,5261,4363290.50271496
2010-08,85,3856,2430424.99982362
2010-08,90,1871,1023393.05743569
2010-08,95,580,295010.987075181
2010-08,100,66,43753.0019538711
2010-09,0,9,5307449.81412492
2010-09,5,14,5603000.38172681
2010-09,10,10,5933653.25380009
2010-09,15,9,6092965.11928686
2010-09,20,18,6533724.81775236
2010-09,25,27,7398708.64639131
2010-09,30,65,8437249.39186535
2010-09,35,145,9866262.34214857
2010-09,40,218,8771870.12382877
2010-09,45,385,8113863.34776656
2010-09,50,678,7706161.2251813
2010-09,55,1436,8745251.84133969
2010-09,60,2674,10056516.8886391
2010-09,65,3317,8316944.57863004
2010-09,70,3916,7013213.79771323
2010-09,75,5049,5984637.0205987
2010-09,80,5123,4371594.03797761
2010-09,85,3721,2446019.39064472
2010-09,90,1866,1027057.05724598
2010-09,95,620,296998.346098246
2010-09,100,74,43911.7152649435
2010-10,0,9,5308417.90136334
2010-10,5,6,5593637.18125434
2010-10,10,11,5932415.65354088
2010-10,15,10,6092959.20369006
2010-10,20,21,6517512.15452207
2010-10,25,31,7384271.58078402
2010-10,30,60,8406920.50136794
2010-10,35,136,9861681.76235608
2010-10,40,209,8840258.63059676
2010-10,45,391,8076001.45131885
2010-10,50,745,7694890.92611781
2010-10,55,1540,8712811.11233726
2010-10,60,2730,10157937.6842585
2010-10,65,3423,8234831.31548605
2010-10,70,4176,7022388.17232295
2010-10,75,5186,5998401.14023723
2010-10,80,5342,4379920.26215014
2010-10,85,3928,2460945.68135339
2010-10,90,1902,1030728.62408093
2010-10,95,583,298863.2678818
2010-10,100,80,44080.7201476426
2010-11,0,8,5309138.36936999
2010-11,5,13,5584021.58253255
2010-11,10,8,5931076.12646196
2010-11,15,11,6092640.3939593
2010-11,20,13,6501410.36127064
2010-11,25,25,7369425.3371314
2010-11,30,60,8376199.56344754
2010-11,35,116,9855444.08019483
2010-11,40,222,8905504.25421535
2010-11,45,397,8042419.26567252
2010-11,50,731,7684490.52308135
2010-11,55,1467,8678896.74216574
2010-11,60,2768,10251194.3604315
2010-11,65,3385,8159521.64662808
2010-11,70,3954,7032753.39962912
2010-11,75,5057,6012431.71985293
2010-11,80,5274,4388809.8292216
2010-11,85,3910,2476203.62633078
2010-11,90,1929,1034649.76252238
2010-11,95,609,300731.910817717
2010-11,100,81,44270.7016778758
2010-12,0,15,5309576.60187511
2010-12,5,7,5574780.52213775
2010-12,10,6,5929714.69256114
2010-12,15,8,6092045.69532949
2010-12,20,18,6486443.15215796
2010-12,25,24,7355122.08023599
2010-12,30,57,8347057.51453465
2010-12,35,126,9847991.82002668
2010-12,40,243,8963623.58939368
2010-12,45,428,8015054.06086235
2010-12,50,698,7675583.86507788
2010-12,55,1446,8645753.13234573
2010-12,60,2796,10330674.6196464
2010-12,65,3379,8095532.5061387
2010-12,70,4155,7043608.38568096
2010-12,75,5290,6025812.51364402
2010-12,80,5593,4397675.4082837
2010-12,85,3874,2490813.31066654
2010-12,90,1893,1038564.84770048
2010-12,95,642,302485.469276612
2010-12,100,81,44468.8459590837
2011-01,0,9,5309774.21017093
2011-01,5,7,5565304.79858972
2011-01,10,8,5928233.90241761
2011-01,15,19,6091152.63263177
2011-01,20,16,6471596.92673244
2011-01,25,25,7340402.34944936
2011-01,30,69,8317539.99756712
2011-01,35,150,9838870.04947501
2011-01,40,238,9018727.34743534
2011-01,45,382,7991841.91919778
2011-01,50,734,7667527.92333437
2011-01,55,1362,8611229.60596808
2011-01,60,2901,10402099.4740239
2011-01,65,3343,8038240.92455433
2011-01,70,3947,7055642.98005286
2011-01,75,5193,6039424.03373231
2011-01,80,5509,4407093.61031816
2011-01,85,4008,2505753.38165028
2011-01,90,1929,1042732.11875329
2011-01,95,648,304242.677428714
2011-01,100,59,44687.7806937409
2011-02,0,6,5309725.00137838
2011-02,5,9,5555910.63188059
2011-02,10,5,5926671.12766832
2011-02,15,13,6089993.91581638
2011-02,20,11,6457364.70880046
2011-02,25,24,7325737.90147082
2011-02,30,70,8288616.44037038
2011-02,35,127,9828346.45206946
2011-02,40,179,9069036.98154657
2011-02,45,363,7973534.5527469
2011-02,50,630,7660588.34066975
2011-02,55,1271,8576486.30231076
2011-02,60,2502,10463073.3455231
2011-02,65,2946,7989561.75635366
2011-02,70,3647,7068474.38550569
2011-02,75,4670,6052804.99415626
2011-02,80,4747,4416758.4666963
2011-02,85,3439,2520539.02740861
2011-02,90,1642,1047020.25575179
2011-02,95,517,305946.045205209
2011-02,100,62,44920.5421681326
2011-03,0,6,5309479.00386968
2011-03,5,15,5547501.54849016
2011-03,10,5,5925183.40668432
2011-03,15,16,6088733.67253755
2011-03,20,17,6445024.06334766
2011-03,25,25,7312535.05940491
2011-03,30,69,8262992.58407627
2011-03,35,149,9817672.16297459
2011-03,40,221,9110559.05601534
2011-03,45,414,7961009.88386253
2011-03,50,693,7655237.77357036
2011-03,55,1496,8544966.68522416
2011-03,60,2863,10509524.6072799
2011-03,65,3191,7952690.90610646
2011-03,70,4139,7080720.01818701
2011-03,75,5271,6064682.98897678
2011-03,80,5365,4425687.68892393
2011-03,85,3901,2533765.06209998
2011-03,90,1912,1050994.93426743
2011-03,95,625,307439.858175865
2011-03,100,84,45142.1653988539
2011-04,0,6,5308995.23262691
2011-04,5,3,5538282.10153567
2011-04,10,12,5923445.61480908
2011-04,15,12,6087118.0980212
2011-04,20,13,6431915.62936126
2011-04,25,30,7297959.05066669
2011-04,30,56,8235166.67028243
2011-04,35,130,9804599.4655286
2011-04,40,237,9152414.54247034
2011-04,45,389,7951357.37630327
2011-04,50,700,7650283.07075824
2011-04,55,1316,8509972.27868204
2011-04,60,2844,10551806.7024176
2011-04,65,3145,7919389.66334005
2011-04,70,3866,7094971.94583828
2011-04,75,5062,6077592.3830486
2011-04,80,5068,4435781.03053901
2011-04,85,3575,2548270.05313105
2011-04,90,1784,1055505.25346106
2011-04,95,596,309045.950900128
2011-04,100,90,45399.5904767398
2011-05,0,7,5308327.13921454
2011-05,5,10,5529457.14614758
2011-05,10,15,5921666.89852665
2011-05,15,18,6085350.28880418
2011-05,20,15,6419769.99559595
2011-05,25,32,7283889.14892516
2011-05,30,57,8208771.20286661
2011-05,35,155,9790732.25954279
2011-05,40,248,9189023.24313697
2011-05,45,388,7946008.35159956
2011-05,50,656,7646411.75768637
2011-05,55,1368,8476064.12149823
2011-05,60,2875,10583969.1482433
2011-05,65,3223,7894352.5783508
2011-05,70,4037,7109427.11818242
2011-05,75,4998,6089833.16578068
2011-05,80,5152,4445742.80397397
2011-05,85,3808,2562173.31732859
2011-05,90,1856,1059977.33078179
2011-05,95,614,310554.149900919
2011-05,100,70,45660.2298313618
2011-06,0,8,5307442.57986363
2011-06,5,21,5520445.22117946
2011-06,10,9,5919721.98959079
2011-06,15,9,6083329.56234512
2011-06,20,20,6407761.66662334
2011-06,25,29,7269381.45054214
2011-06,30,65,8182034.9301998
2011-06,35,123,9775187.94958601
2011-06,40,243,9223061.82701806
2011-06,45,380,7944366.63740128
2011-06,50,739,7643316.49524385
2011-06,55,1330,8441040.5669393
2011-06,60,2819,10608578.435985
2011-06,65,3052,7875553.48537513
2011-06,70,3888,7125015.39721331
2011-06,75,4983,6102209.84855757
2011-06,80,5087,4456222.69983535
2011-06,85,3630,2576406.40730634
2011-06,90,1779,1064706.53817717
2011-06,95,564,312066.83205126
2011-06,100,77,45940.8775034223
2011-07,0,11,5306410.4884565
2011-07,5,9,5511834.31651382
2011-07,10,9,5917729.9648933
2011-07,15,10,6081202.72495819
2011-07,20,20,6396650.26213369
2011-07,25,32,7255366.27868986
2011-07,30,52,8156671.71353484
2011-07,35,151,9759009.48761986
2011-07,40,236,9252560.24622518
2011-07,45,396,7946308.82816591
2011-07,50,729,7641149.83304347
2011-07,55,1360,8407217.57680892
2011-07,60,2801,10624451.1319008
2011-07,65,3263,7863863.47489031
2011-07,70,4003,7140698.71790115
2011-07,75,5006,6113912.88859935
2011-07,80,5237,4466530.78535747
2011-07,85,3976,2590055.52783135
2011-07,90,1880,1069385.11729646
2011-07,95,619,313488.156933738
2011-07,100,77,46222.870167857
2011-08,0,10,5305174.45469125
2011-08,5,7,5503057.24105239
2011-08,10,14,5915551.33562693
2011-08,15,14,6078845.15889069
2011-08,20,17,6385679.23531697
2011-08,25,25,7240903.37838945
2011-08,30,63,8130979.11795944
2011-08,35,158,9741160.19448117
2011-08,40,253,9279721.15099716
2011-08,45,402,7951724.83257453
2011-08,50,741,7639718.07536575
2011-08,55,1416,8372399.18217722
2011-08,60,2900,10633067.7438912
2011-08,65,3184,7858146.18609973
2011-08,70,4067,7157488.81879607
2011-08,75,5208,6125710.94777788
2011-08,80,5290,4477339.83861934
2011-08,85,3942,2604035.28860585
2011-08,90,1968,1074322.20687381
2011-08,95,606,314914.709813488
2011-08,100,85,46524.4254193556
2011-09,0,2,5303778.70128338
2011-09,5,4,5494409.98807447
2011-09,10,12,5913243.7352754
2011-09,15,13,6076342.59139594
2011-09,20,25,6375211.29409591
2011-09,25,24,7226454.23371214
2011-09,30,58,8105799.30084818
2011-09,35,137,9722203.37385684
2011-09,40,247,9303746.78069939
2011-09,45,348,7960362.29930145
2011-09,50,696,7639056.61689195
2011-09,55,1399,8337774.84305495
2011-09,60,2835,10634200.8078785
2011-09,65,3163,7858532.70781179
2011-09,70,3934,7174838.12583334
2011-09,75,5094,6137197.35735438
2011-09,80,5125,4488294.17238167
2011-09,85,3972,2617893.42560578
2011-09,90,1897,1079360.72365402
2011-09,95,603,316300.282496482
2011-09,100,87,46835.7186503497
2011-10,0,9,5302287.58814775
2011-10,5,5,5486172.25503935
2011-10,10,11,5910881.10702912
2011-10,15,14,6073799.83950129
2011-10,20,22,6365544.24304731
2011-10,25,28,7212478.61553313
2011-10,30,51,8081908.79055135
2011-10,35,104,9702844.38817717
2011-10,40,259,9324242.42643282
2011-10,45,400,7971554.89055497
2011-10,50,741,7639102.46724549
2011-10,55,1368,8304509.36347526
2011-10,60,2976,10628583.0463428
2011-10,65,3322,7864371.96455019
2011-10,70,4213,7192126.09690228
2011-10,75,5264,6148005.58837212
2011-10,80,5542,4499019.59448673
2011-10,85,4082,2631193.21042467
2011-10,90,1938,1084330.45367397
2011-10,95,633,317603.926060092
2011-10,100,75,47145.6656260378
2011-11,0,10,5300604.89253468
2011-11,5,5,5477811.3858144
2011-11,10,8,5908293.30154301
2011-11,15,12,6071080.55722873
2011-11,20,21,6356002.37539486
2011-11,25,26,7198040.33480125
2011-11,30,60,8057703.40342703
2011-11,35,130,9681843.6999934
2011-11,40,242,9342863.68290187
2011-11,45,374,7985758.98833666
2011-11,50,590,7639815.66577813
2011-11,55,1339,8270449.41304582
2011-11,60,2839,10616333.2461052
2011-11,65,3223,7875668.26093225
2011-11,70,4052,7210429.4195923
2011-11,75,4992,6158852.22130282
2011-11,80,5188,4510219.41150094
2011-11,85,3951,2644825.02288786
2011-11,90,1958,1089555.45845507
2011-11,95,582,318914.806780194
2011-11,100,80,47473.9482710785
2011-12,0,5,5298832.95154067
2011-12,5,4,5469892.33175214
2011-12,10,4,5905629.18058427
2011-12,15,9,6068408.04018977
2011-12,20,23,6347155.84170881
2011-12,25,24,7184068.04257024
2011-12,30,62,8034733.85692373
2011-12,35,129,9660614.30761653
2011-12,40,233,9358739.50906775
2011-12,45,392,8001730.24968852
2011-12,50,699,7641115.29833314
2011-12,55,1395,8237859.5303679
2011-12,60,2997,10598785.3687733
2011-12,65,3316,7891296.15379321
2011-12,70,4276,7228452.32681162
2011-12,75,5305,6169041.29793343
2011-12,80,5516,4521162.55853156
2011-12,85,4080,2657912.01216786
2011-12,90,2010,1094687.18017983
2011-12,95,618,320150.941154741
2011-12,100,107,47798.0458706265
2012-01,0,9,5296846.65718175
2012-01,5,6,5461914.33731937
2012-01,10,10,5902691.92607875
2012-01,15,16,6065654.94507558
2012-01,20,12,6338366.58869062
2012-01,25,26,7169627.34828911
2012-01,30,59,8011457.44315677
2012-01,35,135,9637802.10527069
2012-01,40,269,9373276.13437625
2012-01,45,398,8020188.22203558
2012-01,50,723,7643051.86856981
2012-01,55,1333,8204637.46170538
2012-01,60,2889,10575341.1748219
2012-01,65,3195,7911881.68093238
2012-01,70,4142,7247274.12876086
2012-01,75,5237,6179256.47727896
2012-01,80,5415,4532569.84298243
2012-01,85,4056,2671329.33361318
2012-01,90,2043,1100055.52857914
2012-01,95,631,321397.465370246
2012-01,100,83,48138.1431485262
2012-02,0,13,5294695.43545454
2012-02,5,11,5454172.35910229
2012-02,10,11,5899547.79533464
2012-02,15,15,6062962.15290943
2012-02,20,14,6329886.1980618
2012-02,25,27,7155180.99942703
2012-02,30,62,7988635.74298199
2012-02,35,120,9614162.58254052
2012-02,40,239,9386267.27854133
2012-02,45,369,8040281.7058855
2012-02,50,697,7645555.05587695
2012-02,55,1228,8171948.54074644
2012-02,60,2736,10547079.5113374
2012-02,65,3014,7936554.00697429
2012-02,70,3911,7266173.08941398
2012-02,75,4920,6189157.44272522
2012-02,80,5122,4544069.24329402
2012-02,85,3816,2684641.75165391
2012-02,90,1910,1105478.11603491
2012-02,95,625,322615.441726418
2012-02,100,84,48482.0769480482
2012-03,0,13,5292527.34079562
2012-03,5,10,5447168.26953527
2012-03,10,5,5896401.74131137
2012-03,15,10,6060543.9396825
2012-03,20,16,6322188.59882037
2012-03,25,27,7141658.91050918
2012-03,30,72,7967687.68592144
2012-03,35,118,9591354.90057345
2012-03,40,249,9397337.73580561
2012-03,45,361,8060245.29031432
2012-03,50,682,7648376.81827519
2012-03,55,1305,8141915.32372393
2012-03,60,2791,10516800.1492022
2012-03,65,3169,7962955.91891425
2012-03,70,4042,7283811.3792736
2012-03,75,5009,6198139.16920414
2012-03,80,5366,4554902.18914713
2012-03,85,4121,2697002.78197576
2012-03,90,1928,1110588.85375092
2012-03,95,642,323731.476563851
2012-03,100,81,48806.0006693786
2012-04,0,8,5290036.53609517
2012-04,5,5,5439962.43249963
