state,age,year,dead,pop
Arizona,1-4,1999,108,298582
Arizona,1-4,2000,113,304965
Arizona,1-4,2001,147,309343
Arizona,1-4,2002,130,320132
Arizona,1-4,2003,134,329557
Arizona,1-4,2004,111,340915
Arizona,1-4,2005,132,354673
Arizona,1-4,2006,146,365546
Arizona,1-4,2007,115,373503
Arizona,1-4,2008,131,378235
Arizona,1-4,2009,128,376933
Arizona,1-4,2010,124,368158
Arizona,1-4,2011,107,363123
Arizona,1-4,2012,119,353233
Arizona,1-4,2013,131,346858
Arizona,1-4,2014,98,345012
Arizona,1-4,2015,104,342804
Arizona,1-4,2016,120,351617
Arizona,1-4,2017,100,351666
Arizona,5-14,1999,135,744488
Arizona,5-14,2000,161,768080
Arizona,5-14,2001,175,780962
Arizona,5-14,2002,150,791746
Arizona,5-14,2003,158,800543
Arizona,5-14,2004,146,811412
Arizona,5-14,2005,161,827122
Arizona,5-14,2006,138,850239
Arizona,5-14,2007,156,867159
Arizona,5-14,2008,136,882872
Arizona,5-14,2009,144,892961
Arizona,5-14,2010,125,902344
Arizona,5-14,2011,125,905342
Arizona,5-14,2012,129,911968
Arizona,5-14,2013,126,915807
Arizona,5-14,2014,132,918883
Arizona,5-14,2015,97,917797
Arizona,5-14,2016,111,913181
Arizona,5-14,2017,136,917062
Arizona,15-24,1999,640,710747
Arizona,15-24,2000,675,730582
Arizona,15-24,2001,734,760007
Arizona,15-24,2002,785,780581
Arizona,15-24,2003,773,796378
Arizona,15-24,2004,826,814207
Arizona,15-24,2005,870,835280
Arizona,15-24,2006,965,856867
Arizona,15-24,2007,884,876916
Arizona,15-24,2008,761,893419
Arizona,15-24,2009,667,900402
Arizona,15-24,2010,664,904166
Arizona,15-24,2011,687,914093
Arizona,15-24,2012,674,922244
Arizona,15-24,2013,669,935527
Arizona,15-24,2014,640,943741
Arizona,15-24,2015,673,948243
Arizona,15-24,2016,756,951260
Arizona,15-24,2017,739,951609
Arizona,25-34,1999,857,738538
Arizona,25-34,2000,896,742665
Arizona,25-34,2001,913,748567
Arizona,25-34,2002,905,761307
Arizona,25-34,2003,903,771335
Arizona,25-34,2004,887,788430
Arizona,25-34,2005,981,811925
Arizona,25-34,2006,1049,838414
Arizona,25-34,2007,1042,851237
Arizona,25-34,2008,937,858658
Arizona,25-34,2009,1006,859294
Arizona,25-34,2010,1016,856693
Arizona,25-34,2011,976,870723
Arizona,25-34,2012,1078,877831
Arizona,25-34,2013,1100,881828
Arizona,25-34,2014,1076,897745
Arizona,25-34,2015,1181,913645
Arizona,25-34,2016,1322,933128
Arizona,25-34,2017,1357,955894
Arizona,35-44,1999,1682,761436
Arizona,35-44,2000,1692,768804
Arizona,35-44,2001,1768,777891
Arizona,35-44,2002,1799,782077
Arizona,35-44,2003,1813,783198
Arizona,35-44,2004,1717,791660
Arizona,35-44,2005,1726,808093
Arizona,35-44,2006,1795,825809
Arizona,35-44,2007,1672,831523
Arizona,35-44,2008,1521,831711
Arizona,35-44,2009,1582,825788
Arizona,35-44,2010,1427,822494
Arizona,35-44,2011,1502,821696
Arizona,35-44,2012,1491,826174
Arizona,35-44,2013,1605,829775
Arizona,35-44,2014,1594,836593
Arizona,35-44,2015,1638,841613
Arizona,35-44,2016,1608,845220
Arizona,35-44,2017,1772,858680
Arizona,45-54,1999,2660,604767
Arizona,45-54,2000,2783,627904
Arizona,45-54,2001,2864,664404
Arizona,45-54,2002,3160,682453
Arizona,45-54,2003,3232,703231
Arizona,45-54,2004,3217,726370
Arizona,45-54,2005,3496,756024
Arizona,45-54,2006,3503,784538
Arizona,45-54,2007,3455,807802
Arizona,45-54,2008,3484,825478
Arizona,45-54,2009,3503,836017
Arizona,45-54,2010,3479,842546
Arizona,45-54,2011,3463,842402
Arizona,45-54,2012,3438,839039
Arizona,45-54,2013,3477,836217
Arizona,45-54,2014,3424,839503
Arizona,45-54,2015,3490,843768
Arizona,45-54,2016,3640,846897
Arizona,45-54,2017,3464,847764
Arizona,55-64,1999,4121,427747
Arizona,55-64,2000,4071,442372
Arizona,55-64,2001,4178,464349
Arizona,55-64,2002,4434,496951
Arizona,55-64,2003,4583,527386
Arizona,55-64,2004,4811,559670
Arizona,55-64,2005,5190,596994
Arizona,55-64,2006,5369,633263
Arizona,55-64,2007,5423,660397
Arizona,55-64,2008,5637,682249
Arizona,55-64,2009,5654,704828
Arizona,55-64,2010,5962,726228
Arizona,55-64,2011,6166,756230
Arizona,55-64,2012,6463,764833
Arizona,55-64,2013,6590,776850
Arizona,55-64,2014,6703,793914
Arizona,55-64,2015,7039,813701
Arizona,55-64,2016,7315,831142
Arizona,55-64,2017,7215,846253
Arizona,65-74,1999,7831,362714
Arizona,65-74,2000,7799,363841
Arizona,65-74,2001,7509,368912
Arizona,65-74,2002,7595,375319
Arizona,65-74,2003,7483,383311
Arizona,65-74,2004,7516,394895
Arizona,65-74,2005,7851,408816
