type,cause,year,month,dead
ucd,C00-C97,2016,05,49589
ucd,C00-C97,2016,06,47587
ucd,C00-C97,2016,07,49792
ucd,C00-C97,2016,08,50593
ucd,C00-C97,2016,09,48688
ucd,C00-C97,2016,10,50815
ucd,C00-C97,2016,11,49285
ucd,C00-C97,2016,12,51428
ucd,C00-C97,2017,01,52120
ucd,C00-C97,2017,02,46531
ucd,C00-C97,2017,03,50785
ucd,C00-C97,2017,04,49056
ucd,C00-C97,2017,05,49814
ucd,C00-C97,2017,06,48436
ucd,C00-C97,2017,07,50439
ucd,C00-C97,2017,08,50351
ucd,C00-C97,2017,09,48987
ucd,C00-C97,2017,10,51132
ucd,C00-C97,2017,11,49456
ucd,C00-C97,2017,12,52001
ucd,C00-C97,2018,01,52876
ucd,C00-C97,2018,02,46447
ucd,C00-C97,2018,03,50689
ucd,C00-C97,2018,04,48786
ucd,C00-C97,2018,05,49582
ucd,C00-C97,2018,06,48344
ucd,C00-C97,2018,07,49870
ucd,C00-C97,2018,08,50582
ucd,C00-C97,2018,09,49018
ucd,C00-C97,2018,10,51631
ucd,C00-C97,2018,11,49827
ucd,C00-C97,2018,12,51622
ucd,C00-C97,2019,01,52087
ucd,C00-C97,2019,02,46739
ucd,C00-C97,2019,03,51450
ucd,C00-C97,2019,04,48493
ucd,C00-C97,2019,05,50627
ucd,C00-C97,2019,06,48621
ucd,C00-C97,2019,07,50055
ucd,C00-C97,2019,08,50508
ucd,C00-C97,2019,09,48945
ucd,C00-C97,2019,10,51501
ucd,C00-C97,2019,11,49697
ucd,C00-C97,2019,12,50878
ucd,C00-C97,2020,01,52549
ucd,C00-C97,2020,02,48694
ucd,C00-C97,2020,03,51556
ucd,C00-C97,2020,04,48703
ucd,C00-C97,2020,05,48958
ucd,C00-C97,2020,06,47908
ucd,C00-C97,2020,07,50565
ucd,C00-C97,2020,08,51156
ucd,C00-C97,2020,09,49617
ucd,C00-C97,2020,10,51197
ucd,C00-C97,2020,11,49595
ucd,C00-C97,2020,12,51852
ucd,C00-C97,2021,01,51533
ucd,C00-C97,2021,02,46026
ucd,C00-C97,2021,03,50262
ucd,C00-C97,2021,04,49232
ucd,C00-C97,2021,05,50506
ucd,C00-C97,2021,06,49192
ucd,C00-C97,2021,07,51212
ucd,C00-C97,2021,08,52286
ucd,C00-C97,2021,09,50227
ucd,C00-C97,2021,10,52047
ucd,C00-C97,2021,11,50271
ucd,C00-C97,2021,12,52419
ucd,C00-C97,2022,01,53133
ucd,C00-C97,2022,02,46359
ucd,C00-C97,2022,03,50975
ucd,C00-C97,2022,04,48914
ucd,C00-C97,2022,05,50604
ucd,C00-C97,2022,06,49131
ucd,C00-C97,2022,07,51111
ucd,C00-C97,2022,08,51515
ucd,C00-C97,2022,09,50251
ucd,C00-C97,2022,10,52031
ucd,C00-C97,2022,11,51026
ucd,C00-C97,2022,12,53321
ucd,C00-C97,2023,01,52347
ucd,C00-C97,2023,02,47602
ucd,C00-C97,2023,03,51772
ucd,C00-C97,2023,04,49513
ucd,C00-C97,2023,05,51164
ucd,C00-C97,2023,06,49933
ucd,C00-C97,2023,07,51396
ucd,C00-C97,2023,08,52196
ucd,C00-C97,2023,09,50431
ucd,C00-C97,2023,10,52780
ucd,C00-C97,2023,11,50671
ucd,C00-C97,2023,12,53566
ucd,C00-C97,2024,01,53244
ucd,C00-C97,2024,02,49507
ucd,C00-C97,2024,03,52217
ucd,C00-C97,2024,04,50112
ucd,C00-C97,2024,05,51320
ucd,C00-C97,2024,06,49907
ucd,C00-C97,2024,07,51986
ucd,C00-C97,2024,08,52607
ucd,C00-C97,2024,09,50719
ucd,C00-C97,2024,10,51907
ucd,C00-C97,2024,11,42573
mcd,C00-C97,1999,01,53479
mcd,C00-C97,1999,02,49230
mcd,C00-C97,1999,03,53692
mcd,C00-C97,1999,04,49236
mcd,C00-C97,1999,05,50862
mcd,C00-C97,1999,06,48559
mcd,C00-C97,1999,07,50683
mcd,C00-C97,1999,08,50379
mcd,C00-C97,1999,09,49444
mcd,C00-C97,1999,10,52386
mcd,C00-C97,1999,11,50121
mcd,C00-C97,1999,12,53799
mcd,C00-C97,2000,01,55132
mcd,C00-C97,2000,02,48815
mcd,C00-C97,2000,03,51192
mcd,C00-C97,2000,04,49380
mcd,C00-C97,2000,05,50957
mcd,C00-C97,2000,06,49171
mcd,C00-C97,2000,07,50695
mcd,C00-C97,2000,08,51518
mcd,C00-C97,2000,09,50479
mcd,C00-C97,2000,10,52692
mcd,C00-C97,2000,11,51048
mcd,C00-C97,2000,12,52668
mcd,C00-C97,2001,01,53530
mcd,C00-C97,2001,02,47991
mcd,C00-C97,2001,03,52599
mcd,C00-C97,2001,04,50932
mcd,C00-C97,2001,05,51294
mcd,C00-C97,2001,06,49739
mcd,C00-C97,2001,07,50291
mcd,C00-C97,2001,08,51751
mcd,C00-C97,2001,09,50064
mcd,C00-C97,2001,10,52520
mcd,C00-C97,2001,11,50469
mcd,C00-C97,2001,12,52446
mcd,C00-C97,2002,01,53572
mcd,C00-C97,2002,02,49306
mcd,C00-C97,2002,03,53845
mcd,C00-C97,2002,04,49883
mcd,C00-C97,2002,05,51847
mcd,C00-C97,2002,06,48922
mcd,C00-C97,2002,07,51193
mcd,C00-C97,2002,08,51352
mcd,C00-C97,2002,09,50113
mcd,C00-C97,2002,10,52362
mcd,C00-C97,2002,11,51147
mcd,C00-C97,2002,12,53205
mcd,C00-C97,2003,01,53513
mcd,C00-C97,2003,02,47870
mcd,C00-C97,2003,03,52253
mcd,C00-C97,2003,04,50141
mcd,C00-C97,2003,05,51298
mcd,C00-C97,2003,06,49583
mcd,C00-C97,2003,07,50802
mcd,C00-C97,2003,08,51612
mcd,C00-C97,2003,09,49767
mcd,C00-C97,2003,10,52760
mcd,C00-C97,2003,11,50927
mcd,C00-C97,2003,12,54834
mcd,C00-C97,2004,01,54265
mcd,C00-C97,2004,02,49510
mcd,C00-C97,2004,03,52518
mcd,C00-C97,2004,04,49714
mcd,C00-C97,2004,05,50769
mcd,C00-C97,2004,06,49043
mcd,C00-C97,2004,07,50809
mcd,C00-C97,2004,08,50889
mcd,C00-C97,2004,09,49296
mcd,C00-C97,2004,10,51899
mcd,C00-C97,2004,11,49574
mcd,C00-C97,2004,12,52500
mcd,C00-C97,2005,01,53732
mcd,C00-C97,2005,02,49354
mcd,C00-C97,2005,03,53799
mcd,C00-C97,2005,04,50541
mcd,C00-C97,2005,05,51327
mcd,C00-C97,2005,06,49421
mcd,C00-C97,2005,07,50715
mcd,C00-C97,2005,08,51469
mcd,C00-C97,2005,09,50134
mcd,C00-C97,2005,10,51871
mcd,C00-C97,2005,11,50630
mcd,C00-C97,2005,12,53653
mcd,C00-C97,2006,01,53455
mcd,C00-C97,2006,02,48765
mcd,C00-C97,2006,03,53741
mcd,C00-C97,2006,04,49933
mcd,C00-C97,2006,05,51769
mcd,C00-C97,2006,06,49509
mcd,C00-C97,2006,07,51092
mcd,C00-C97,2006,08,51146
mcd,C00-C97,2006,09,50546
mcd,C00-C97,2006,10,52734
mcd,C00-C97,2006,11,51011
mcd,C00-C97,2006,12,52891
mcd,C00-C97,2007,01,53666
mcd,C00-C97,2007,02,49064
mcd,C00-C97,2007,03,52769
mcd,C00-C97,2007,04,50595
mcd,C00-C97,2007,05,51289
mcd,C00-C97,2007,06,49935
mcd,C00-C97,2007,07,51595
mcd,C00-C97,2007,08,51888
mcd,C00-C97,2007,09,50712
mcd,C00-C97,2007,10,52597
mcd,C00-C97,2007,11,51109
mcd,C00-C97,2007,12,53372
mcd,C00-C97,2008,01,53642
mcd,C00-C97,2008,02,51502
mcd,C00-C97,2008,03,53566
mcd,C00-C97,2008,04,50779
mcd,C00-C97,2008,05,51680
mcd,C00-C97,2008,06,49817
mcd,C00-C97,2008,07,51262
mcd,C00-C97,2008,08,51789
mcd,C00-C97,2008,09,50365
mcd,C00-C97,2008,10,52528
mcd,C00-C97,2008,11,51437
mcd,C00-C97,2008,12,53433
mcd,C00-C97,2009,01,53979
mcd,C00-C97,2009,02,48666
mcd,C00-C97,2009,03,53016
mcd,C00-C97,2009,04,50934
mcd,C00-C97,2009,05,51496
mcd,C00-C97,2009,06,50204
mcd,C00-C97,2009,07,51868
mcd,C00-C97,2009,08,52067
mcd,C00-C97,2009,09,50784
mcd,C00-C97,2009,10,53851
mcd,C00-C97,2009,11,51679
mcd,C00-C97,2009,12,53961
mcd,C00-C97,2010,01,54436
mcd,C00-C97,2010,02,49125
mcd,C00-C97,2010,03,53922
mcd,C00-C97,2010,04,51272
mcd,C00-C97,2010,05,52649
mcd,C00-C97,2010,06,50769
mcd,C00-C97,2010,07,52936
mcd,C00-C97,2010,08,53001
mcd,C00-C97,2010,09,51170
mcd,C00-C97,2010,10,53705
mcd,C00-C97,2010,11,52260
mcd,C00-C97,2010,12,55057
mcd,C00-C97,2011,01,55148
mcd,C00-C97,2011,02,49807
mcd,C00-C97,2011,03,54338
mcd,C00-C97,2011,04,51252
mcd,C00-C97,2011,05,52578
mcd,C00-C97,2011,06,50978
mcd,C00-C97,2011,07,52622
mcd,C00-C97,2011,08,53324
mcd,C00-C97,2011,09,51702
mcd,C00-C97,2011,10,53612
mcd,C00-C97,2011,11,51767
mcd,C00-C97,2011,12,54206
mcd,C00-C97,2012,01,54866
mcd,C00-C97,2012,02,51085
mcd,C00-C97,2012,03,54119
mcd,C00-C97,2012,04,51542
mcd,C00-C97,2012,05,53178
mcd,C00-C97,2012,06,51571
mcd,C00-C97,2012,07,52871
mcd,C00-C97,2012,08,53879
mcd,C00-C97,2012,09,52282
mcd,C00-C97,2012,10,54333
mcd,C00-C97,2012,11,52979
mcd,C00-C97,2012,12,55876
mcd,C00-C97,2013,01,57318
mcd,C00-C97,2013,02,50175
mcd,C00-C97,2013,03,54878
mcd,C00-C97,2013,04,52214
mcd,C00-C97,2013,05,53071
mcd,C00-C97,2013,06,51462
mcd,C00-C97,2013,07,53521
mcd,C00-C97,2013,08,53977
mcd,C00-C97,2013,09,51949
mcd,C00-C97,2013,10,54527
mcd,C00-C97,2013,11,52775
mcd,C00-C97,2013,12,54960
mcd,C00-C97,2014,01,56331
mcd,C00-C97,2014,02,50127
mcd,C00-C97,2014,03,55396
mcd,C00-C97,2014,04,52964
mcd,C00-C97,2014,05,54074
mcd,C00-C97,2014,06,52365
mcd,C00-C97,2014,07,53627
mcd,C00-C97,2014,08,53991
mcd,C00-C97,2014,09,52652
mcd,C00-C97,2014,10,55544
mcd,C00-C97,2014,11,54063
mcd,C00-C97,2014,12,56185
mcd,C00-C97,2015,01,57883
mcd,C00-C97,2015,02,51029
mcd,C00-C97,2015,03,56374
mcd,C00-C97,2015,04,53421
mcd,C00-C97,2015,05,54881
mcd,C00-C97,2015,06,52467
mcd,C00-C97,2015,07,54604
mcd,C00-C97,2015,08,54717
mcd,C00-C97,2015,09,53139
mcd,C00-C97,2015,10,55569
mcd,C00-C97,2015,11,53386
mcd,C00-C97,2015,12,55202
mcd,C00-C97,2016,01,57088
mcd,C00-C97,2016,02,53021
mcd,C00-C97,2016,03,56766
mcd,C00-C97,2016,04,53365
mcd,C00-C97,2016,05,54362
mcd,C00-C97,2016,06,52117
mcd,C00-C97,2016,07,54392
mcd,C00-C97,2016,08,55306
mcd,C00-C97,2016,09,53095
mcd,C00-C97,2016,10,55727
mcd,C00-C97,2016,11,54165
mcd,C00-C97,2016,12,56792
mcd,C00-C97,2017,01,57665
mcd,C00-C97,2017,02,51508
mcd,C00-C97,2017,03,56214
mcd,C00-C97,2017,04,54016
mcd,C00-C97,2017,05,54904
mcd,C00-C97,2017,06,53134
mcd,C00-C97,2017,07,55358
mcd,C00-C97,2017,08,55139
mcd,C00-C97,2017,09,53727
mcd,C00-C97,2017,10,56138
mcd,C00-C97,2017,11,54609
