type,year,week,dead
all,2022,34,2029
all,2022,35,2002
all,2022,36,2212
all,2022,37,1997
all,2022,38,2035
all,2022,39,1988
all,2022,40,2072
all,2022,41,2046
all,2022,42,2015
all,2022,43,2100
all,2022,44,2121
all,2022,45,2145
all,2022,46,2096
all,2022,47,2169
all,2022,48,2282
all,2022,49,2277
all,2022,50,2285
all,2022,51,2262
all,2022,52,2402
all,2023,01,2202
all,2023,02,2122
all,2023,03,2046
all,2023,04,2092
all,2023,05,2083
all,2023,06,2117
all,2023,07,2038
all,2023,08,2020
all,2023,09,2116
all,2023,10,2032
all,2023,11,1987
all,2023,12,2065
all,2023,13,2076
all,2023,14,2035
all,2023,15,2037
all,2023,16,2010
all,2023,17,1982
all,2023,18,2110
all,2023,19,2023
all,2023,20,1948
all,2023,21,2000
all,2023,22,2016
all,2023,23,2009
all,2023,24,1973
all,2023,25,1865
all,2023,26,1960
all,2023,27,2097
all,2023,28,2028
all,2023,29,2066
all,2023,30,2005
all,2023,31,2071
all,2023,32,2028
all,2023,33,2025
all,2023,34,1986
all,2023,35,1966
all,2023,36,1968
all,2023,37,1929
all,2023,38,1948
all,2023,39,1909
all,2023,40,1978
all,2023,41,1953
all,2023,42,1831
all,2023,43,1877
all,2023,44,1925
all,2023,45,1897
all,2023,46,1942
all,2023,47,1989
all,2023,48,1989
all,2023,49,1965
all,2023,50,2068
all,2023,51,2047
all,2023,52,2140
all,2024,01,2102
all,2024,02,2029
all,2024,03,1955
all,2024,04,1895
all,2024,05,1996
all,2024,06,1957
all,2024,07,1896
all,2024,08,1888
all,2024,09,1936
all,2024,10,1921
all,2024,11,1821
all,2024,12,1778
all,2024,13,1787
all,2024,14,1846
all,2024,15,1921
all,2024,16,1807
all,2024,17,1802
all,2024,18,1788
all,2024,19,1802
all,2024,20,1755
all,2024,21,1754
all,2024,22,1779
all,2024,23,1839
all,2024,24,1741
all,2024,25,1799
all,2024,26,1844
all,2024,27,1815
all,2024,28,1849
all,2024,29,1709
all,2024,30,1669
all,2024,31,1751
all,2024,32,1705
all,2024,33,1630
all,2024,34,1648
all,2024,35,1684
all,2024,36,1670
all,2024,37,1541
all,2024,38,1609
all,2024,39,1593
all,2024,40,1647
all,2024,41,1697
all,2024,42,1679
all,2024,43,1601
all,2024,44,1599
all,2024,45,1771
all,2024,46,1640
all,2024,47,1670
all,2024,48,1725
all,2024,49,1767
all,2024,50,1713
all,2024,51,1745
all,2024,52,1844
all,2024,99,39
all,2025,01,1527
all,2025,02,1589
all,2025,03,1558
all,2025,04,1607
all,2025,05,1676
all,2025,06,1614
all,2025,07,1609
all,2025,08,1718
all,2025,09,1606
all,2025,10,1662
all,2025,11,1732
all,2025,12,1741
all,2025,13,1724
all,2025,14,1759
all,2025,15,1804
all,2025,16,1875
all,2025,17,1962
all,2025,18,2039
all,2025,19,2209
all,2025,20,2359
all,2025,21,2307
all,2025,22,2285
all,2025,23,2342
all,2025,24,1951
all,2025,25,1244
all,2025,99,18
andcovidordrug,2018,01,381
andcovidordrug,2018,02,418
andcovidordrug,2018,03,372
andcovidordrug,2018,04,391
andcovidordrug,2018,05,417
andcovidordrug,2018,06,396
andcovidordrug,2018,07,399
andcovidordrug,2018,08,414
andcovidordrug,2018,09,419
andcovidordrug,2018,10,434
andcovidordrug,2018,11,416
andcovidordrug,2018,12,383
andcovidordrug,2018,13,388
andcovidordrug,2018,14,408
andcovidordrug,2018,15,401
andcovidordrug,2018,16,392
andcovidordrug,2018,17,389
andcovidordrug,2018,18,420
andcovidordrug,2018,19,389
andcovidordrug,2018,20,390
andcovidordrug,2018,21,394
andcovidordrug,2018,22,384
andcovidordrug,2018,23,414
andcovidordrug,2018,24,392
andcovidordrug,2018,25,372
andcovidordrug,2018,26,413
andcovidordrug,2018,27,423
andcovidordrug,2018,28,394
andcovidordrug,2018,29,405
andcovidordrug,2018,30,383
andcovidordrug,2018,31,361
andcovidordrug,2018,32,421
andcovidordrug,2018,33,382
andcovidordrug,2018,34,400
andcovidordrug,2018,35,392
andcovidordrug,2018,36,405
andcovidordrug,2018,37,418
andcovidordrug,2018,38,396
andcovidordrug,2018,39,359
andcovidordrug,2018,40,408
andcovidordrug,2018,41,382
andcovidordrug,2018,42,340
andcovidordrug,2018,43,415
andcovidordrug,2018,44,403
andcovidordrug,2018,45,390
andcovidordrug,2018,46,357
andcovidordrug,2018,47,366
andcovidordrug,2018,48,315
andcovidordrug,2018,49,442
andcovidordrug,2018,50,372
andcovidordrug,2018,51,359
andcovidordrug,2018,52,359
andcovidordrug,2019,01,416
andcovidordrug,2019,02,367
andcovidordrug,2019,03,380
andcovidordrug,2019,04,355
andcovidordrug,2019,05,382
andcovidordrug,2019,06,389
andcovidordrug,2019,07,335
andcovidordrug,2019,08,332
andcovidordrug,2019,09,408
andcovidordrug,2019,10,465
andcovidordrug,2019,11,431
andcovidordrug,2019,12,372
andcovidordrug,2019,13,350
andcovidordrug,2019,14,411
andcovidordrug,2019,15,414
andcovidordrug,2019,16,347
andcovidordrug,2019,17,330
andcovidordrug,2019,18,396
andcovidordrug,2019,19,414
andcovidordrug,2019,20,381
andcovidordrug,2019,21,382
andcovidordrug,2019,22,381
andcovidordrug,2019,23,431
andcovidordrug,2019,24,398
andcovidordrug,2019,25,373
andcovidordrug,2019,26,390
andcovidordrug,2019,27,454
andcovidordrug,2019,28,376
andcovidordrug,2019,29,415
andcovidordrug,2019,30,420
andcovidordrug,2019,31,394
andcovidordrug,2019,32,418
andcovidordrug,2019,33,394
andcovidordrug,2019,34,428
andcovidordrug,2019,35,421
andcovidordrug,2019,36,412
andcovidordrug,2019,37,442
andcovidordrug,2019,38,373
andcovidordrug,2019,39,393
andcovidordrug,2019,40,422
andcovidordrug,2019,41,450
andcovidordrug,2019,42,396
andcovidordrug,2019,43,401
andcovidordrug,2019,44,444
andcovidordrug,2019,45,478
andcovidordrug,2019,46,408
andcovidordrug,2019,47,413
andcovidordrug,2019,48,412
andcovidordrug,2019,49,456
andcovidordrug,2019,50,448
andcovidordrug,2019,51,415
andcovidordrug,2019,52,444
andcovidordrug,2020,01,438
andcovidordrug,2020,02,473
andcovidordrug,2020,03,490
andcovidordrug,2020,04,456
andcovidordrug,2020,05,462
andcovidordrug,2020,06,494
andcovidordrug,2020,07,454
andcovidordrug,2020,08,465
andcovidordrug,2020,09,497
andcovidordrug,2020,10,534
andcovidordrug,2020,11,534
andcovidordrug,2020,12,550
andcovidordrug,2020,13,636
andcovidordrug,2020,14,844
andcovidordrug,2020,15,900
andcovidordrug,2020,16,834
andcovidordrug,2020,17,893
andcovidordrug,2020,18,935
andcovidordrug,2020,19,928
andcovidordrug,2020,20,857
andcovidordrug,2020,21,875
andcovidordrug,2020,22,765
andcovidordrug,2020,23,759
andcovidordrug,2020,24,696
andcovidordrug,2020,25,725
andcovidordrug,2020,26,676
andcovidordrug,2020,27,754
andcovidordrug,2020,28,782
andcovidordrug,2020,29,800
andcovidordrug,2020,30,775
andcovidordrug,2020,31,807
andcovidordrug,2020,32,813
andcovidordrug,2020,33,814
andcovidordrug,2020,34,723
andcovidordrug,2020,35,708
andcovidordrug,2020,36,696
andcovidordrug,2020,37,669
andcovidordrug,2020,38,645
andcovidordrug,2020,39,691
andcovidordrug,2020,40,648
andcovidordrug,2020,41,642
andcovidordrug,2020,42,569
andcovidordrug,2020,43,582
andcovidordrug,2020,44,611
andcovidordrug,2020,45,771
andcovidordrug,2020,46,689
andcovidordrug,2020,47,724
andcovidordrug,2020,48,742
andcovidordrug,2020,49,782
andcovidordrug,2020,50,848
andcovidordrug,2020,51,870
andcovidordrug,2020,52,985
andcovidordrug,2020,53,1081
andcovidordrug,2021,01,1191
andcovidordrug,2021,02,1059
andcovidordrug,2021,03,1023
andcovidordrug,2021,04,996
andcovidordrug,2021,05,1033
andcovidordrug,2021,06,980
andcovidordrug,2021,07,831
andcovidordrug,2021,08,847
andcovidordrug,2021,09,856
andcovidordrug,2021,10,864
andcovidordrug,2021,11,927
andcovidordrug,2021,12,922
andcovidordrug,2021,13,889
andcovidordrug,2021,14,920
andcovidordrug,2021,15,951
andcovidordrug,2021,16,926
andcovidordrug,2021,17,902
andcovidordrug,2021,18,909
andcovidordrug,2021,19,821
andcovidordrug,2021,20,833
andcovidordrug,2021,21,831
andcovidordrug,2021,22,820
andcovidordrug,2021,23,805
andcovidordrug,2021,24,760
andcovidordrug,2021,25,765
andcovidordrug,2021,26,779
andcovidordrug,2021,27,805
andcovidordrug,2021,28,798
andcovidordrug,2021,29,827
andcovidordrug,2021,30,879
andcovidordrug,2021,31,1133
andcovidordrug,2021,32,1144
andcovidordrug,2021,33,1240
andcovidordrug,2021,34,1336
andcovidordrug,2021,35,1388
andcovidordrug,2021,36,1343
andcovidordrug,2021,37,1261
andcovidordrug,2021,38,1268
andcovidordrug,2021,39,1189
andcovidordrug,2021,40,1128
andcovidordrug,2021,41,1056
andcovidordrug,2021,42,922
andcovidordrug,2021,43,923
andcovidordrug,2021,44,944
andcovidordrug,2021,45,923
andcovidordrug,2021,46,873
andcovidordrug,2021,47,921
andcovidordrug,2021,48,873
andcovidordrug,2021,49,928
andcovidordrug,2021,50,955
andcovidordrug,2021,51,1007
andcovidordrug,2021,52,1051
andcovidordrug,2021,99,11
andcovidordrug,2022,01,1196
andcovidordrug,2022,02,1171
andcovidordrug,2022,03,1134
andcovidordrug,2022,04,1139
andcovidordrug,2022,05,1136
andcovidordrug,2022,06,1076
andcovidordrug,2022,07,958
andcovidordrug,2022,08,865
andcovidordrug,2022,09,891
andcovidordrug,2022,10,866
andcovidordrug,2022,11,780
andcovidordrug,2022,12,747
andcovidordrug,2022,13,711
andcovidordrug,2022,14,762
andcovidordrug,2022,15,707
andcovidordrug,2022,16,693
andcovidordrug,2022,17,764
andcovidordrug,2022,18,777
andcovidordrug,2022,19,706
andcovidordrug,2022,20,708
andcovidordrug,2022,21,737
andcovidordrug,2022,22,678
andcovidordrug,2022,23,799
andcovidordrug,2022,24,771
andcovidordrug,2022,25,749
andcovidordrug,2022,26,761
andcovidordrug,2022,27,818
andcovidordrug,2022,28,812
andcovidordrug,2022,29,764
andcovidordrug,2022,30,753
andcovidordrug,2022,31,760
andcovidordrug,2022,32,797
andcovidordrug,2022,33,707
andcovidordrug,2022,34,729
andcovidordrug,2022,35,765
andcovidordrug,2022,36,839
andcovidordrug,2022,37,682
andcovidordrug,2022,38,687
andcovidordrug,2022,39,665
andcovidordrug,2022,40,788
andcovidordrug,2022,41,739
andcovidordrug,2022,42,731
andcovidordrug,2022,43,732
andcovidordrug,2022,44,738
andcovidordrug,2022,45,766
andcovidordrug,2022,46,687
andcovidordrug,2022,47,754
andcovidordrug,2022,48,761
andcovidordrug,2022,49,799
andcovidordrug,2022,50,791
andcovidordrug,2022,51,735
andcovidordrug,2022,52,776
andcovidordrug,2023,01,808
andcovidordrug,2023,02,748
andcovidordrug,2023,03,748
andcovidordrug,2023,04,740
andcovidordrug,2023,05,765
andcovidordrug,2023,06,787
andcovidordrug,2023,07,753
andcovidordrug,2023,08,761
andcovidordrug,2023,09,807
andcovidordrug,2023,10,795
andcovidordrug,2023,11,723
andcovidordrug,2023,12,817
andcovidordrug,2023,13,801
andcovidordrug,2023,14,793
andcovidordrug,2023,15,780
andcovidordrug,2023,16,784
andcovidordrug,2023,17,712
andcovidordrug,2023,18,824
andcovidordrug,2023,19,799
andcovidordrug,2023,20,721
andcovidordrug,2023,21,772
andcovidordrug,2023,22,790
andcovidordrug,2023,23,760
andcovidordrug,2023,24,739
andcovidordrug,2023,25,723
andcovidordrug,2023,26,702
andcovidordrug,2023,27,741
andcovidordrug,2023,28,767
andcovidordrug,2023,29,745
andcovidordrug,2023,30,706
andcovidordrug,2023,31,763
andcovidordrug,2023,32,743
andcovidordrug,2023,33,755
andcovidordrug,2023,34,707
andcovidordrug,2023,35,715
andcovidordrug,2023,36,742
andcovidordrug,2023,37,664
andcovidordrug,2023,38,707
andcovidordrug,2023,39,645
andcovidordrug,2023,40,701
andcovidordrug,2023,41,676
andcovidordrug,2023,42,653
andcovidordrug,2023,43,639
andcovidordrug,2023,44,672
andcovidordrug,2023,45,658
andcovidordrug,2023,46,667
andcovidordrug,2023,47,643
andcovidordrug,2023,48,619
andcovidordrug,2023,49,635
andcovidordrug,2023,50,686
andcovidordrug,2023,51,651
andcovidordrug,2023,52,667
andcovidordrug,2024,01,703
andcovidordrug,2024,02,676
andcovidordrug,2024,03,606
andcovidordrug,2024,04,623
andcovidordrug,2024,05,659
andcovidordrug,2024,06,661
andcovidordrug,2024,07,644
andcovidordrug,2024,08,633
andcovidordrug,2024,09,649
andcovidordrug,2024,10,684
andcovidordrug,2024,11,603
andcovidordrug,2024,12,571
andcovidordrug,2024,13,599
andcovidordrug,2024,14,630
andcovidordrug,2024,15,652
andcovidordrug,2024,16,576
andcovidordrug,2024,17,544
andcovidordrug,2024,18,579
andcovidordrug,2024,19,578
andcovidordrug,2024,20,572
andcovidordrug,2024,21,509
andcovidordrug,2024,22,563
andcovidordrug,2024,23,595
andcovidordrug,2024,24,514
andcovidordrug,2024,25,554
andcovidordrug,2024,26,586
andcovidordrug,2024,27,553
andcovidordrug,2024,28,527
andcovidordrug,2024,29,518
andcovidordrug,2024,30,477
andcovidordrug,2024,31,540
andcovidordrug,2024,32,491
andcovidordrug,2024,33,466
andcovidordrug,2024,34,477
andcovidordrug,2024,35,502
andcovidordrug,2024,36,493
andcovidordrug,2024,37,462
andcovidordrug,2024,38,460
andcovidordrug,2024,39,440
andcovidordrug,2024,40,455
andcovidordrug,2024,41,467
andcovidordrug,2024,42,409
andcovidordrug,2024,43,451
andcovidordrug,2024,44,446
andcovidordrug,2024,45,494
andcovidordrug,2024,46,439
andcovidordrug,2024,47,450
andcovidordrug,2024,48,462
andcovidordrug,2024,49,508
andcovidordrug,2024,50,433
andcovidordrug,2024,51,451
andcovidordrug,2024,52,490
andcovidordrug,2024,99,28
andcovidordrug,2025,01,13
andcovidordrug,2025,04,11
andcovidordrug,2025,05,14
andcovidordrug,2025,08,16
