type,cause,year,month,dead
mcd,C34,2010,5,14174
mcd,C34,2010,6,13517
mcd,C34,2010,7,14024
mcd,C34,2010,8,13954
mcd,C34,2010,9,13482
mcd,C34,2010,10,14344
mcd,C34,2010,11,13728
mcd,C34,2010,12,14526
mcd,C34,2011,1,14493
mcd,C34,2011,2,13174
mcd,C34,2011,3,14329
mcd,C34,2011,4,13416
mcd,C34,2011,5,13903
mcd,C34,2011,6,13480
mcd,C34,2011,7,13674
mcd,C34,2011,8,13900
mcd,C34,2011,9,13572
mcd,C34,2011,10,14206
mcd,C34,2011,11,13510
mcd,C34,2011,12,14234
mcd,C34,2012,1,14288
mcd,C34,2012,2,13363
mcd,C34,2012,3,14284
mcd,C34,2012,4,13656
mcd,C34,2012,5,14091
mcd,C34,2012,6,13469
mcd,C34,2012,7,13715
mcd,C34,2012,8,13943
mcd,C34,2012,9,13584
mcd,C34,2012,10,14061
mcd,C34,2012,11,13880
mcd,C34,2012,12,14641
mcd,C34,2013,1,14825
mcd,C34,2013,2,12956
mcd,C34,2013,3,14295
mcd,C34,2013,4,13617
mcd,C34,2013,5,13818
mcd,C34,2013,6,13156
mcd,C34,2013,7,13788
mcd,C34,2013,8,14140
mcd,C34,2013,9,13410
mcd,C34,2013,10,13963
mcd,C34,2013,11,13571
mcd,C34,2013,12,14053
mcd,C34,2014,1,14607
mcd,C34,2014,2,12661
mcd,C34,2014,3,14167
mcd,C34,2014,4,13533
mcd,C34,2014,5,13786
mcd,C34,2014,6,13450
mcd,C34,2014,7,13892
mcd,C34,2014,8,13814
mcd,C34,2014,9,13183
mcd,C34,2014,10,13926
mcd,C34,2014,11,13559
mcd,C34,2014,12,14305
mcd,C34,2015,1,14663
mcd,C34,2015,2,13066
mcd,C34,2015,3,14202
mcd,C34,2015,4,13504
mcd,C34,2015,5,13985
mcd,C34,2015,6,12958
mcd,C34,2015,7,13623
mcd,C34,2015,8,13630
mcd,C34,2015,9,13220
mcd,C34,2015,10,13605
mcd,C34,2015,11,13246
mcd,C34,2015,12,13497
mcd,C34,2016,1,13813
mcd,C34,2016,2,12990
mcd,C34,2016,3,13789
mcd,C34,2016,4,12931
mcd,C34,2016,5,13176
mcd,C34,2016,6,12708
mcd,C34,2016,7,13029
mcd,C34,2016,8,13268
