cause,date,age,dead
A-Q,2002-10,0,1932
A-Q,2002-10,1,187
A-Q,2002-10,5,302
A-Q,2002-10,15,542
A-Q,2002-10,25,1352
A-Q,2002-10,35,4890
A-Q,2002-10,45,12154
A-Q,2002-10,55,19856
A-Q,2002-10,65,33539
A-Q,2002-10,75,55339
A-Q,2002-10,85,53500
A-Q,2002-11,0,1858
A-Q,2002-11,1,214
A-Q,2002-11,5,277
A-Q,2002-11,15,571
A-Q,2002-11,25,1335
A-Q,2002-11,35,4869
A-Q,2002-11,45,12282
A-Q,2002-11,55,19881
A-Q,2002-11,65,33445
A-Q,2002-11,75,56626
A-Q,2002-11,85,54990
A-Q,2002-12,0,1885
A-Q,2002-12,1,222
A-Q,2002-12,5,353
A-Q,2002-12,15,643
A-Q,2002-12,25,1513
A-Q,2002-12,35,5255
A-Q,2002-12,45,12693
A-Q,2002-12,55,21318
A-Q,2002-12,65,36121
A-Q,2002-12,75,61991
A-Q,2002-12,85,61302
A-Q,2003-01,0,1989
A-Q,2003-01,1,227
A-Q,2003-01,5,342
A-Q,2003-01,15,639
A-Q,2003-01,25,1497
A-Q,2003-01,35,5290
A-Q,2003-01,45,13121
A-Q,2003-01,55,21974
A-Q,2003-01,65,36225
A-Q,2003-01,75,63181
A-Q,2003-01,85,63392
A-Q,2003-02,0,1790
A-Q,2003-02,1,289
A-Q,2003-02,5,341
A-Q,2003-02,15,599
A-Q,2003-02,25,1344
A-Q,2003-02,35,4691
A-Q,2003-02,45,11807
A-Q,2003-02,55,19753
A-Q,2003-02,65,32743
A-Q,2003-02,75,56623
A-Q,2003-02,85,56042
A-Q,2003-03,0,1979
A-Q,2003-03,1,237
A-Q,2003-03,5,332
A-Q,2003-03,15,669
A-Q,2003-03,25,1501
A-Q,2003-03,35,4975
A-Q,2003-03,45,12830
A-Q,2003-03,55,21322
A-Q,2003-03,65,35223
A-Q,2003-03,75,60201
A-Q,2003-03,85,58276
A-Q,2003-04,0,1905
A-Q,2003-04,1,237
A-Q,2003-04,5,281
A-Q,2003-04,15,560
A-Q,2003-04,25,1367
A-Q,2003-04,35,4794
A-Q,2003-04,45,12110
A-Q,2003-04,55,20162
A-Q,2003-04,65,33008
A-Q,2003-04,75,55616
A-Q,2003-04,85,53532
A-Q,2003-05,0,2017
A-Q,2003-05,1,212
A-Q,2003-05,5,267
A-Q,2003-05,15,588
A-Q,2003-05,25,1292
A-Q,2003-05,35,4907
A-Q,2003-05,45,12203
A-Q,2003-05,55,20189
A-Q,2003-05,65,32752
A-Q,2003-05,75,55842
A-Q,2003-05,85,52317
A-Q,2003-06,0,1982
A-Q,2003-06,1,200
A-Q,2003-06,5,257
A-Q,2003-06,15,557
A-Q,2003-06,25,1334
A-Q,2003-06,35,4678
A-Q,2003-06,45,11573
A-Q,2003-06,55,19551
A-Q,2003-06,65,31542
A-Q,2003-06,75,52989
A-Q,2003-06,85,50095
A-Q,2003-07,0,2071
A-Q,2003-07,1,152
A-Q,2003-07,5,256
A-Q,2003-07,15,580
A-Q,2003-07,25,1428
A-Q,2003-07,35,4862
A-Q,2003-07,45,12180
A-Q,2003-07,55,19865
A-Q,2003-07,65,31450
A-Q,2003-07,75,53015
A-Q,2003-07,85,50138
A-Q,2003-08,0,1968
A-Q,2003-08,1,183
A-Q,2003-08,5,253
A-Q,2003-08,15,655
A-Q,2003-08,25,1384
A-Q,2003-08,35,4784
A-Q,2003-08,45,12084
A-Q,2003-08,55,19659
A-Q,2003-08,65,31615
A-Q,2003-08,75,52692
A-Q,2003-08,85,49933
A-Q,2003-09,0,1889
A-Q,2003-09,1,167
A-Q,2003-09,5,261
A-Q,2003-09,15,589
A-Q,2003-09,25,1304
A-Q,2003-09,35,4684
A-Q,2003-09,45,11823
A-Q,2003-09,55,19348
A-Q,2003-09,65,30974
A-Q,2003-09,75,51887
A-Q,2003-09,85,49338
A-Q,2003-10,0,1953
A-Q,2003-10,1,175
A-Q,2003-10,5,276
A-Q,2003-10,15,614
A-Q,2003-10,25,1428
A-Q,2003-10,35,4887
A-Q,2003-10,45,12353
A-Q,2003-10,55,20452
A-Q,2003-10,65,32904
A-Q,2003-10,75,56218
A-Q,2003-10,85,54706
A-Q,2003-11,0,1800
A-Q,2003-11,1,199
A-Q,2003-11,5,295
A-Q,2003-11,15,602
A-Q,2003-11,25,1378
A-Q,2003-11,35,4840
A-Q,2003-11,45,12135
A-Q,2003-11,55,20023
A-Q,2003-11,65,32518
A-Q,2003-11,75,55750
A-Q,2003-11,85,54741
A-Q,2003-12,0,1988
A-Q,2003-12,1,283
A-Q,2003-12,5,354
A-Q,2003-12,15,750
A-Q,2003-12,25,1555
A-Q,2003-12,35,5332
A-Q,2003-12,45,13761
A-Q,2003-12,55,23583
A-Q,2003-12,65,38502
A-Q,2003-12,75,67567
A-Q,2003-12,85,70147
A-Q,2004-01,0,2029
A-Q,2004-01,1,246
A-Q,2004-01,5,327
A-Q,2004-01,15,705
A-Q,2004-01,25,1512
A-Q,2004-01,35,5169
A-Q,2004-01,45,13544
A-Q,2004-01,55,22889
A-Q,2004-01,65,37647
A-Q,2004-01,75,66781
A-Q,2004-01,85,69799
A-Q,2004-02,0,1894
A-Q,2004-02,1,265
A-Q,2004-02,5,284
A-Q,2004-02,15,605
A-Q,2004-02,25,1278
A-Q,2004-02,35,4782
A-Q,2004-02,45,12217
A-Q,2004-02,55,20199
A-Q,2004-02,65,33017
A-Q,2004-02,75,57589
A-Q,2004-02,85,56636
A-Q,2004-03,0,1945
A-Q,2004-03,1,240
A-Q,2004-03,5,291
A-Q,2004-03,15,631
A-Q,2004-03,25,1441
A-Q,2004-03,35,4795
A-Q,2004-03,45,12800
A-Q,2004-03,55,21355
A-Q,2004-03,65,34283
A-Q,2004-03,75,58796
A-Q,2004-03,85,56949
A-Q,2004-04,0,1784
A-Q,2004-04,1,216
A-Q,2004-04,5,298
A-Q,2004-04,15,564
A-Q,2004-04,25,1302
A-Q,2004-04,35,4523
A-Q,2004-04,45,12053
A-Q,2004-04,55,20101
A-Q,2004-04,65,31895
A-Q,2004-04,75,54916
A-Q,2004-04,85,52783
A-Q,2004-05,0,1941
A-Q,2004-05,1,204
A-Q,2004-05,5,267
A-Q,2004-05,15,597
A-Q,2004-05,25,1373
A-Q,2004-05,35,4554
A-Q,2004-05,45,12208
A-Q,2004-05,55,20506
A-Q,2004-05,65,31727
A-Q,2004-05,75,53445
A-Q,2004-05,85,50769
A-Q,2004-06,0,1833
A-Q,2004-06,1,193
A-Q,2004-06,5,256
A-Q,2004-06,15,593
A-Q,2004-06,25,1279
A-Q,2004-06,35,4533
A-Q,2004-06,45,11725
A-Q,2004-06,55,19553
A-Q,2004-06,65,30314
A-Q,2004-06,75,50854
A-Q,2004-06,85,48459
A-Q,2004-07,0,2054
A-Q,2004-07,1,195
A-Q,2004-07,5,275
A-Q,2004-07,15,629
A-Q,2004-07,25,1316
A-Q,2004-07,35,4645
A-Q,2004-07,45,12245
A-Q,2004-07,55,20114
