date,state,dead
2018-08,District of Columbia,392
2018-08,Florida,16313
2018-08,Georgia,6882
2018-08,Hawaii,908
2018-08,Idaho,1133
2018-08,Illinois,8516
2018-08,Indiana,5164
2018-08,Iowa,2372
2018-08,Kansas,2129
2018-08,Kentucky,3888
2018-08,Louisiana,3690
2018-08,Maine,1148
2018-08,Maryland,3991
2018-08,Massachusetts,4546
2018-08,Michigan,7721
2018-08,Minnesota,3629
2018-08,Mississippi,2580
2018-08,Missouri,5087
2018-08,Montana,820
2018-08,Nebraska,1352
2018-08,Nevada,1982
2018-08,New Hampshire,1004
2018-08,New Jersey,6099
2018-08,New Mexico,1469
2018-08,New York,12262
2018-08,North Carolina,7432
2018-08,North Dakota,472
2018-08,Ohio,9704
2018-08,Oklahoma,3266
2018-08,Oregon,2870
2018-08,Pennsylvania,10477
2018-08,Rhode Island,779
2018-08,South Carolina,4084
2018-08,South Dakota,612
2018-08,Tennessee,5656
2018-08,Texas,16136
2018-08,Utah,1479
2018-08,Vermont,469
2018-08,Virginia,5516
2018-08,Washington,4502
2018-08,West Virginia,1840
2018-08,Wisconsin,4254
2018-08,Wyoming,373
2018-09,Alabama,4159
2018-09,Alaska,352
2018-09,Arizona,4510
2018-09,Arkansas,2539
2018-09,California,20273
2018-09,Colorado,2979
2018-09,Connecticut,2435
2018-09,Delaware,701
2018-09,District of Columbia,401
2018-09,Florida,16153
2018-09,Georgia,6513
2018-09,Hawaii,918
2018-09,Idaho,1173
2018-09,Illinois,8737
2018-09,Indiana,5111
2018-09,Iowa,2317
2018-09,Kansas,2150
2018-09,Kentucky,3769
2018-09,Louisiana,3589
2018-09,Maine,1193
2018-09,Maryland,3837
2018-09,Massachusetts,4547
2018-09,Michigan,7581
2018-09,Minnesota,3546
2018-09,Mississippi,2535
2018-09,Missouri,4859
2018-09,Montana,797
2018-09,Nebraska,1325
2018-09,Nevada,1846
2018-09,New Hampshire,1016
2018-09,New Jersey,5719
2018-09,New Mexico,1505
2018-09,New York,11868
2018-09,North Carolina,7241
2018-09,North Dakota,502
2018-09,Ohio,9723
2018-09,Oklahoma,3053
2018-09,Oregon,2758
2018-09,Pennsylvania,10265
2018-09,Rhode Island,802
2018-09,South Carolina,3994
2018-09,South Dakota,645
2018-09,Tennessee,5439
2018-09,Texas,15372
2018-09,Utah,1398
2018-09,Vermont,490
2018-09,Virginia,5402
2018-09,Washington,4322
2018-09,West Virginia,1833
2018-09,Wisconsin,4091
2018-09,Wyoming,413
2018-10,Alabama,4341
2018-10,Alaska,371
2018-10,Arizona,4632
2018-10,Arkansas,2660
2018-10,California,21165
2018-10,Colorado,3219
2018-10,Connecticut,2588
2018-10,Delaware,778
2018-10,District of Columbia,437
2018-10,Florida,16740
2018-10,Georgia,6881
2018-10,Hawaii,894
2018-10,Idaho,1144
2018-10,Illinois,9127
2018-10,Indiana,5407
2018-10,Iowa,2642
2018-10,Kansas,2190
2018-10,Kentucky,4096
2018-10,Louisiana,3614
2018-10,Maine,1270
2018-10,Maryland,4236
2018-10,Massachusetts,4938
2018-10,Michigan,8173
2018-10,Minnesota,3880
2018-10,Mississippi,2652
2018-10,Missouri,5204
