age,cause,state,date,dead
all,C00-C97,California,2020-12,6448
all,C00-C97,California,2021-01,6431
all,C00-C97,California,2021-02,5334
all,C00-C97,California,2021-03,5697
all,C00-C97,California,2021-04,5323
all,C00-C97,California,2021-05,5495
all,C00-C97,California,2021-06,5405
all,C00-C97,California,2021-07,5633
all,C00-C97,California,2021-08,5751
all,C00-C97,California,2021-09,5713
all,C00-C97,California,2021-10,5938
all,C00-C97,California,2021-11,5489
all,C00-C97,California,2021-12,5968
all,C00-C97,California,2022-01,6303
all,C00-C97,California,2022-02,5343
all,C00-C97,California,2022-03,5695
all,C00-C97,California,2022-04,5526
all,C00-C97,California,2022-05,5710
all,C00-C97,California,2022-06,5622
all,C00-C97,California,2022-07,5825
all,C00-C97,California,2022-08,5814
all,C00-C97,California,2022-09,5758
all,C00-C97,California,2022-10,5837
all,C00-C97,California,2022-11,5726
all,C00-C97,California,2022-12,6213
all,C00-C97,California,2023-01,5998
all,C00-C97,California,2023-02,5365
all,C00-C97,California,2023-03,5708
all,C00-C97,California,2023-04,5464
all,C00-C97,California,2023-05,5683
all,C00-C97,California,2023-06,5566
all,C00-C97,California,2023-07,5676
all,C00-C97,California,2023-08,5763
all,C00-C97,California,2023-09,5634
all,C00-C97,California,2023-10,5836
all,C00-C97,California,2023-11,5701
all,C00-C97,California,2023-12,5979
all,C00-C97,California,2024-01,6112
all,C00-C97,California,2024-02,5509
all,C00-C97,California,2024-03,5757
all,C00-C97,California,2024-04,5595
all,C00-C97,California,2024-05,5783
all,C00-C97,California,2024-06,5595
all,C00-C97,California,2024-07,5795
all,C00-C97,California,2024-08,5757
all,C00-C97,California,2024-09,5466
all,C00-C97,California,2024-10,5717
all,C00-C97,California,2024-11,3309
all,C00-C97,Colorado,2018-01,784
all,C00-C97,Colorado,2018-02,699
all,C00-C97,Colorado,2018-03,792
all,C00-C97,Colorado,2018-04,748
all,C00-C97,Colorado,2018-05,755
all,C00-C97,Colorado,2018-06,679
all,C00-C97,Colorado,2018-07,742
all,C00-C97,Colorado,2018-08,801
all,C00-C97,Colorado,2018-09,749
all,C00-C97,Colorado,2018-10,783
all,C00-C97,Colorado,2018-11,769
all,C00-C97,Colorado,2018-12,800
all,C00-C97,Colorado,2019-01,811
all,C00-C97,Colorado,2019-02,729
all,C00-C97,Colorado,2019-03,787
all,C00-C97,Colorado,2019-04,725
all,C00-C97,Colorado,2019-05,838
all,C00-C97,Colorado,2019-06,731
all,C00-C97,Colorado,2019-07,748
all,C00-C97,Colorado,2019-08,741
all,C00-C97,Colorado,2019-09,736
all,C00-C97,Colorado,2019-10,778
all,C00-C97,Colorado,2019-11,777
all,C00-C97,Colorado,2019-12,820
all,C00-C97,Colorado,2020-01,899
