year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
2012,61270,62750,64060,63780,63990,61830,58930,57980,58140,57210,57560,60160,61350,59890,60980,61250,62470,62880,62560,63740,64500,65380,63050,60240,58350,56100,55040,54640,54550,55090,54350,54220,53930,53480,52700,53550,54160,56540,58760,61190,63640,64510,63340,63610,62570,61930,61860,62450,64230,65440,64930,63630,61180,59560,57270,56430,54880,52860,51470,49900,48950,48190,47760,47180,47300,46670,40490,37400,34940,32150,34060,33150,30320,27440,25750,24060,22340,20950,19950,19050,18330,17940,16500,15110,13790,12500,11050,9820,8330,6950,5930,4870,3740,2520,1980,4930
2013,60240,61430,62690,64030,63640,63850,61620,58750,57880,58070,57250,57660,60300,61510,60110,61420,61930,62900,62930,63180,64250,64330,64730,62490,59890,58160,56110,55100,54870,54810,55420,54710,54300,54020,53570,52840,53750,54370,56760,59050,61400,63770,64650,63460,63540,62570,61840,61650,62210,64030,65180,64650,63350,60920,59290,57090,56210,54680,52740,51300,49810,48850,48040,47620,47040,47100,46410,40160,37080,34560,31720,33550,32600,29750,26840,25110,23360,21610,20200,19190,18190,17440,16980,15460,14050,12630,11360,9900,8680,7210,5940,4960,4000,3030,1980,4990
2014,58380,60610,61840,63090,64350,63890,64050,61830,59000,58150,58350,57630,58100,60660,61750,60640,62090,62610,63540,64370,64680,65360,65500,66010,64020,61510,60060,57940,56880,56630,56510,56950,56000,55480,55120,54530,53730,54570,55050,57450,59750,62060,64400,65250,64000,64000,62930,62080,61800,62400,64210,65310,64730,63320,60880,59310,57150,56120,54580,52670,51270,49780,48780,47870,47460,46800,46750,45970,39750,36630,34090,31230,32960,31960,29150,26230,24430,22650,20840,19410,18360,17310,16460,15940,14390,12960,11500,10270,8820,7610,6230,5040,4160,3280,2420,5090
2015,58940,58900,61340,62540,63690,64840,64280,64390,62240,59450,58640,58820,58230,58750,61290,62520,61550,62900,63560,65250,66390,66280,67300,68190,68560,66740,64180,62940,60740,59480,59100,58700,58680,57680,57020,56530,55820,54870,55660,55990,58330,60580,62890,65250,65930,64630,64580,63400,62480,62100,62770,64480,65580,64880,63420,61010,59440,57310,56040,54490,52770,51240,49750,48730,47670,47240,46460,46320,45400,39240,36120,33530,30660,32290,31260,28430,25530,23700,21830,20030,18580,17460,16290,15400,14800,13270,11780,10330,9090,7740,6590,5250,4170,3380,2590,5430
2016,59590,59620,59890,62430,63430,64500,65380,64750,64930,62840,60150,59290,59480,58980,59720,62500,63640,62530,63710,65080,67000,67770,67800,69610,70930,71480,69870,67210,66180,63850,62310,61720,61050,60660,59540,58660,58090,57260,56240,56800,57100,59340,61550,63830,66140,66650,65310,65150,63960,62840,62460,63160,64800,65870,65100,63490,61170,59600,57470,56060,54490,52880,51190,49700,48610,47480,46950,46110,45860,44830,38720,35580,32960,30060,31550,30460,27690,24790,22870,20990,19160,17720,16500,15320,14330,13650,12130,10640,9180,7990,6660,5560,4380,3430,2710,5870
2017,59990,60210,60740,61110,63500,64420,65270,65990,65400,65530,63600,60920,60040,60170,59970,61020,63840,64590,63200,64800,66180,67670,68520,69210,71500,73130,73910,72560,70050,69210,66650,64880,64010,63110,62640,61340,60340,59710,58680,57560,57990,58150,60360,62460,64710,67030,67310,65890,65720,64440,63180,62790,63520,65080,66100,65220,63580,61270,59720,57580,56020,54380,52840,51100,49620,48450,47180,46590,45640,45280,44200,38140,34950,32280,29360,30780,29610,26860,24010,21990,20070,18170,16760,15520,14200,13160,12400,10980,9460,8020,6850,5630,4620,3590,2750,6340
2018,59530,60410,61120,61870,62140,64510,65220,65890,66530,65980,66090,64240,61620,60740,60910,61130,62260,64750,65030,63920,65780,66780,68030,69350,70270,72950,75050,76090,74930,72360,71650,68920,66980,65750,65000,64360,63010,61820,61120,59980,58750,59020,59100,61200,63270,65520,67700,67840,66330,66170,64770,63450,62970,63740,65220,66260,65260,63590,61260,59650,57630,55880,54210,52650,50920,49460,48140,46750,46090,45070,44640,43490,37460,34240,31580,28610,29960,28700,25940,23130,21050,19040,17140,15740,14490,13110,11960,11150,9760,8290,6870,5770,4660,3740,2860,6770
2019,59650,59910,61290,62130,62880,63210,65300,66000,66640,67270,66650,66760,64990,62370,61510,61940,62180,63010,65180,65790,64650,66430,67220,68900,70300,71410,74430,76730,77740,76830,74300,73510,70600,68390,67280,66500,65840,64500,63160,62360,61140,59770,59970,59970,61920,63860,66050,68140,68260,66640,66430,64900,63460,63070,63800,65250,66260,65260,63550,61260,59640,57660,55890,54220,52660,50840,49250,47890,46430,45710,44600,44140,42870,36820,33610,30940,27930,29180,27850,25030,22240,20100,18040,16150,14730,13450,12010,10810,9910,8580,7170,5790,4770,3760,2970,7220
2020,59470,60100,60800,62410,63150,63910,64090,66140,66820,67470,68070,67420,67510,65720,63100,62430,62840,62770,63410,65940,66700,65560,67340,68630,70740,72340,73690,76900,79190,80200,79180,76500,75510,72250,69950,68930,67930,67290,65850,64450,63570,62200,60740,60840,60760,62590,64490,66590,68550,68660,67010,66790,65190,63760,63360,64120,65540,66620,65580,63820,61580,59990,58050,56230,54600,53020,51030,49340,47890,46380,45530,44340,43830,42440,36380,33100,30390,27330,28460,27040,24160,21380,19220,17100,15200,13680,12420,10900,9670,8740,7490,6110,4840,3930,3020,7680
2021,60690,59680,60460,61230,62780,63470,64150,64360,66400,67030,67690,68280,67640,67740,65880,63260,62560,62810,62370,62950,65400,66200,65000,66700,67970,70010,71630,73080,76320,78750,79920,78940,76440,75570,72370,70130,69020,68020,67410,66000,64610,63730,62310,60850,60960,60820,62640,64480,66600,68540,68620,66900,66650,64990,63550,63100,63820,65230,66260,65200,63430,61120,59490,57560,55760,54100,52410,50360,48710,47210,45700,44790,43550,43030,41590,35560,32310,29580,26470,27540,26040,23170,20350,18180,16030,14120,12630,11330,9790,8560,7620,6420,5140,3980,3160,8150
2022,60190,60640,59910,60880,61610,63040,63710,64350,64540,66560,67210,67860,68410,67800,67880,66140,63490,62680,62440,61890,62690,64990,65660,64280,65910,67050,68990,70710,72240,75620,78360,79640,78790,76370,75620,72520,70230,69110,68030,67350,66010,64600,63690,62250,60770,60860,60710,62480,64270,66390,68310,68350,66580,66320,64590,63190,62660,63380,64730,65750,64690,62900,60530,58890,56980,55170,53360,51590,49590,47930,46440,44870,43880,42650,42070,40550,34550,31330,28580,25500,26450,24880,21960,19190,17000,14810,12940,11440,10140,8600,7370,6390,5300,4180,3120,8330
2023,57170,60550,61380,61030,62230,63060,64420,65010,65620,65830,67820,68460,69070,69590,68990,69190,67480,64500,63100,63260,63300,63930,66060,66970,65900,67860,69290,71720,73800,75680,79440,82240,83150,82310,79870,78830,75720,73060,71760,70570,69720,68230,66580,65490,63820,62110,61980,61620,63140,64760,66750,68560,68470,66680,66340,64510,63040,62500,63210,64510,65530,64420,62680,60270,58630,56730,54810,52930,51080,49090,47380,45800,44210,43170,41850,41120,39530,33600,30330,27570,24490,25280,23620,20690,17960,15740,13550,11690,10220,8880,7390,6210,5230,4290,3270,8400
