type,code,month,dead
and,I82,2020-07,15
and,I82,2020-08,25
and,I82,2020-09,17
and,I82,2020-11,29
and,I82,2020-12,68
and,I82,2021-01,79
and,I82,2021-02,41
and,I82,2021-03,20
and,I82,2021-04,28
and,I82,2021-05,25
and,I82,2021-06,13
and,I82,2021-07,23
and,I82,2021-08,60
and,I82,2021-09,85
and,I82,2021-10,52
and,I82,2021-11,62
and,I82,2021-12,45
and,I82,2022-01,112
and,I82,2022-02,85
and,I82,2022-03,25
and,I82,2022-04,13
and,I82,2022-05,18
and,I82,2022-06,15
and,I82,2022-07,17
and,I82,2022-08,19
and,I82,2022-09,11
and,I82,2022-10,13
and,I82,2022-11,16
and,I82,2022-12,23
and,I82,2023-01,24
and,I82,2023-02,10
and,I82,2023-03,15
and,I82,2023-12,10
and,I82,2024-01,17
and,I82,2024-08,15
