year,age,cases
2015,35,31372
2015,40,51747
2015,45,82651
2015,50,138946
2015,55,195525
2015,60,239262
2015,65,274680
2015,70,236006
2015,75,186215
2015,80,137225
2015,85,136232
2016,0,1099
2016,1,3653
2016,5,2803
2016,10,3323
2016,15,5245
2016,20,8422
2016,25,14476
2016,30,22630
2016,35,32452
2016,40,50375
2016,45,81704
2016,50,134519
2016,55,197295
2016,60,243818
2016,65,286377
2016,70,242000
2016,75,190605
2016,80,138581
2016,85,136866
2017,0,1031
2017,1,3665
2017,5,2701
2017,10,3275
2017,15,5070
2017,20,8328
2017,25,14364
2017,30,22001
2017,35,32522
2017,40,49424
2017,45,82166
2017,50,130720
2017,55,197291
2017,60,250761
2017,65,289993
2017,70,262301
2017,75,199655
2017,80,140488
2017,85,136326
2018,0,1023
2018,1,3559
2018,5,2696
2018,10,3410
2018,15,5181
2018,20,8419
2018,25,14353
2018,30,22395
2018,35,33287
2018,40,50735
2018,45,81236
2018,50,126903
2018,55,195472
2018,60,256504
2018,65,294243
2018,70,274038
2018,75,211400
2018,80,143713
2018,85,136101
2019,0,987
2019,1,3456
2019,5,2600
2019,10,3273
2019,15,5261
2019,20,8196
2019,25,14262
2019,30,22966
2019,35,34133
2019,40,51921
2019,45,81912
2019,50,125685
2019,55,197108
2019,60,264183
2019,65,304248
2019,70,288691
2019,75,222499
2019,80,148827
2019,85,139418
2020,0,968
2020,1,3388
2020,5,2539
2020,10,3073
2020,15,4949
2020,20,7883
2020,25,13108
2020,30,21779
2020,35,32042
2020,40,48645
2020,45,73729
2020,50,112795
2020,55,175946
2020,60,242131
2020,65,281814
2020,70,272329
2020,75,208737
2020,80,139313
2020,85,127563
2021,0,917
2021,1,3335
2021,5,2543
2021,10,3198
2021,15,5105
2021,20,8227
2021,25,13955
2021,30,23049
2021,35,34691
2021,40,55132
2021,45,79070
2021,50,124541
2021,55,184804
2021,60,262318
2021,65,310841
2021,70,304885
2021,75,229571
2021,80,152402
2021,85,135414
2022,0,838
2022,1,3213
2022,5,2466
2022,10,3167
2022,15,5314
2022,20,7918
2022,25,13232
2022,30,22642
2022,35,33510
2022,40,55169
2022,45,78654
2022,50,120785
2022,55,175292
2022,60,256389
2022,65,313411
2022,70,298958
2022,75,240597
2022,80,153953
2022,85,130511
