year,sex,age,cases
1980,Woman,40,525
1979,Men,40,239
1979,Woman,40,490
1978,Men,40,237
1978,Woman,40,515
1977,Men,40,227
1977,Woman,40,542
1976,Men,40,224
1976,Woman,40,518
1975,Men,40,235
1975,Woman,40,454
1974,Men,40,246
1974,Woman,40,478
1973,Men,40,228
1973,Woman,40,515
1972,Men,40,236
1972,Woman,40,562
1971,Men,40,263
1971,Woman,40,552
1970,Men,40,254
1970,Woman,40,601
2023,Men,45,740
2023,Woman,45,1778
2022,Men,45,726
2022,Woman,45,1789
2021,Men,45,721
2021,Woman,45,1805
2020,Men,45,740
2020,Woman,45,1797
2019,Men,45,802
2019,Woman,45,1772
2018,Men,45,724
2018,Woman,45,1802
2017,Men,45,792
2017,Woman,45,1635
2016,Men,45,796
2016,Woman,45,1575
2015,Men,45,759
2015,Woman,45,1608
2014,Men,45,725
2014,Woman,45,1701
2013,Men,45,762
2013,Woman,45,1729
2012,Men,45,691
2012,Woman,45,1548
2011,Men,45,692
2011,Woman,45,1471
2010,Men,45,672
2010,Woman,45,1347
2009,Men,45,598
2009,Woman,45,1315
2008,Men,45,614
2008,Woman,45,1229
2007,Men,45,513
2007,Woman,45,1232
2006,Men,45,612
2006,Woman,45,1160
2005,Men,45,558
2005,Woman,45,1191
2004,Men,45,545
2004,Woman,45,1172
2003,Men,45,510
2003,Woman,45,1256
2002,Men,45,539
2002,Woman,45,1156
2001,Men,45,534
2001,Woman,45,1138
2000,Men,45,538
2000,Woman,45,1111
1999,Men,45,549
1999,Woman,45,1180
1998,Men,45,571
1998,Woman,45,1167
1997,Men,45,530
1997,Woman,45,1242
1996,Men,45,566
1996,Woman,45,1249
1995,Men,45,547
1995,Woman,45,1325
1994,Men,45,702
1994,Woman,45,1357
1993,Men,45,642
1993,Woman,45,1250
1992,Men,45,610
1992,Woman,45,1205
1991,Men,45,628
1991,Woman,45,1219
1990,Men,45,552
1990,Woman,45,1153
1989,Men,45,516
1989,Woman,45,1048
1988,Men,45,469
1988,Woman,45,987
1987,Men,45,455
1987,Woman,45,960
1986,Men,45,449
1986,Woman,45,889
1985,Men,45,456
1985,Woman,45,867
1984,Men,45,473
1984,Woman,45,820
1983,Men,45,426
1983,Woman,45,754
1982,Men,45,381
1982,Woman,45,814
1981,Men,45,420
1981,Woman,45,790
1980,Men,45,421
1980,Woman,45,804
1979,Men,45,359
1979,Woman,45,825
1978,Men,45,384
1978,Woman,45,788
1977,Men,45,385
1977,Woman,45,832
1976,Men,45,403
1976,Woman,45,889
1975,Men,45,423
1975,Woman,45,852
1974,Men,45,412
1974,Woman,45,896
1973,Men,45,434
1973,Woman,45,925
1972,Men,45,404
1972,Woman,45,959
1971,Men,45,439
1971,Woman,45,949
1970,Men,45,419
1970,Woman,45,974
2023,Men,50,1496
2023,Woman,50,2263
2022,Men,50,1408
2022,Woman,50,2123
2021,Men,50,1521
2021,Woman,50,2381
2020,Men,50,1370
2020,Woman,50,2218
2019,Men,50,1450
2019,Woman,50,2220
2018,Men,50,1471
2018,Woman,50,2121
2017,Men,50,1370
2017,Woman,50,2158
2016,Men,50,1383
2016,Woman,50,2046
2015,Men,50,1329
2015,Woman,50,1999
2014,Men,50,1394
2014,Woman,50,1821
2013,Men,50,1314
2013,Woman,50,1802
2012,Men,50,1243
2012,Woman,50,1830
2011,Men,50,1241
2011,Woman,50,1786
2010,Men,50,1176
2010,Woman,50,1632
2009,Men,50,1223
2009,Woman,50,1634
2008,Men,50,1117
2008,Woman,50,1636
2007,Men,50,1125
2007,Woman,50,1665
2006,Men,50,1117
2006,Woman,50,1579
2005,Men,50,1111
2005,Woman,50,1583
2004,Men,50,1138
2004,Woman,50,1675
2003,Men,50,1148
2003,Woman,50,1672
2002,Men,50,1120
2002,Woman,50,1869
2001,Men,50,1069
2001,Woman,50,1753
2000,Men,50,1123
2000,Woman,50,1873
1999,Men,50,1094
1999,Woman,50,1911
1998,Men,50,1175
1998,Woman,50,1920
1997,Men,50,1053
1997,Woman,50,1762
1996,Men,50,1086
1996,Woman,50,1784
1995,Men,50,986
1995,Woman,50,1624
1994,Men,50,908
1994,Woman,50,1591
1993,Men,50,865
1993,Woman,50,1389
1992,Men,50,793
1992,Woman,50,1342
1991,Men,50,761
1991,Woman,50,1252
1990,Men,50,687
1990,Woman,50,1311
1989,Men,50,755
1989,Woman,50,1126
1988,Men,50,675
1988,Woman,50,1059
1987,Men,50,684
1987,Woman,50,1027
1986,Men,50,694
1986,Woman,50,1030
1985,Men,50,668
1985,Woman,50,1074
1984,Men,50,722
1984,Woman,50,1064
1983,Men,50,645
1983,Woman,50,1115
1982,Men,50,682
1982,Woman,50,1117
1981,Men,50,696
1981,Woman,50,1112
1980,Men,50,701
1980,Woman,50,1152
1979,Men,50,688
1979,Woman,50,1150
1978,Men,50,714
1978,Woman,50,1173
1977,Men,50,738
1977,Woman,50,1205
1976,Men,50,777
1976,Woman,50,1203
1975,Men,50,771
1975,Woman,50,1245
1974,Men,50,809
1974,Woman,50,1310
1973,Men,50,853
1973,Woman,50,1275
1972,Men,50,750
1972,Woman,50,1263
1971,Men,50,751
1971,Woman,50,1256
1970,Men,50,726
1970,Woman,50,1197
2023,Men,55,2600
2023,Woman,55,2817
2022,Men,55,2773
2022,Woman,55,2869
2021,Men,55,2452
2021,Woman,55,2933
2020,Men,55,2309
2020,Woman,55,2410
2019,Men,55,2353
2019,Woman,55,2627
2018,Men,55,2284
2018,Woman,55,2326
2017,Men,55,2333
2017,Woman,55,2437
2016,Men,55,2268
2016,Woman,55,2257
2015,Men,55,2326
2015,Woman,55,2347
2014,Men,55,2313
2014,Woman,55,2425
2013,Men,55,2210
2013,Woman,55,2241
2012,Men,55,2147
2012,Woman,55,2238
2011,Men,55,2209
2011,Woman,55,2269
2010,Men,55,2217
2010,Woman,55,2268
2009,Men,55,2302
2009,Woman,55,2138
2008,Men,55,2194
2008,Woman,55,2191
2007,Men,55,2210
2007,Woman,55,2281
2006,Men,55,2376
2006,Woman,55,2414
2005,Men,55,2407
2005,Woman,55,2461
2004,Men,55,2509
2004,Woman,55,2610
2003,Men,55,2330
2003,Woman,55,2634
2002,Men,55,2167
2002,Woman,55,2538
2001,Men,55,2028
2001,Woman,55,2433
2000,Men,55,1872
2000,Woman,55,2244
1999,Men,55,1715
1999,Woman,55,2168
1998,Men,55,1540
1998,Woman,55,2039
1997,Men,55,1368
1997,Woman,55,1834
1996,Men,55,1275
1996,Woman,55,1669
1995,Men,55,1258
1995,Woman,55,1717
1994,Men,55,1291
1994,Woman,55,1616
1993,Men,55,1186
1993,Woman,55,1487
1992,Men,55,1145
1992,Woman,55,1506
1991,Men,55,1193
1991,Woman,55,1472
1990,Men,55,1149
1990,Woman,55,1458
1989,Men,55,1135
1989,Woman,55,1515
1988,Men,55,1215
1988,Woman,55,1454
1987,Men,55,1249
1987,Woman,55,1497
1986,Men,55,1169
1986,Woman,55,1420
1985,Men,55,1259
1985,Woman,55,1369
1984,Men,55,1288
1984,Woman,55,1438
1983,Men,55,1269
1983,Woman,55,1549
1982,Men,55,1269
1982,Woman,55,1466
1981,Men,55,1252
1981,Woman,55,1592
1980,Men,55,1328
1980,Woman,55,1564
1979,Men,55,1368
1979,Woman,55,1711
1978,Men,55,1321
1978,Woman,55,1588
1977,Men,55,1301
1977,Woman,55,1668
1976,Men,55,1312
1976,Woman,55,1492
1975,Men,55,1298
1975,Woman,55,1509
1974,Men,55,1171
1974,Woman,55,1399
1973,Men,55,1201
1973,Woman,55,1368
1972,Men,55,1227
1972,Woman,55,1392
1971,Men,55,1147
1971,Woman,55,1449
1970,Men,55,1139
1970,Woman,55,1386
2023,Men,60,3811
2023,Woman,60,3435
2022,Men,60,3962
2022,Woman,60,3355
2021,Men,60,3667
2021,Woman,60,3316
2020,Men,60,3616
2020,Woman,60,3050
2019,Men,60,3842
2019,Woman,60,3253
2018,Men,60,3844
2018,Woman,60,3118
2017,Men,60,3775
2017,Woman,60,3280
2016,Men,60,3818
2016,Woman,60,3228
2015,Men,60,3818
2015,Woman,60,3246
2014,Men,60,4131
2014,Woman,60,3272
2013,Men,60,3902
2013,Woman,60,3293
2012,Men,60,3820
2012,Woman,60,3358
2011,Men,60,4032
2011,Woman,60,3274
2010,Men,60,4155
2010,Woman,60,3509
2009,Men,60,4433
2009,Woman,60,3373
2008,Men,60,4115
2008,Woman,60,3350
2007,Men,60,3980
2007,Woman,60,3323
2006,Men,60,3998
2006,Woman,60,3229
2005,Men,60,3860
2005,Woman,60,2978
2004,Men,60,3579
2004,Woman,60,2763
2003,Men,60,3192
2003,Woman,60,2623
2002,Men,60,2801
2002,Woman,60,2434
2001,Men,60,2592
2001,Woman,60,2361
2000,Men,60,2462
2000,Woman,60,2236
1999,Men,60,2347
1999,Woman,60,2100
1998,Men,60,2037
1998,Woman,60,2102
1997,Men,60,1987
1997,Woman,60,2014
1996,Men,60,1933
1996,Woman,60,1912
1995,Men,60,1914
1995,Woman,60,1940
1994,Men,60,1910
1994,Woman,60,2000
1993,Men,60,1887
1993,Woman,60,1988
1992,Men,60,1935
1992,Woman,60,1983
1991,Men,60,2001
1991,Woman,60,2025
1990,Men,60,1886
1990,Woman,60,2101
1989,Men,60,2047
1989,Woman,60,1958
1988,Men,60,2055
1988,Woman,60,2046
1987,Men,60,2024
1987,Woman,60,2146
1986,Men,60,2053
1986,Woman,60,2032
1985,Men,60,2246
1985,Woman,60,2033
1984,Men,60,2210
1984,Woman,60,2136
1983,Men,60,2131
1983,Woman,60,2085
1982,Men,60,2193
1982,Woman,60,2030
1981,Men,60,2025
1981,Woman,60,1892
1980,Men,60,2018
1980,Woman,60,1914
1979,Men,60,1857
1979,Woman,60,1887
1978,Men,60,1911
1978,Woman,60,1867
1977,Men,60,1804
1977,Woman,60,1819
1976,Men,60,2018
1976,Woman,60,1766
1975,Men,60,1888
1975,Woman,60,1872
1974,Men,60,2000
1974,Woman,60,1791
1973,Men,60,1964
1973,Woman,60,1871
1972,Men,60,1859
1972,Woman,60,1820
1971,Men,60,1833
1971,Woman,60,1695
1970,Men,60,1763
1970,Woman,60,1709
2023,Men,65,5403
2023,Woman,65,4282
2022,Men,65,5574
2022,Woman,65,4347
2021,Men,65,5203
2021,Woman,65,4469
2020,Men,65,5091
2020,Woman,65,4016
2019,Men,65,5726
2019,Woman,65,4303
2018,Men,65,5642
2018,Woman,65,4361
2017,Men,65,5790
2017,Woman,65,4563
2016,Men,65,6009
2016,Woman,65,4443
2015,Men,65,6143
2015,Woman,65,4539
2014,Men,65,6625
2014,Woman,65,4851
2013,Men,65,6289
2013,Woman,65,4735
2012,Men,65,5758
2012,Woman,65,4461
2011,Men,65,5810
2011,Woman,65,4343
2010,Men,65,5387
2010,Woman,65,3806
2009,Men,65,5259
2009,Woman,65,3652
2008,Men,65,4367
2008,Woman,65,3409
2007,Men,65,4296
2007,Woman,65,3041
2006,Men,65,4140
2006,Woman,65,2840
2005,Men,65,4181
2005,Woman,65,2847
2004,Men,65,4001
2004,Woman,65,2679
2003,Men,65,3672
2003,Woman,65,2627
2002,Men,65,3382
2002,Woman,65,2580
2001,Men,65,3291
2001,Woman,65,2444
2000,Men,65,3164
2000,Woman,65,2460
1999,Men,65,3180
1999,Woman,65,2342
1998,Men,65,3138
1998,Woman,65,2467
1997,Men,65,2973
1997,Woman,65,2457
1996,Men,65,2960
1996,Woman,65,2480
1995,Men,65,2861
1995,Woman,65,2459
1994,Men,65,2962
1994,Woman,65,2563
1993,Men,65,3057
1993,Woman,65,2579
1992,Men,65,2955
1992,Woman,65,2580
1991,Men,65,3072
1991,Woman,65,2743
1990,Men,65,3075
1990,Woman,65,2851
1989,Men,65,3209
1989,Woman,65,2788
1988,Men,65,3230
1988,Woman,65,2727
