location,age,dose,month,dead,pop
Makinohara/Shizuoka,80over,3,2021-09,0,0
Makinohara/Shizuoka,80over,4,2021-09,0,0
Makinohara/Shizuoka,80over,5,2021-09,0,0
Makinohara/Shizuoka,80over,6,2021-09,0,0
Makinohara/Shizuoka,80over,7,2021-09,0,0
Makinohara/Shizuoka,all,0,2021-09,13,439938
Makinohara/Shizuoka,all,1,2021-09,3,143575
Makinohara/Shizuoka,all,2,2021-09,30,633282
Makinohara/Shizuoka,all,3,2021-09,0,0
Makinohara/Shizuoka,all,4,2021-09,0,0
Makinohara/Shizuoka,all,5,2021-09,0,0
Makinohara/Shizuoka,all,6,2021-09,0,0
Makinohara/Shizuoka,all,7,2021-09,0,0
Makinohara/Shizuoka,80over,0,2021-10,5,7970
Makinohara/Shizuoka,80over,1,2021-10,2,1269
Makinohara/Shizuoka,80over,2,2021-10,19,140223
Makinohara/Shizuoka,80over,3,2021-10,0,0
Makinohara/Shizuoka,80over,4,2021-10,0,0
Makinohara/Shizuoka,80over,5,2021-10,0,0
Makinohara/Shizuoka,80over,6,2021-10,0,0
Makinohara/Shizuoka,80over,7,2021-10,0,0
Makinohara/Shizuoka,all,0,2021-10,9,230591
Makinohara/Shizuoka,all,1,2021-10,3,170141
Makinohara/Shizuoka,all,2,2021-10,33,855247
Makinohara/Shizuoka,all,3,2021-10,0,0
Makinohara/Shizuoka,all,4,2021-10,0,0
Makinohara/Shizuoka,all,5,2021-10,0,0
Makinohara/Shizuoka,all,6,2021-10,0,0
Makinohara/Shizuoka,all,7,2021-10,0,0
Makinohara/Shizuoka,80over,0,2021-11,6,7393
Makinohara/Shizuoka,80over,1,2021-11,1,615
Makinohara/Shizuoka,80over,2,2021-11,26,135810
Makinohara/Shizuoka,80over,3,2021-11,0,0
Makinohara/Shizuoka,80over,4,2021-11,0,0
Makinohara/Shizuoka,80over,5,2021-11,0,0
Makinohara/Shizuoka,80over,6,2021-11,0,0
Makinohara/Shizuoka,80over,7,2021-11,0,0
Makinohara/Shizuoka,all,0,2021-11,9,188234
Makinohara/Shizuoka,all,1,2021-11,3,8953
Makinohara/Shizuoka,all,2,2021-11,49,1016731
Makinohara/Shizuoka,all,3,2021-11,0,0
Makinohara/Shizuoka,all,4,2021-11,0,0
Makinohara/Shizuoka,all,5,2021-11,0,0
Makinohara/Shizuoka,all,6,2021-11,0,0
Makinohara/Shizuoka,all,7,2021-11,0,0
Makinohara/Shizuoka,80over,0,2021-12,6,7378
Makinohara/Shizuoka,80over,1,2021-12,5,534
Makinohara/Shizuoka,80over,2,2021-12,28,139602
Makinohara/Shizuoka,80over,3,2021-12,0,0
Makinohara/Shizuoka,80over,4,2021-12,0,0
Makinohara/Shizuoka,80over,5,2021-12,0,0
Makinohara/Shizuoka,80over,6,2021-12,0,0
Makinohara/Shizuoka,80over,7,2021-12,0,0
Makinohara/Shizuoka,all,0,2021-12,11,191168
Makinohara/Shizuoka,all,1,2021-12,5,5572
