code,type,year,month,dead
I21+I22+I46+I50,ucd,2015,02,222
I21+I22+I46+I50,ucd,2015,03,260
I21+I22+I46+I50,ucd,2015,04,235
I21+I22+I46+I50,ucd,2015,05,271
I21+I22+I46+I50,ucd,2015,06,200
I21+I22+I46+I50,ucd,2015,07,215
I21+I22+I46+I50,ucd,2015,08,210
I21+I22+I46+I50,ucd,2015,09,218
I21+I22+I46+I50,ucd,2015,10,220
I21+I22+I46+I50,ucd,2015,11,270
I21+I22+I46+I50,ucd,2015,12,271
I21+I22+I46+I50,ucd,2016,01,270
I21+I22+I46+I50,ucd,2016,02,249
I21+I22+I46+I50,ucd,2016,03,308
I21+I22+I46+I50,ucd,2016,04,240
I21+I22+I46+I50,ucd,2016,05,267
I21+I22+I46+I50,ucd,2016,06,224
I21+I22+I46+I50,ucd,2016,07,227
I21+I22+I46+I50,ucd,2016,08,221
I21+I22+I46+I50,ucd,2016,09,257
I21+I22+I46+I50,ucd,2016,10,280
I21+I22+I46+I50,ucd,2016,11,226
I21+I22+I46+I50,ucd,2016,12,301
I21+I22+I46+I50,ucd,2017,01,320
I21+I22+I46+I50,ucd,2017,02,252
I21+I22+I46+I50,ucd,2017,03,266
I21+I22+I46+I50,ucd,2017,04,222
I21+I22+I46+I50,ucd,2017,05,250
I21+I22+I46+I50,ucd,2017,06,220
I21+I22+I46+I50,ucd,2017,07,217
I21+I22+I46+I50,ucd,2017,08,231
I21+I22+I46+I50,ucd,2017,09,201
I21+I22+I46+I50,ucd,2017,10,241
I21+I22+I46+I50,ucd,2017,11,234
I21+I22+I46+I50,ucd,2017,12,250
I21+I22+I46+I50,ucd,2018,01,254
I21+I22+I46+I50,ucd,2018,02,253
I21+I22+I46+I50,ucd,2018,03,249
I21+I22+I46+I50,ucd,2018,04,213
I21+I22+I46+I50,ucd,2018,05,217
I21+I22+I46+I50,ucd,2018,06,231
I21+I22+I46+I50,ucd,2018,07,224
I21+I22+I46+I50,ucd,2018,08,216
I21+I22+I46+I50,ucd,2018,09,221
I21+I22+I46+I50,ucd,2018,10,260
I21+I22+I46+I50,ucd,2018,11,235
I21+I22+I46+I50,ucd,2018,12,273
I21+I22+I46+I50,ucd,2019,01,227
I21+I22+I46+I50,ucd,2019,02,230
I21+I22+I46+I50,ucd,2019,03,231
I21+I22+I46+I50,ucd,2019,04,244
I21+I22+I46+I50,ucd,2019,05,244
I21+I22+I46+I50,ucd,2019,06,178
I21+I22+I46+I50,ucd,2019,07,230
I21+I22+I46+I50,ucd,2019,08,232
I21+I22+I46+I50,ucd,2019,09,222
I21+I22+I46+I50,ucd,2019,10,265
I21+I22+I46+I50,ucd,2019,11,245
I21+I22+I46+I50,ucd,2019,12,253
I21+I22+I46+I50,ucd,2020,01,232
I21+I22+I46+I50,ucd,2020,02,248
I21+I22+I46+I50,ucd,2020,03,234
I21+I22+I46+I50,ucd,2020,04,225
I21+I22+I46+I50,ucd,2020,05,218
I21+I22+I46+I50,ucd,2020,06,200
I21+I22+I46+I50,ucd,2020,07,203
I21+I22+I46+I50,ucd,2020,08,212
I21+I22+I46+I50,ucd,2020,09,215
I21+I22+I46+I50,ucd,2020,10,236
I21+I22+I46+I50,ucd,2020,11,235
I21+I22+I46+I50,ucd,2020,12,233
I21+I22+I46+I50,ucd,2021,01,248
I21+I22+I46+I50,ucd,2021,02,220
I21+I22+I46+I50,ucd,2021,03,231
I21+I22+I46+I50,ucd,2021,04,244
I21+I22+I46+I50,ucd,2021,05,241
I21+I22+I46+I50,ucd,2021,06,229
I21+I22+I46+I50,ucd,2021,07,255
I21+I22+I46+I50,ucd,2021,08,232
I21+I22+I46+I50,ucd,2021,09,235
I21+I22+I46+I50,ucd,2021,10,239
I21+I22+I46+I50,ucd,2021,11,245
I21+I22+I46+I50,ucd,2021,12,241
I21+I22+I46+I50,ucd,2022,01,273
I21+I22+I46+I50,ucd,2022,02,259
I21+I22+I46+I50,ucd,2022,03,279
I21+I22+I46+I50,ucd,2022,04,249
I21+I22+I46+I50,ucd,2022,05,215
I21+I22+I46+I50,ucd,2022,06,211
I21+I22+I46+I50,ucd,2022,07,252
I21+I22+I46+I50,ucd,2022,08,231
I21+I22+I46+I50,ucd,2022,09,204
I21+I22+I46+I50,ucd,2022,10,214
I21+I22+I46+I50,ucd,2022,11,277
I21+I22+I46+I50,ucd,2022,12,292
I21+I22+I46+I50,ucd,2023,01,240
I21+I22+I46+I50,ucd,2023,02,235
I21+I22+I46+I50,ucd,2023,03,247
I21+I22+I46+I50,ucd,2023,04,254
I21+I22+I46+I50,ucd,2023,05,231
I21+I22+I46+I50,ucd,2023,06,231
I21+I22+I46+I50,ucd,2023,07,213
I21+I22+I46+I50,ucd,2023,08,217
I21+I22+I46+I50,ucd,2023,09,228
I21+I22+I46+I50,ucd,2023,10,227
I21+I22+I46+I50,ucd,2023,11,241
I21+I22+I46+I50,ucd,2023,12,239
I21+I22+I46+I50,ucd,2024,01,308
I21+I22+I46+I50,ucd,2024,02,212
I21+I22+I46+I50,ucd,2024,03,227
I21+I22+I46+I50,ucd,2024,04,213
I21+I22+I46+I50,ucd,2024,05,251
I21+I22+I46+I50,ucd,2024,06,233
I21+I22+I46+I50,ucd,2024,07,218
I21+I22+I46+I50,ucd,2024,08,201
I21+I22+I46+I50,ucd,2024,09,225
I21+I22+I46+I50,ucd,2024,10,248
I21+I22+I46+I50,ucd,2024,11,245
I21+I22+I46+I50,ucd,2024,12,258
I21+I22+I46+I50,ucd,2025,01,242
I21+I22+I46+I50,ucd,2025,02,99
I21+I22+I46+I50,mcd,1999,01,959
I21+I22+I46+I50,mcd,1999,02,972
I21+I22+I46+I50,mcd,1999,03,963
I21+I22+I46+I50,mcd,1999,04,884
I21+I22+I46+I50,mcd,1999,05,909
I21+I22+I46+I50,mcd,1999,06,808
I21+I22+I46+I50,mcd,1999,07,764
I21+I22+I46+I50,mcd,1999,08,745
I21+I22+I46+I50,mcd,1999,09,764
I21+I22+I46+I50,mcd,1999,10,848
I21+I22+I46+I50,mcd,1999,11,834
I21+I22+I46+I50,mcd,1999,12,968
I21+I22+I46+I50,mcd,2000,01,1063
I21+I22+I46+I50,mcd,2000,02,880
I21+I22+I46+I50,mcd,2000,03,925
I21+I22+I46+I50,mcd,2000,04,835
I21+I22+I46+I50,mcd,2000,05,860
I21+I22+I46+I50,mcd,2000,06,790
I21+I22+I46+I50,mcd,2000,07,776
I21+I22+I46+I50,mcd,2000,08,819
I21+I22+I46+I50,mcd,2000,09,821
I21+I22+I46+I50,mcd,2000,10,805
I21+I22+I46+I50,mcd,2000,11,925
I21+I22+I46+I50,mcd,2000,12,943
I21+I22+I46+I50,mcd,2001,01,991
I21+I22+I46+I50,mcd,2001,02,895
I21+I22+I46+I50,mcd,2001,03,989
I21+I22+I46+I50,mcd,2001,04,936
I21+I22+I46+I50,mcd,2001,05,909
I21+I22+I46+I50,mcd,2001,06,799
I21+I22+I46+I50,mcd,2001,07,794
I21+I22+I46+I50,mcd,2001,08,782
I21+I22+I46+I50,mcd,2001,09,796
I21+I22+I46+I50,mcd,2001,10,903
I21+I22+I46+I50,mcd,2001,11,822
I21+I22+I46+I50,mcd,2001,12,928
I21+I22+I46+I50,mcd,2002,01,972
I21+I22+I46+I50,mcd,2002,02,967
I21+I22+I46+I50,mcd,2002,03,991
I21+I22+I46+I50,mcd,2002,04,893
I21+I22+I46+I50,mcd,2002,05,886
I21+I22+I46+I50,mcd,2002,06,784
I21+I22+I46+I50,mcd,2002,07,803
I21+I22+I46+I50,mcd,2002,08,839
I21+I22+I46+I50,mcd,2002,09,774
I21+I22+I46+I50,mcd,2002,10,863
I21+I22+I46+I50,mcd,2002,11,861
I21+I22+I46+I50,mcd,2002,12,917
I21+I22+I46+I50,mcd,2003,01,951
I21+I22+I46+I50,mcd,2003,02,803
I21+I22+I46+I50,mcd,2003,03,950
I21+I22+I46+I50,mcd,2003,04,912
I21+I22+I46+I50,mcd,2003,05,834
I21+I22+I46+I50,mcd,2003,06,802
I21+I22+I46+I50,mcd,2003,07,790
I21+I22+I46+I50,mcd,2003,08,774
I21+I22+I46+I50,mcd,2003,09,737
I21+I22+I46+I50,mcd,2003,10,832
I21+I22+I46+I50,mcd,2003,11,957
I21+I22+I46+I50,mcd,2003,12,1044
I21+I22+I46+I50,mcd,2004,01,1009
I21+I22+I46+I50,mcd,2004,02,940
I21+I22+I46+I50,mcd,2004,03,979
I21+I22+I46+I50,mcd,2004,04,918
I21+I22+I46+I50,mcd,2004,05,853
I21+I22+I46+I50,mcd,2004,06,811
I21+I22+I46+I50,mcd,2004,07,889
I21+I22+I46+I50,mcd,2004,08,816
I21+I22+I46+I50,mcd,2004,09,761
I21+I22+I46+I50,mcd,2004,10,890
I21+I22+I46+I50,mcd,2004,11,883
I21+I22+I46+I50,mcd,2004,12,926
I21+I22+I46+I50,mcd,2005,01,1037
I21+I22+I46+I50,mcd,2005,02,1008
I21+I22+I46+I50,mcd,2005,03,1052
I21+I22+I46+I50,mcd,2005,04,945
I21+I22+I46+I50,mcd,2005,05,922
I21+I22+I46+I50,mcd,2005,06,881
I21+I22+I46+I50,mcd,2005,07,802
I21+I22+I46+I50,mcd,2005,08,808
I21+I22+I46+I50,mcd,2005,09,797
I21+I22+I46+I50,mcd,2005,10,892
I21+I22+I46+I50,mcd,2005,11,883
I21+I22+I46+I50,mcd,2005,12,1061
I21+I22+I46+I50,mcd,2006,01,993
I21+I22+I46+I50,mcd,2006,02,928
I21+I22+I46+I50,mcd,2006,03,1036
I21+I22+I46+I50,mcd,2006,04,900
I21+I22+I46+I50,mcd,2006,05,936
I21+I22+I46+I50,mcd,2006,06,832
I21+I22+I46+I50,mcd,2006,07,856
I21+I22+I46+I50,mcd,2006,08,803
I21+I22+I46+I50,mcd,2006,09,799
I21+I22+I46+I50,mcd,2006,10,844
I21+I22+I46+I50,mcd,2006,11,935
I21+I22+I46+I50,mcd,2006,12,980
