type,year,age,count
net,2013,90,2
net,2014,90,23
net,2015,90,-3
net,2016,90,6
net,2017,90,8
net,2018,90,1
net,2019,90,-4
net,2020,90,10
net,2021,90,-21
net,2022,90,-25
net,2023,90,-16
