type,year,age,count
arrival,2007,85,123
arrival,2008,85,114
arrival,2009,85,102
arrival,2010,85,102
arrival,2011,85,94
arrival,2012,85,96
arrival,2013,85,115
arrival,2014,85,102
arrival,2015,85,119
arrival,2016,85,138
arrival,2017,85,151
arrival,2018,85,108
arrival,2019,85,194
arrival,2020,85,98
arrival,2021,85,95
arrival,2022,85,176
arrival,2023,85,302
arrival,2001,90,53
arrival,2002,90,100
arrival,2003,90,94
arrival,2004,90,61
arrival,2005,90,69
arrival,2006,90,53
arrival,2007,90,44
arrival,2008,90,46
arrival,2009,90,43
arrival,2010,90,44
arrival,2011,90,55
arrival,2012,90,47
arrival,2013,90,37
arrival,2014,90,56
arrival,2015,90,37
arrival,2016,90,34
arrival,2017,90,43
arrival,2018,90,36
arrival,2019,90,54
arrival,2020,90,39
arrival,2021,90,28
arrival,2022,90,62
arrival,2023,90,85
departure,2001,0,6221
departure,2002,0,5186
departure,2003,0,5475
departure,2004,0,6187
departure,2005,0,6464
departure,2006,0,6613
departure,2007,0,7348
departure,2008,0,7866
departure,2009,0,6400
departure,2010,0,7211
departure,2011,0,8870
departure,2012,0,8649
departure,2013,0,7266
departure,2014,0,5847
departure,2015,0,5563
departure,2016,0,5414
departure,2017,0,5754
departure,2018,0,5750
departure,2019,0,5811
departure,2020,0,2925
departure,2021,0,3618
departure,2022,0,5798
departure,2023,0,7405
departure,2001,5,4855
departure,2002,5,3898
departure,2003,5,3961
departure,2004,5,4722
departure,2005,5,5143
departure,2006,5,5026
departure,2007,5,5598
departure,2008,5,6021
departure,2009,5,4622
departure,2010,5,5022
departure,2011,5,6199
departure,2012,5,6191
departure,2013,5,5194
departure,2014,5,4092
departure,2015,5,4030
departure,2016,5,3957
departure,2017,5,4008
departure,2018,5,4214
departure,2019,5,4246
departure,2020,5,2167
departure,2021,5,2933
departure,2022,5,4802
departure,2023,5,6798
departure,2001,10,4323
departure,2002,10,3764
departure,2003,10,4470
departure,2004,10,5247
departure,2005,10,5300
departure,2006,10,4856
departure,2007,10,5620
departure,2008,10,5989
departure,2009,10,4461
departure,2010,10,4760
departure,2011,10,5611
departure,2012,10,5382
departure,2013,10,4508
departure,2014,10,3459
departure,2015,10,3173
departure,2016,10,3013
departure,2017,10,3024
departure,2018,10,3309
departure,2019,10,3324
departure,2020,10,1772
departure,2021,10,2376
departure,2022,10,3901
departure,2023,10,5853
departure,2001,15,5665
departure,2002,15,5366
departure,2003,15,6204
departure,2004,15,6806
departure,2005,15,6845
departure,2006,15,6824
departure,2007,15,7344
departure,2008,15,7696
departure,2009,15,6747
departure,2010,15,7112
departure,2011,15,8516
departure,2012,15,8508
departure,2013,15,7280
departure,2014,15,5916
departure,2015,15,5881
departure,2016,15,5874
departure,2017,15,5785
departure,2018,15,6003
departure,2019,15,6522
departure,2020,15,3225
departure,2021,15,4098
departure,2022,15,5288
departure,2023,15,8538
departure,2001,20,14100
departure,2002,20,13075
departure,2003,20,14864
departure,2004,20,16949
departure,2005,20,16547
departure,2006,20,16646
departure,2007,20,17199
departure,2008,20,17793
departure,2009,20,15343
departure,2010,20,17242
departure,2011,20,20532
departure,2012,20,20747
departure,2013,20,16679
departure,2014,20,14845
departure,2015,20,14539
departure,2016,20,14266
departure,2017,20,15503
departure,2018,20,14855
departure,2019,20,15507
departure,2020,20,7879
departure,2021,20,8133
departure,2022,20,10671
departure,2023,20,17054
departure,2001,25,14044
departure,2002,25,12222
departure,2003,25,12637
departure,2004,25,14278
departure,2005,25,15033
departure,2006,25,15117
departure,2007,25,16886
departure,2008,25,17884
departure,2009,25,15633
departure,2010,25,18102
departure,2011,25,19840
departure,2012,25,18656
departure,2013,25,15801
departure,2014,25,15081
departure,2015,25,15806
departure,2016,25,16165
departure,2017,25,18473
departure,2018,25,18834
departure,2019,25,18396
departure,2020,25,11535
departure,2021,25,12044
departure,2022,25,16234
departure,2023,25,21737
departure,2001,30,9265
departure,2002,30,7631
departure,2003,30,8073
departure,2004,30,9047
departure,2005,30,9285
departure,2006,30,9712
departure,2007,30,10366
departure,2008,30,10555
departure,2009,30,8997
departure,2010,30,10207
departure,2011,30,11592
departure,2012,30,11247
departure,2013,30,9390
departure,2014,30,8417
departure,2015,30,8691
departure,2016,30,8673
departure,2017,30,10117
departure,2018,30,10635
departure,2019,30,11401
departure,2020,30,7641
departure,2021,30,9026
departure,2022,30,12034
departure,2023,30,15310
departure,2001,35,7071
departure,2002,35,5717
departure,2003,35,5934
departure,2004,35,6755
departure,2005,35,7295
departure,2006,35,7754
departure,2007,35,8506
departure,2008,35,8822
departure,2009,35,7058
departure,2010,35,7642
departure,2011,35,8577
departure,2012,35,7699
departure,2013,35,6299
departure,2014,35,5182
departure,2015,35,5238
departure,2016,35,5289
departure,2017,35,5714
departure,2018,35,6372
departure,2019,35,6613
departure,2020,35,4246
departure,2021,35,5564
departure,2022,35,8330
departure,2023,35,11003
departure,2001,40,5343
departure,2002,40,4410
departure,2003,40,4885
departure,2004,40,5568
departure,2005,40,5915
departure,2006,40,6066
departure,2007,40,6735
departure,2008,40,7039
departure,2009,40,5539
departure,2010,40,6245
departure,2011,40,7107
departure,2012,40,6571
departure,2013,40,5086
departure,2014,40,4360
departure,2015,40,4118
departure,2016,40,4012
departure,2017,40,4215
departure,2018,40,4405
departure,2019,40,4561
departure,2020,40,2779
departure,2021,40,3696
departure,2022,40,5885
departure,2023,40,8015
departure,2001,45,3996
departure,2002,45,3471
departure,2003,45,3599
departure,2004,45,4059
departure,2005,45,4526
departure,2006,45,4756
departure,2007,45,5311
departure,2008,45,5816
departure,2009,45,4634
departure,2010,45,5338
departure,2011,45,6135
departure,2012,45,5590
departure,2013,45,4345
departure,2014,45,3549
departure,2015,45,3351
departure,2016,45,3475
departure,2017,45,3619
departure,2018,45,3844
departure,2019,45,3912
departure,2020,45,2257
departure,2021,45,3036
departure,2022,45,4468
departure,2023,45,5882
departure,2001,50,3342
departure,2002,50,2884
departure,2003,50,2973
departure,2004,50,3249
departure,2005,50,3594
departure,2006,50,3849
departure,2007,50,4189
departure,2008,50,4426
departure,2009,50,3650
departure,2010,50,4180
departure,2011,50,4984
departure,2012,50,4657
departure,2013,50,3686
departure,2014,50,3028
departure,2015,50,3046
departure,2016,50,2968
departure,2017,50,3067
departure,2018,50,3221
departure,2019,50,3272
departure,2020,50,1945
departure,2021,50,2968
departure,2022,50,3883
departure,2023,50,5077
departure,2001,55,2159
departure,2002,55,2000
departure,2003,55,2168
departure,2004,55,2489
departure,2005,55,2733
departure,2006,55,2752
departure,2007,55,3065
departure,2008,55,3143
departure,2009,55,2796
departure,2010,55,3072
departure,2011,55,3491
departure,2012,55,3477
departure,2013,55,2895
departure,2014,55,2579
departure,2015,55,2453
departure,2016,55,2447
departure,2017,55,2607
departure,2018,55,2666
departure,2019,55,2955
departure,2020,55,1807
departure,2021,55,3241
departure,2022,55,3561
departure,2023,55,4418
departure,2001,60,1459
departure,2002,60,1294
departure,2003,60,1493
departure,2004,60,1504
departure,2005,60,1534
departure,2006,60,1629
departure,2007,60,1728
departure,2008,60,2047
departure,2009,60,1700
departure,2010,60,1977
departure,2011,60,2147
departure,2012,60,2104
departure,2013,60,1800
departure,2014,60,1710
departure,2015,60,1710
departure,2016,60,1805
departure,2017,60,1877
departure,2018,60,2011
departure,2019,60,2343
departure,2020,60,1673
departure,2021,60,3338
departure,2022,60,3077
departure,2023,60,3602
departure,2001,65,1125
departure,2002,65,1063
departure,2003,65,1077
departure,2004,65,1091
departure,2005,65,1114
departure,2006,65,1082
departure,2007,65,1131
departure,2008,65,1138
departure,2009,65,1047
departure,2010,65,1145
departure,2011,65,1198
departure,2012,65,1197
departure,2013,65,1257
departure,2014,65,1248
departure,2015,65,1229
departure,2016,65,1315
departure,2017,65,1353
departure,2018,65,1530
departure,2019,65,1887
departure,2020,65,1394
departure,2021,65,2993
departure,2022,65,2772
departure,2023,65,3386
departure,2001,70,696
departure,2002,70,591
departure,2003,70,657
departure,2004,70,688
departure,2005,70,667
departure,2006,70,622
departure,2007,70,680
departure,2008,70,725
departure,2009,70,662
departure,2010,70,746
departure,2011,70,737
departure,2012,70,730
departure,2013,70,678
departure,2014,70,731
departure,2015,70,705
departure,2016,70,728
departure,2017,70,813
departure,2018,70,839
departure,2019,70,1155
departure,2020,70,739
departure,2021,70,1808
departure,2022,70,1751
departure,2023,70,2220
departure,2001,75,388
departure,2002,75,380
departure,2003,75,394
departure,2004,75,397
departure,2005,75,405
departure,2006,75,367
departure,2007,75,396
departure,2008,75,417
departure,2009,75,378
departure,2010,75,393
departure,2011,75,403
departure,2012,75,412
departure,2013,75,465
departure,2014,75,386
departure,2015,75,449
departure,2016,75,457
departure,2017,75,491
departure,2018,75,509
departure,2019,75,692
departure,2020,75,322
departure,2021,75,884
departure,2022,75,1001
departure,2023,75,1268
departure,2001,80,161
departure,2002,80,196
departure,2003,80,189
departure,2004,80,198
departure,2005,80,192
departure,2006,80,174
departure,2007,80,197
departure,2008,80,226
departure,2009,80,226
departure,2010,80,244
departure,2011,80,252
departure,2012,80,221
departure,2013,80,221
departure,2014,80,206
departure,2015,80,205
departure,2016,80,245
departure,2017,80,256
departure,2018,80,287
departure,2019,80,371
departure,2020,80,180
departure,2021,80,449
departure,2022,80,510
departure,2023,80,693
departure,2001,85,79
departure,2002,85,62
departure,2003,85,79
departure,2004,85,83
departure,2005,85,91
departure,2006,85,93
departure,2007,85,80
departure,2008,85,77
departure,2009,85,81
departure,2010,85,105
departure,2011,85,126
departure,2012,85,95
departure,2013,85,106
departure,2014,85,98
departure,2015,85,89
departure,2016,85,104
departure,2017,85,111
departure,2018,85,128
departure,2019,85,128
departure,2020,85,85
departure,2021,85,155
departure,2022,85,249
departure,2023,85,334
departure,2001,90,40
departure,2002,90,45
departure,2003,90,43
departure,2004,90,39
departure,2005,90,33
departure,2006,90,36
departure,2007,90,34
departure,2008,90,43
departure,2009,90,22
departure,2010,90,33
departure,2011,90,33
departure,2012,90,37
departure,2013,90,35
departure,2014,90,33
departure,2015,90,40
departure,2016,90,28
departure,2017,90,35
departure,2018,90,35
departure,2019,90,58
departure,2020,90,29
departure,2021,90,49
departure,2022,90,87
departure,2023,90,101
net,2001,0,725
net,2002,0,2516
net,2003,0,2164
net,2004,0,869
net,2005,0,722
net,2006,0,1090
net,2007,0,570
net,2008,0,495
net,2009,0,1040
net,2010,0,-832
net,2011,0,-2347
net,2012,0,-1805
net,2013,0,364
net,2014,0,2552
net,2015,0,3363
net,2016,0,4363
net,2017,0,3962
net,2018,0,3507
net,2019,0,3973
net,2020,0,2882
net,2021,0,1129
net,2022,0,1831
net,2023,0,5547
net,2001,5,2348
net,2002,5,4631
net,2003,5,3853
net,2004,5,1952
net,2005,5,1544
net,2006,5,2049
net,2007,5,1546
net,2008,5,1081
net,2009,5,1229
net,2010,5,156
net,2011,5,-1455
net,2012,5,-1413
net,2013,5,217
net,2014,5,2036
net,2015,5,2774
