cause,year,week,dead,date
ucd,2020,48,983,2020-11-25
ucd,2020,49,982,2020-12-02
ucd,2020,50,960,2020-12-09
ucd,2020,51,992,2020-12-16
ucd,2020,52,993,2020-12-23
ucd,2020,53,989,2020-12-30
ucd,2021,1,1010,2021-01-06
ucd,2021,2,1019,2021-01-13
ucd,2021,3,948,2021-01-20
ucd,2021,4,981,2021-01-27
ucd,2021,5,996,2021-02-03
ucd,2021,6,988,2021-02-10
ucd,2021,7,1007,2021-02-17
ucd,2021,8,966,2021-02-24
ucd,2021,9,946,2021-03-03
ucd,2021,10,1017,2021-03-10
ucd,2021,11,932,2021-03-17
ucd,2021,12,947,2021-03-24
ucd,2021,13,942,2021-03-31
ucd,2021,14,981,2021-04-07
ucd,2021,15,924,2021-04-14
ucd,2021,16,975,2021-04-21
ucd,2021,17,979,2021-04-28
ucd,2021,18,924,2021-05-05
ucd,2021,19,956,2021-05-12
ucd,2021,20,969,2021-05-19
ucd,2021,21,927,2021-05-26
ucd,2021,22,961,2021-06-02
ucd,2021,23,945,2021-06-09
ucd,2021,24,966,2021-06-16
ucd,2021,25,1000,2021-06-23
ucd,2021,26,983,2021-06-30
ucd,2021,27,926,2021-07-07
ucd,2021,28,1004,2021-07-14
ucd,2021,29,965,2021-07-21
ucd,2021,30,957,2021-07-28
ucd,2021,31,961,2021-08-04
ucd,2021,32,998,2021-08-11
ucd,2021,33,1009,2021-08-18
ucd,2021,34,949,2021-08-25
ucd,2021,35,991,2021-09-01
ucd,2021,36,938,2021-09-08
ucd,2021,37,988,2021-09-15
ucd,2021,38,1070,2021-09-22
ucd,2021,39,950,2021-09-29
ucd,2021,40,1026,2021-10-06
ucd,2021,41,976,2021-10-13
ucd,2021,42,953,2021-10-20
ucd,2021,43,967,2021-10-27
ucd,2021,44,954,2021-11-03
ucd,2021,45,955,2021-11-10
ucd,2021,46,931,2021-11-17
ucd,2021,47,1006,2021-11-24
ucd,2021,48,960,2021-12-01
ucd,2021,49,1024,2021-12-08
ucd,2021,50,976,2021-12-15
ucd,2021,51,1024,2021-12-22
ucd,2021,52,1028,2021-12-29
ucd,2022,1,1055,2022-01-05
ucd,2022,2,1035,2022-01-12
ucd,2022,3,951,2022-01-19
ucd,2022,4,1001,2022-01-26
ucd,2022,5,983,2022-02-02
ucd,2022,6,951,2022-02-09
ucd,2022,7,971,2022-02-16
ucd,2022,8,923,2022-02-23
ucd,2022,9,941,2022-03-02
ucd,2022,10,949,2022-03-09
ucd,2022,11,989,2022-03-16
ucd,2022,12,931,2022-03-23
ucd,2022,13,947,2022-03-30
ucd,2022,14,953,2022-04-06
ucd,2022,15,947,2022-04-13
ucd,2022,16,981,2022-04-20
ucd,2022,17,975,2022-04-27
ucd,2022,18,963,2022-05-04
ucd,2022,19,955,2022-05-11
ucd,2022,20,992,2022-05-18
ucd,2022,21,974,2022-05-25
ucd,2022,22,913,2022-06-01
ucd,2022,23,989,2022-06-08
ucd,2022,24,939,2022-06-15
ucd,2022,25,981,2022-06-22
ucd,2022,26,979,2022-06-29
ucd,2022,27,927,2022-07-06
ucd,2022,28,952,2022-07-13
ucd,2022,29,1013,2022-07-20
ucd,2022,30,981,2022-07-27
ucd,2022,31,954,2022-08-03
ucd,2022,32,965,2022-08-10
ucd,2022,33,904,2022-08-17
ucd,2022,34,957,2022-08-24
ucd,2022,35,963,2022-08-31
ucd,2022,36,1019,2022-09-07
ucd,2022,37,975,2022-09-14
ucd,2022,38,995,2022-09-21
ucd,2022,39,1000,2022-09-28
ucd,2022,40,970,2022-10-05
ucd,2022,41,974,2022-10-12
ucd,2022,42,967,2022-10-19
ucd,2022,43,938,2022-10-26
ucd,2022,44,1036,2022-11-02
ucd,2022,45,1011,2022-11-09
ucd,2022,46,1030,2022-11-16
ucd,2022,47,1054,2022-11-23
ucd,2022,48,919,2022-11-30
ucd,2022,49,1019,2022-12-07
ucd,2022,50,948,2022-12-14
ucd,2022,51,986,2022-12-21
ucd,2022,52,980,2022-12-28
ucd,2023,1,904,2023-01-04
ucd,2023,2,940,2023-01-11
ucd,2023,3,995,2023-01-18
ucd,2023,4,1003,2023-01-25
ucd,2023,5,978,2023-02-01
ucd,2023,6,1006,2023-02-08
ucd,2023,7,975,2023-02-15
ucd,2023,8,969,2023-02-22
ucd,2023,9,978,2023-03-01
ucd,2023,10,994,2023-03-08
ucd,2023,11,980,2023-03-15
ucd,2023,12,936,2023-03-22
ucd,2023,13,909,2023-03-29
ucd,2023,14,930,2023-04-05
ucd,2023,15,960,2023-04-12
ucd,2023,16,893,2023-04-19
ucd,2023,17,991,2023-04-26
ucd,2023,18,999,2023-05-03
ucd,2023,19,999,2023-05-10
ucd,2023,20,901,2023-05-17
ucd,2023,21,907,2023-05-24
ucd,2023,22,951,2023-05-31
ucd,2023,23,958,2023-06-07
ucd,2023,24,988,2023-06-14
ucd,2023,25,923,2023-06-21
ucd,2023,26,963,2023-06-28
ucd,2023,27,960,2023-07-05
ucd,2023,28,973,2023-07-12
ucd,2023,29,937,2023-07-19
ucd,2023,30,952,2023-07-26
ucd,2023,31,1012,2023-08-02
ucd,2023,32,963,2023-08-09
ucd,2023,33,971,2023-08-16
ucd,2023,34,987,2023-08-23
ucd,2023,35,994,2023-08-30
ucd,2023,36,926,2023-09-06
ucd,2023,37,964,2023-09-13
ucd,2023,38,961,2023-09-20
ucd,2023,39,960,2023-09-27
ucd,2023,40,1071,2023-10-04
ucd,2023,41,949,2023-10-11
ucd,2023,42,962,2023-10-18
ucd,2023,43,959,2023-10-25
ucd,2023,44,974,2023-11-01
ucd,2023,45,980,2023-11-08
ucd,2023,46,966,2023-11-15
ucd,2023,47,962,2023-11-22
ucd,2023,48,973,2023-11-29
ucd,2023,49,974,2023-12-06
ucd,2023,50,901,2023-12-13
ucd,2023,51,1043,2023-12-20
ucd,2023,52,952,2023-12-27
ucd,2024,1,963,2024-01-03
ucd,2024,2,988,2024-01-10
ucd,2024,3,971,2024-01-17
ucd,2024,4,1031,2024-01-24
ucd,2024,5,992,2024-01-31
ucd,2024,6,989,2024-02-07
ucd,2024,7,949,2024-02-14
ucd,2024,8,986,2024-02-21
ucd,2024,9,941,2024-02-28
ucd,2024,10,1014,2024-03-06
ucd,2024,11,976,2024-03-13
ucd,2024,12,953,2024-03-20
ucd,2024,13,914,2024-03-27
ucd,2024,14,998,2024-04-03
ucd,2024,15,985,2024-04-10
ucd,2024,16,940,2024-04-17
ucd,2024,17,941,2024-04-24
ucd,2024,18,973,2024-05-01
ucd,2024,19,918,2024-05-08
ucd,2024,20,907,2024-05-15
ucd,2024,21,988,2024-05-22
ucd,2024,22,968,2024-05-29
ucd,2024,23,933,2024-06-05
ucd,2024,24,904,2024-06-12
ucd,2024,25,934,2024-06-19
ucd,2024,26,958,2024-06-26
ucd,2024,27,940,2024-07-03
ucd,2024,28,975,2024-07-10
ucd,2024,29,997,2024-07-17
ucd,2024,30,1000,2024-07-24
ucd,2024,31,971,2024-07-31
ucd,2024,32,989,2024-08-07
ucd,2024,33,977,2024-08-14
ucd,2024,34,939,2024-08-21
ucd,2024,35,974,2024-08-28
ucd,2024,36,943,2024-09-04
ucd,2024,37,967,2024-09-11
ucd,2024,38,964,2024-09-18
ucd,2024,39,969,2024-09-25
ucd,2024,40,930,2024-10-02
ucd,2024,41,938,2024-10-09
ucd,2024,42,929,2024-10-16
ucd,2024,43,911,2024-10-23
ucd,2024,44,962,2024-10-30
ucd,2024,45,950,2024-11-06
ucd,2024,46,950,2024-11-13
ucd,2024,47,951,2024-11-20
ucd,2024,48,960,2024-11-27
ucd,2024,49,999,2024-12-04
ucd,2024,50,1011,2024-12-11
ucd,2024,51,933,2024-12-18
ucd,2024,52,944,2024-12-25
ucd,2025,1,970,2025-01-01
ucd,2025,2,986,2025-01-08
ucd,2025,3,985,2025-01-15
ucd,2025,4,1014,2025-01-22
ucd,2025,5,997,2025-01-29
ucd,2025,6,1013,2025-02-05
ucd,2025,7,964,2025-02-12
ucd,2025,8,990,2025-02-19
ucd,2025,9,965,2025-02-26
ucd,2025,10,992,2025-03-05
ucd,2025,11,983,2025-03-12
ucd,2025,12,958,2025-03-19
ucd,2025,13,939,2025-03-26
ucd,2025,14,908,2025-04-02
ucd,2025,15,936,2025-04-09
mcd,2018,1,923,2018-01-03
mcd,2018,2,1249,2018-01-10
mcd,2018,3,1092,2018-01-17
mcd,2018,4,1136,2018-01-24
mcd,2018,5,1125,2018-01-31
mcd,2018,6,1135,2018-02-07
mcd,2018,7,1121,2018-02-14
mcd,2018,8,1072,2018-02-21
mcd,2018,9,1083,2018-02-28
mcd,2018,10,1099,2018-03-07
mcd,2018,11,1056,2018-03-14
mcd,2018,12,1053,2018-03-21
mcd,2018,13,1000,2018-03-28
mcd,2018,14,1086,2018-04-04
mcd,2018,15,1086,2018-04-11
mcd,2018,16,1061,2018-04-18
mcd,2018,17,1091,2018-04-25
mcd,2018,18,1072,2018-05-02
mcd,2018,19,1073,2018-05-09
mcd,2018,20,1016,2018-05-16
mcd,2018,21,1116,2018-05-23
mcd,2018,22,1093,2018-05-30
mcd,2018,23,1055,2018-06-06
mcd,2018,24,1034,2018-06-13
mcd,2018,25,1095,2018-06-20
mcd,2018,26,1119,2018-06-27
mcd,2018,27,1078,2018-07-04
mcd,2018,28,1107,2018-07-11
mcd,2018,29,1090,2018-07-18
mcd,2018,30,1119,2018-07-25
mcd,2018,31,1069,2018-08-01
mcd,2018,32,1140,2018-08-08
mcd,2018,33,1094,2018-08-15
mcd,2018,34,1064,2018-08-22
mcd,2018,35,1061,2018-08-29
mcd,2018,36,1039,2018-09-05
mcd,2018,37,1118,2018-09-12
mcd,2018,38,1134,2018-09-19
mcd,2018,39,1082,2018-09-26
